,timedate,mode,actual_mode,T_air,q_heat,q_cool
0,2016-07-01 00:00:00,COOL,OFF,76.9031,5.95443,2.75216
1,2016-07-01 00:05:00,COOL,COOL,74.2059,5.94592,2.75012
2,2016-07-01 00:10:00,COOL,COOL,72.493,5.9353,2.74756
3,2016-07-01 00:15:00,COOL,COOL,71.3954,5.92469,2.74501
4,2016-07-01 00:20:00,COOL,OFF,73.2371,5.9141,2.74244
5,2016-07-01 00:25:00,COOL,OFF,74.1478,5.90351,2.73987
6,2016-07-01 00:30:00,COOL,COOL,71.7024,5.89293,2.7373
7,2016-07-01 00:35:00,COOL,OFF,72.8277,5.88236,2.73472
8,2016-07-01 00:40:00,COOL,COOL,70.7685,5.8718,2.73214
9,2016-07-01 00:45:00,COOL,OFF,72.015,5.86126,2.72955
10,2016-07-01 00:50:00,HEAT,COOL,69.9927,5.85199,2.72696
11,2016-07-01 00:55:00,COOL,HEAT,77.7473,5.84592,2.72436
12,2016-07-01 01:00:00,COOL,COOL,73.3899,5.83984,2.72176
13,2016-07-01 01:05:00,HEAT,COOL,70.4226,5.83374,2.71916
14,2016-07-01 01:10:00,COOL,HEAT,78.1854,5.82764,2.71654
15,2016-07-01 01:15:00,COOL,COOL,73.8392,5.82152,2.71393
16,2016-07-01 01:20:00,COOL,COOL,70.8713,5.8154,2.71131
17,2016-07-01 01:25:00,HEAT,COOL,69.3946,5.80926,2.70868
18,2016-07-01 01:30:00,COOL,HEAT,77.556,5.80311,2.70605
19,2016-07-01 01:35:00,COOL,COOL,73.3512,5.79695,2.70342
20,2016-07-01 01:40:00,HEAT,COOL,70.4256,5.79078,2.70078
21,2016-07-01 01:45:00,COOL,HEAT,78.1263,5.7846,2.69813
22,2016-07-01 01:50:00,COOL,COOL,73.7923,5.77841,2.69548
23,2016-07-01 01:55:00,COOL,COOL,70.8227,5.77221,2.69283
24,2016-07-01 02:00:00,HEAT,COOL,69.335,5.766,2.69017
25,2016-07-01 02:05:00,COOL,HEAT,77.4225,5.75978,2.68751
26,2016-07-01 02:10:00,COOL,COOL,73.2255,5.75355,2.68484
27,2016-07-01 02:15:00,HEAT,COOL,70.3005,5.74732,2.68216
28,2016-07-01 02:20:00,COOL,HEAT,77.9313,5.74107,2.67949
29,2016-07-01 02:25:00,COOL,COOL,73.6087,5.73482,2.6768
30,2016-07-01 02:30:00,COOL,COOL,70.642,5.72855,2.67412
31,2016-07-01 02:35:00,HEAT,COOL,69.1469,5.72228,2.67142
32,2016-07-01 02:40:00,COOL,HEAT,77.1595,5.71601,2.66873
33,2016-07-01 02:45:00,COOL,COOL,72.9761,5.70972,2.66602
34,2016-07-01 02:50:00,HEAT,COOL,70.0553,5.70343,2.66332
35,2016-07-01 02:55:00,COOL,HEAT,77.6151,5.69712,2.66061
36,2016-07-01 03:00:00,COOL,COOL,73.3071,5.69082,2.65789
37,2016-07-01 03:05:00,HEAT,COOL,70.3456,5.6845,2.65517
38,2016-07-01 03:10:00,COOL,HEAT,77.8585,5.67818,2.65244
39,2016-07-01 03:15:00,COOL,COOL,73.5498,5.67185,2.64971
40,2016-07-01 03:20:00,COOL,COOL,70.5861,5.66551,2.64698
41,2016-07-01 03:25:00,HEAT,COOL,69.0801,5.65917,2.64424
42,2016-07-01 03:30:00,COOL,HEAT,76.9829,5.65282,2.64149
43,2016-07-01 03:35:00,COOL,COOL,72.818,5.64647,2.63874
44,2016-07-01 03:40:00,HEAT,COOL,69.9031,5.64011,2.63599
45,2016-07-01 03:45:00,COOL,HEAT,77.3573,5.63374,2.63323
46,2016-07-01 03:50:00,COOL,COOL,73.0711,5.62737,2.63047
47,2016-07-01 03:55:00,HEAT,COOL,70.1175,5.621,2.6277
48,2016-07-01 04:00:00,COOL,HEAT,77.525,5.61461,2.62492
49,2016-07-01 04:05:00,COOL,COOL,73.2396,5.60733,2.62176
50,2016-07-01 04:10:00,HEAT,COOL,70.2847,5.6,2.61856
51,2016-07-01 04:15:00,COOL,HEAT,77.6525,5.59287,2.61545
52,2016-07-01 04:20:00,COOL,COOL,73.373,5.58592,2.61242
53,2016-07-01 04:25:00,HEAT,COOL,70.4194,5.57918,2.60947
54,2016-07-01 04:30:00,COOL,HEAT,77.7511,5.57263,2.60661
55,2016-07-01 04:35:00,COOL,COOL,73.4787,5.56627,2.60382
56,2016-07-01 04:40:00,COOL,COOL,70.5262,5.56012,2.60112
57,2016-07-01 04:45:00,HEAT,COOL,69.0061,5.55416,2.59851
58,2016-07-01 04:50:00,COOL,HEAT,76.7241,5.5484,2.59598
59,2016-07-01 04:55:00,COOL,COOL,72.5953,5.54283,2.59353
60,2016-07-01 05:00:00,HEAT,COOL,69.6934,5.53747,2.59117
61,2016-07-01 05:05:00,COOL,HEAT,76.9731,5.5335,2.58942
62,2016-07-01 05:10:00,COOL,COOL,72.7277,5.5298,2.58778
63,2016-07-01 05:15:00,HEAT,COOL,69.792,5.52602,2.58612
64,2016-07-01 05:20:00,COOL,HEAT,77.0471,5.52218,2.58442
65,2016-07-01 05:25:00,COOL,COOL,72.8014,5.51827,2.58269
66,2016-07-01 05:30:00,HEAT,COOL,69.8637,5.51429,2.58093
67,2016-07-01 05:35:00,COOL,HEAT,77.0971,5.51025,2.57914
68,2016-07-01 05:40:00,COOL,COOL,72.8537,5.50613,2.57732
69,2016-07-01 05:45:00,HEAT,COOL,69.9167,5.50195,2.57547
70,2016-07-01 05:50:00,COOL,HEAT,77.1298,5.4977,2.57358
71,2016-07-01 05:55:00,COOL,COOL,72.8886,5.49338,2.57166
72,2016-07-01 06:00:00,HEAT,COOL,69.9515,5.489,2.56971
73,2016-07-01 06:05:00,COOL,OFF,71.2898,5.48063,2.56598
74,2016-07-01 06:10:00,HEAT,COOL,69.1563,5.472,2.56213
75,2016-07-01 06:15:00,HEAT,OFF,70.4061,5.46418,2.55864
76,2016-07-01 06:20:00,COOL,OFF,71.1173,5.45716,2.55549
77,2016-07-01 06:25:00,COOL,OFF,71.3328,5.45095,2.55271
78,2016-07-01 06:30:00,COOL,OFF,71.4003,5.44554,2.55028
79,2016-07-01 06:35:00,COOL,OFF,71.4234,5.44094,2.54821
80,2016-07-01 06:40:00,COOL,OFF,71.4331,5.43714,2.5465
81,2016-07-01 06:45:00,COOL,OFF,71.4388,5.43416,2.54516
82,2016-07-01 06:50:00,COOL,OFF,71.4433,5.43198,2.54418
83,2016-07-01 06:55:00,COOL,OFF,71.4477,5.43061,2.54356
84,2016-07-01 07:00:00,COOL,OFF,71.4562,5.43004,2.5433
85,2016-07-01 07:05:00,COOL,OFF,71.4726,5.43088,2.54368
86,2016-07-01 07:10:00,COOL,OFF,71.5004,5.43257,2.54444
87,2016-07-01 07:15:00,COOL,OFF,71.5372,5.43492,2.5455
88,2016-07-01 07:20:00,COOL,OFF,71.582,5.43795,2.54686
89,2016-07-01 07:25:00,COOL,OFF,71.6345,5.44165,2.54853
90,2016-07-01 07:30:00,COOL,OFF,71.6947,5.44602,2.55049
91,2016-07-01 07:35:00,COOL,OFF,71.7625,5.45106,2.55276
92,2016-07-01 07:40:00,HEAT,COOL,68.9667,5.45678,2.55532
93,2016-07-01 07:45:00,HEAT,OFF,70.0855,5.46317,2.55818
94,2016-07-01 07:50:00,COOL,OFF,70.8262,5.47023,2.56134
95,2016-07-01 07:55:00,COOL,OFF,71.1241,5.47796,2.56479
96,2016-07-01 08:00:00,COOL,OFF,71.2952,5.48635,2.56853
97,2016-07-01 08:05:00,HEAT,COOL,68.5719,5.49813,2.57377
98,2016-07-01 08:10:00,HEAT,OFF,69.7426,5.5107,2.57934
99,2016-07-01 08:15:00,COOL,OFF,70.5336,5.52333,2.58493
100,2016-07-01 08:20:00,COOL,OFF,70.8821,5.53602,2.59053
101,2016-07-01 08:25:00,COOL,OFF,71.1037,5.54876,2.59614
102,2016-07-01 08:30:00,HEAT,COOL,68.4417,5.56156,2.60176
103,2016-07-01 08:35:00,HEAT,OFF,69.6532,5.57441,2.60739
104,2016-07-01 08:40:00,HEAT,OFF,70.4844,5.58731,2.61303
105,2016-07-01 08:45:00,COOL,OFF,70.8735,5.60026,2.61868
106,2016-07-01 08:50:00,COOL,OFF,71.1347,5.61326,2.62434
107,2016-07-01 08:55:00,HEAT,COOL,68.5261,5.6263,2.63
108,2016-07-01 09:00:00,HEAT,OFF,69.7693,5.63939,2.63568
109,2016-07-01 09:05:00,COOL,OFF,70.6326,5.65608,2.6429
110,2016-07-01 09:10:00,COOL,OFF,71.0542,5.67297,2.6502
111,2016-07-01 09:15:00,HEAT,COOL,68.5245,5.68908,2.65715
112,2016-07-01 09:20:00,HEAT,OFF,69.7993,5.70443,2.66375
113,2016-07-01 09:25:00,COOL,OFF,70.6861,5.71902,2.67002
114,2016-07-01 09:30:00,COOL,OFF,71.1301,5.73285,2.67596
115,2016-07-01 09:35:00,HEAT,COOL,68.6349,5.74592,2.68156
116,2016-07-01 09:40:00,HEAT,OFF,69.9263,5.75824,2.68684
117,2016-07-01 09:45:00,COOL,OFF,70.8312,5.76981,2.6918
118,2016-07-01 09:50:00,COOL,OFF,71.295,5.78064,2.69644
119,2016-07-01 09:55:00,COOL,OFF,71.6291,5.79073,2.70076
120,2016-07-01 10:00:00,HEAT,COOL,69.1266,5.80009,2.70476
121,2016-07-01 10:05:00,HEAT,OFF,70.4242,5.8027,2.70588
122,2016-07-01 10:10:00,COOL,OFF,71.3433,5.8043,2.70656
123,2016-07-01 10:15:00,HEAT,COOL,69.0242,5.80654,2.70752
124,2016-07-01 10:20:00,HEAT,OFF,70.3875,5.80942,2.70875
125,2016-07-01 10:25:00,COOL,OFF,71.3386,5.81294,2.71026
126,2016-07-01 10:30:00,COOL,OFF,71.8416,5.8171,2.71203
127,2016-07-01 10:35:00,HEAT,COOL,69.4114,5.82188,2.71408
128,2016-07-01 10:40:00,COOL,OFF,70.7559,5.8273,2.7164
129,2016-07-01 10:45:00,COOL,OFF,71.7148,5.83334,2.71898
130,2016-07-01 10:50:00,HEAT,COOL,69.4318,5.84,2.72183
131,2016-07-01 10:55:00,COOL,OFF,70.8311,5.84729,2.72495
132,2016-07-01 11:00:00,HEAT,COOL,69.017,5.85627,2.72833
133,2016-07-01 11:05:00,COOL,OFF,70.5673,5.87849,2.73378
134,2016-07-01 11:10:00,COOL,OFF,71.6166,5.90222,2.73956
135,2016-07-01 11:15:00,HEAT,COOL,69.4009,5.92544,2.74519
136,2016-07-01 11:20:00,COOL,OFF,70.8438,5.94817,2.75066
137,2016-07-01 11:25:00,HEAT,COOL,69.0841,5.97039,2.75597
138,2016-07-01 11:30:00,COOL,OFF,70.6678,5.99209,2.76114
139,2016-07-01 11:35:00,COOL,OFF,71.743,6.01329,2.76615
140,2016-07-01 11:40:00,HEAT,COOL,69.5575,6.03396,2.77101
141,2016-07-01 11:45:00,COOL,OFF,71.0156,6.05412,2.77573
142,2016-07-01 11:50:00,HEAT,COOL,69.2759,6.07375,2.7803
143,2016-07-01 11:55:00,COOL,OFF,70.8662,6.09286,2.78472
144,2016-07-01 12:00:00,HEAT,COOL,69.1681,6.11144,2.789
145,2016-07-01 12:05:00,COOL,OFF,70.7649,6.13251,2.79383
146,2016-07-01 12:10:00,HEAT,COOL,69.053,6.15321,2.79854
147,2016-07-01 12:15:00,COOL,HEAT,77.4745,6.1727,2.80296
148,2016-07-01 12:20:00,COOL,COOL,73.2806,6.19098,2.80708
149,2016-07-01 12:25:00,COOL,COOL,70.5173,6.20804,2.81091
150,2016-07-01 12:30:00,COOL,OFF,72.0831,6.22389,2.81445
151,2016-07-01 12:35:00,HEAT,COOL,70.3313,6.2385,2.8177
152,2016-07-01 12:40:00,COOL,OFF,71.8722,6.25188,2.82066
153,2016-07-01 12:45:00,HEAT,COOL,70.107,6.26402,2.82335
154,2016-07-01 12:50:00,COOL,OFF,71.6447,6.27493,2.82575
155,2016-07-01 12:55:00,HEAT,COOL,69.8755,6.28459,2.82787
156,2016-07-01 13:00:00,COOL,OFF,71.4143,6.293,2.82971
157,2016-07-01 13:05:00,HEAT,COOL,69.6432,6.29709,2.8306
158,2016-07-01 13:10:00,COOL,OFF,71.1935,6.29977,2.83119
159,2016-07-01 13:15:00,HEAT,COOL,69.4312,6.30188,2.83165
160,2016-07-01 13:20:00,COOL,OFF,70.993,6.30343,2.83199
161,2016-07-01 13:25:00,HEAT,COOL,69.2293,6.3044,2.8322
162,2016-07-01 13:30:00,COOL,HEAT,77.8023,6.3048,2.83229
163,2016-07-01 13:35:00,COOL,COOL,73.516,6.30463,2.83225
164,2016-07-01 13:40:00,COOL,COOL,70.6983,6.30388,2.83209
165,2016-07-01 13:45:00,HEAT,COOL,69.4683,6.30257,2.8318
166,2016-07-01 13:50:00,COOL,OFF,71.544,6.30068,2.83139
167,2016-07-01 13:55:00,HEAT,COOL,69.9251,6.29823,2.83085
168,2016-07-01 14:00:00,COOL,OFF,71.5638,6.2952,2.83019
169,2016-07-01 14:05:00,HEAT,COOL,69.825,6.27781,2.82638
170,2016-07-01 14:10:00,COOL,HEAT,78.3925,6.25919,2.82228
171,2016-07-01 14:15:00,COOL,COOL,74.1489,6.24311,2.81872
172,2016-07-01 14:20:00,COOL,COOL,71.374,6.22955,2.81571
173,2016-07-01 14:25:00,HEAT,COOL,70.1847,6.21849,2.81324
174,2016-07-01 14:30:00,COOL,OFF,72.2869,6.20994,2.81133
175,2016-07-01 14:35:00,COOL,COOL,70.7126,6.20389,2.80998
176,2016-07-01 14:40:00,HEAT,COOL,69.5675,6.20034,2.80918
177,2016-07-01 14:45:00,COOL,HEAT,78.5685,6.19927,2.80894
178,2016-07-01 14:50:00,COOL,COOL,74.5301,6.2007,2.80926
179,2016-07-01 14:55:00,COOL,COOL,71.8394,6.20462,2.81014
180,2016-07-01 15:00:00,COOL,COOL,70.6855,6.21103,2.81158
181,2016-07-01 15:05:00,HEAT,COOL,69.99,6.23978,2.81798
182,2016-07-01 15:10:00,COOL,HEAT,79.1728,6.27209,2.82512
183,2016-07-01 15:15:00,COOL,COOL,75.1436,6.30254,2.8318
184,2016-07-01 15:20:00,COOL,COOL,72.4302,6.33113,2.83801
185,2016-07-01 15:25:00,COOL,COOL,71.2501,6.35784,2.84378
186,2016-07-01 15:30:00,COOL,COOL,70.5276,6.38265,2.84909
187,2016-07-01 15:35:00,HEAT,COOL,69.9433,6.40555,2.85397
188,2016-07-01 15:40:00,COOL,HEAT,79.3144,6.42654,2.85841
189,2016-07-01 15:45:00,COOL,COOL,75.217,6.44559,2.86243
190,2016-07-01 15:50:00,COOL,COOL,72.4538,6.46271,2.86602
191,2016-07-01 15:55:00,COOL,COOL,71.251,6.47788,2.86918
192,2016-07-01 16:00:00,COOL,COOL,70.5157,6.4911,2.87193
193,2016-07-01 16:05:00,HEAT,COOL,69.9268,6.49663,2.87307
194,2016-07-01 16:10:00,COOL,HEAT,79.4075,6.49991,2.87375
195,2016-07-01 16:15:00,COOL,COOL,75.2901,6.50249,2.87429
196,2016-07-01 16:20:00,COOL,COOL,72.526,6.50437,2.87468
197,2016-07-01 16:25:00,COOL,COOL,71.3418,6.50556,2.87492
198,2016-07-01 16:30:00,COOL,COOL,70.6346,6.50604,2.87502
199,2016-07-01 16:35:00,HEAT,COOL,70.0729,6.50583,2.87498
200,2016-07-01 16:40:00,COOL,HEAT,79.598,6.50493,2.87479
201,2016-07-01 16:45:00,COOL,COOL,75.485,6.50332,2.87446
202,2016-07-01 16:50:00,COOL,COOL,72.7301,6.50102,2.87398
203,2016-07-01 16:55:00,COOL,COOL,71.552,6.49803,2.87336
204,2016-07-01 17:00:00,COOL,COOL,70.8466,6.49433,2.8726
205,2016-07-01 17:05:00,HEAT,COOL,70.2832,6.4837,2.87039
206,2016-07-01 17:10:00,COOL,HEAT,79.7619,6.47208,2.86797
207,2016-07-01 17:15:00,COOL,COOL,75.6381,6.46117,2.86569
208,2016-07-01 17:20:00,COOL,COOL,72.8614,6.45096,2.86355
209,2016-07-01 17:25:00,COOL,COOL,71.6561,6.44145,2.86156
210,2016-07-01 17:30:00,COOL,COOL,70.9152,6.43264,2.8597
211,2016-07-01 17:35:00,HEAT,COOL,70.313,6.42454,2.85799
212,2016-07-01 17:40:00,COOL,HEAT,79.673,6.41713,2.85643
213,2016-07-01 17:45:00,COOL,COOL,75.546,6.41041,2.855
214,2016-07-01 17:50:00,COOL,COOL,72.7563,6.40439,2.85373
215,2016-07-01 17:55:00,COOL,COOL,71.5266,6.39907,2.85259
216,2016-07-01 18:00:00,COOL,COOL,70.7587,6.39444,2.85161
217,2016-07-01 18:05:00,HEAT,COOL,70.1306,6.39669,2.85209
218,2016-07-01 18:10:00,COOL,HEAT,79.45,6.39994,2.85278
219,2016-07-01 18:15:00,COOL,COOL,75.3113,6.4025,2.85332
220,2016-07-01 18:20:00,COOL,COOL,72.5077,6.40437,2.85372
221,2016-07-01 18:25:00,COOL,COOL,71.2631,6.40554,2.85397
222,2016-07-01 18:30:00,HEAT,COOL,70.4806,6.40603,2.85407
223,2016-07-01 18:35:00,COOL,HEAT,79.7703,6.40582,2.85403
224,2016-07-01 18:40:00,COOL,COOL,75.587,6.40492,2.85384
225,2016-07-01 18:45:00,COOL,COOL,72.7494,6.40333,2.8535
226,2016-07-01 18:50:00,COOL,COOL,71.4755,6.40105,2.85302
227,2016-07-01 18:55:00,COOL,COOL,70.6706,6.39808,2.85238
228,2016-07-01 19:00:00,HEAT,COOL,70.0022,6.39441,2.8516
229,2016-07-01 19:05:00,COOL,HEAT,79.3082,6.39522,2.85178
230,2016-07-01 19:10:00,COOL,COOL,75.1132,6.39559,2.85185
231,2016-07-01 19:15:00,COOL,COOL,72.2542,6.39411,2.85154
