,timedate,mode,actual_mode,T_air,q_heat,q_cool
232,2016-07-01 19:20:00,COOL,COOL,70.9547,6.3908,2.85083
233,2016-07-01 19:25:00,HEAT,COOL,70.1215,6.38564,2.84973
234,2016-07-01 19:30:00,COOL,HEAT,79.3295,6.37865,2.84824
235,2016-07-01 19:35:00,COOL,COOL,75.0958,6.36982,2.84635
236,2016-07-01 19:40:00,COOL,COOL,72.2028,6.35916,2.84406
237,2016-07-01 19:45:00,COOL,COOL,70.8664,6.34667,2.84137
238,2016-07-01 19:50:00,HEAT,COOL,69.9948,6.33237,2.83828
239,2016-07-01 19:55:00,COOL,HEAT,79.086,6.31625,2.83478
240,2016-07-01 20:00:00,COOL,COOL,74.8384,6.29833,2.83088
241,2016-07-01 20:05:00,COOL,COOL,71.917,6.26177,2.82285
242,2016-07-01 20:10:00,COOL,COOL,70.5276,6.22268,2.81418
243,2016-07-01 20:15:00,HEAT,COOL,69.5925,6.18565,2.80588
244,2016-07-01 20:20:00,COOL,HEAT,78.4276,6.15065,2.79796
245,2016-07-01 20:25:00,COOL,COOL,74.1753,6.11768,2.79043
246,2016-07-01 20:30:00,COOL,COOL,71.2289,6.08671,2.7833
247,2016-07-01 20:35:00,HEAT,COOL,69.7979,6.05772,2.77657
248,2016-07-01 20:40:00,COOL,HEAT,78.317,6.03071,2.77025
249,2016-07-01 20:45:00,COOL,COOL,74.0359,6.00565,2.76435
250,2016-07-01 20:50:00,COOL,COOL,71.0724,5.98254,2.75887
251,2016-07-01 20:55:00,HEAT,COOL,69.6147,5.96137,2.75382
252,2016-07-01 21:00:00,COOL,HEAT,78.0072,5.94211,2.7492
253,2016-07-01 21:05:00,COOL,COOL,73.7417,5.93615,2.74777
254,2016-07-01 21:10:00,COOL,COOL,70.7918,5.93264,2.74692
255,2016-07-01 21:15:00,HEAT,COOL,69.3398,5.92846,2.74591
256,2016-07-01 21:20:00,COOL,HEAT,77.7133,5.92362,2.74475
257,2016-07-01 21:25:00,COOL,COOL,73.4631,5.91812,2.74342
258,2016-07-01 21:30:00,COOL,COOL,70.517,5.91196,2.74193
259,2016-07-01 21:35:00,HEAT,COOL,69.0631,5.90515,2.74027
260,2016-07-01 21:40:00,COOL,HEAT,77.4073,5.89767,2.73846
261,2016-07-01 21:45:00,COOL,COOL,73.162,5.88955,2.73648
262,2016-07-01 21:50:00,HEAT,COOL,70.2176,5.88076,2.73433
263,2016-07-01 21:55:00,COOL,HEAT,78.0814,5.87133,2.73202
264,2016-07-01 22:00:00,COOL,COOL,73.7061,5.86124,2.72955
265,2016-07-01 22:05:00,COOL,COOL,70.7181,5.84705,2.72485
266,2016-07-01 22:10:00,HEAT,COOL,69.2356,5.83541,2.71987
267,2016-07-01 22:15:00,COOL,HEAT,77.4588,5.82442,2.71517
268,2016-07-01 22:20:00,COOL,COOL,73.2291,5.81411,2.71076
269,2016-07-01 22:25:00,HEAT,COOL,70.2879,5.80446,2.70663
270,2016-07-01 22:30:00,COOL,HEAT,78.0168,5.7955,2.7028
271,2016-07-01 22:35:00,COOL,COOL,73.6688,5.78722,2.69925
272,2016-07-01 22:40:00,COOL,COOL,70.6931,5.77964,2.69601
273,2016-07-01 22:45:00,HEAT,COOL,69.2053,5.77275,2.69306
274,2016-07-01 22:50:00,COOL,HEAT,77.3142,5.76656,2.69041
275,2016-07-01 22:55:00,COOL,COOL,73.1147,5.76107,2.68806
276,2016-07-01 23:00:00,HEAT,COOL,70.1895,5.75629,2.68601
277,2016-07-01 23:05:00,COOL,HEAT,77.8475,5.75891,2.68713
278,2016-07-01 23:10:00,COOL,COOL,73.5324,5.76257,2.6887
279,2016-07-01 23:15:00,COOL,COOL,70.5792,5.76544,2.68993
280,2016-07-01 23:20:00,HEAT,COOL,69.1039,5.76754,2.69083
281,2016-07-01 23:25:00,COOL,HEAT,77.2198,5.76886,2.69139
282,2016-07-01 23:30:00,COOL,COOL,73.0315,5.7694,2.69163
283,2016-07-01 23:35:00,HEAT,COOL,70.1154,5.76917,2.69153
284,2016-07-01 23:40:00,COOL,HEAT,77.7984,5.76816,2.69109
285,2016-07-01 23:45:00,COOL,COOL,73.4756,5.76637,2.69033
286,2016-07-01 23:50:00,COOL,COOL,70.5151,5.76381,2.68923
287,2016-07-01 23:55:00,HEAT,COOL,69.0332,5.76047,2.6878
288,2016-07-02 00:00:00,COOL,HEAT,77.1257,5.75634,2.68603
