,id,p_bid,q_bid,arrival_time,appliance_name
0,1,62.4884,2.75216,2016-07-01 00:00:00,HVAC_house_1
1,2,62.8062,2.75216,2016-07-01 00:00:00,HVAC_house_2
2,3,62.118,2.75216,2016-07-01 00:00:00,HVAC_house_3
3,4,60.7354,2.75216,2016-07-01 00:00:00,HVAC_house_4
4,5,62.1492,3.21085,2016-07-01 00:00:00,HVAC_house_5
5,6,62.9498,2.75216,2016-07-01 00:00:00,HVAC_house_6
6,7,-1.0,0.0,2016-07-01 00:00:00,unresp_load
7,8,27.5046,2.75012,2016-07-01 00:05:00,HVAC_house_1
8,9,26.9092,2.75012,2016-07-01 00:05:00,HVAC_house_2
9,10,26.6456,2.75012,2016-07-01 00:05:00,HVAC_house_3
10,11,26.7526,2.75012,2016-07-01 00:05:00,HVAC_house_4
11,12,26.9124,3.20847,2016-07-01 00:05:00,HVAC_house_5
12,13,27.9308,2.75012,2016-07-01 00:05:00,HVAC_house_6
13,14,-1.0,0.0,2016-07-01 00:05:00,unresp_load
14,15,19.5,2.74756,2016-07-01 00:10:00,HVAC_house_1
15,16,19.5,2.74756,2016-07-01 00:10:00,HVAC_house_2
16,17,19.5,2.74756,2016-07-01 00:10:00,HVAC_house_3
17,18,19.5,2.74756,2016-07-01 00:10:00,HVAC_house_4
18,19,19.5,3.20549,2016-07-01 00:10:00,HVAC_house_5
19,20,19.5,2.74756,2016-07-01 00:10:00,HVAC_house_6
20,21,-1.0,0.0,2016-07-01 00:10:00,unresp_load
21,22,19.5,2.74501,2016-07-01 00:15:00,HVAC_house_1
22,23,19.5,2.74501,2016-07-01 00:15:00,HVAC_house_2
23,24,19.5,2.74501,2016-07-01 00:15:00,HVAC_house_3
24,25,19.5,2.74501,2016-07-01 00:15:00,HVAC_house_4
25,26,19.5,3.20251,2016-07-01 00:15:00,HVAC_house_5
26,27,19.5,2.74501,2016-07-01 00:15:00,HVAC_house_6
27,28,-1.0,0.0,2016-07-01 00:15:00,unresp_load
28,29,19.8993,2.74244,2016-07-01 00:20:00,HVAC_house_1
29,30,19.8604,2.74244,2016-07-01 00:20:00,HVAC_house_2
30,31,19.8564,2.74244,2016-07-01 00:20:00,HVAC_house_3
31,32,19.8953,2.74244,2016-07-01 00:20:00,HVAC_house_4
32,33,19.8651,3.19952,2016-07-01 00:20:00,HVAC_house_5
33,34,19.9173,2.74244,2016-07-01 00:20:00,HVAC_house_6
34,35,-1.0,0.0,2016-07-01 00:20:00,unresp_load
35,36,20.1128,2.73987,2016-07-01 00:25:00,HVAC_house_1
36,37,20.0766,2.73987,2016-07-01 00:25:00,HVAC_house_2
37,38,20.0693,2.73987,2016-07-01 00:25:00,HVAC_house_3
38,39,20.1096,2.73987,2016-07-01 00:25:00,HVAC_house_4
39,40,20.0814,3.19652,2016-07-01 00:25:00,HVAC_house_5
40,41,20.1342,2.73987,2016-07-01 00:25:00,HVAC_house_6
41,42,-1.0,0.0,2016-07-01 00:25:00,unresp_load
42,43,19.9314,2.7373,2016-07-01 00:30:00,HVAC_house_1
43,44,19.8483,2.7373,2016-07-01 00:30:00,HVAC_house_2
44,45,19.8545,2.7373,2016-07-01 00:30:00,HVAC_house_3
45,46,19.9259,2.7373,2016-07-01 00:30:00,HVAC_house_4
46,47,19.8838,3.19352,2016-07-01 00:30:00,HVAC_house_5
47,48,19.9529,2.7373,2016-07-01 00:30:00,HVAC_house_6
48,49,-1.0,0.0,2016-07-01 00:30:00,unresp_load
49,50,19.7941,2.73472,2016-07-01 00:35:00,HVAC_house_1
50,51,19.9718,2.73472,2016-07-01 00:35:00,HVAC_house_2
51,52,19.9718,2.73472,2016-07-01 00:35:00,HVAC_house_3
52,53,19.7879,2.73472,2016-07-01 00:35:00,HVAC_house_4
53,54,19.7387,3.19051,2016-07-01 00:35:00,HVAC_house_5
54,55,19.8137,2.73472,2016-07-01 00:35:00,HVAC_house_6
55,56,-1.0,0.0,2016-07-01 00:35:00,unresp_load
56,57,19.9353,2.73214,2016-07-01 00:40:00,HVAC_house_1
57,58,19.7806,2.73214,2016-07-01 00:40:00,HVAC_house_2
58,59,19.7898,2.73214,2016-07-01 00:40:00,HVAC_house_3
59,60,19.9311,2.73214,2016-07-01 00:40:00,HVAC_house_4
60,61,19.8942,3.1875,2016-07-01 00:40:00,HVAC_house_5
61,62,19.9526,2.73214,2016-07-01 00:40:00,HVAC_house_6
62,63,-1.0,0.0,2016-07-01 00:40:00,unresp_load
