,timedate,soc_rel
0,2016-07-01 00:00:00,0.2
1,2016-07-01 00:05:00,0.224507
2,2016-07-01 00:10:00,0.230634
3,2016-07-01 00:15:00,0.255142
4,2016-07-01 00:20:00,0.261269
5,2016-07-01 00:25:00,0.261269
6,2016-07-01 00:30:00,0.261269
7,2016-07-01 00:35:00,0.261269
8,2016-07-01 00:40:00,0.261269
9,2016-07-01 00:45:00,0.261269
10,2016-07-01 00:50:00,0.261269
11,2016-07-01 00:55:00,0.261269
12,2016-07-01 01:00:00,0.261269
13,2016-07-01 01:05:00,0.261269
14,2016-07-01 01:10:00,0.261269
15,2016-07-01 01:15:00,0.261269
16,2016-07-01 01:20:00,0.261269
17,2016-07-01 01:25:00,0.261269
18,2016-07-01 01:30:00,0.261269
19,2016-07-01 01:35:00,0.261269
20,2016-07-01 01:40:00,0.261269
21,2016-07-01 01:45:00,0.261269
22,2016-07-01 01:50:00,0.261269
23,2016-07-01 01:55:00,0.261269
24,2016-07-01 02:00:00,0.261269
25,2016-07-01 02:05:00,0.261269
26,2016-07-01 02:10:00,0.261269
27,2016-07-01 02:15:00,0.261269
28,2016-07-01 02:20:00,0.261269
29,2016-07-01 02:25:00,0.261269
30,2016-07-01 02:30:00,0.261269
31,2016-07-01 02:35:00,0.261269
32,2016-07-01 02:40:00,0.261269
33,2016-07-01 02:45:00,0.261269
34,2016-07-01 02:50:00,0.261269
35,2016-07-01 02:55:00,0.261269
36,2016-07-01 03:00:00,0.261269
37,2016-07-01 03:05:00,0.261269
38,2016-07-01 03:10:00,0.261269
39,2016-07-01 03:15:00,0.261269
40,2016-07-01 03:20:00,0.261269
41,2016-07-01 03:25:00,0.261269
42,2016-07-01 03:30:00,0.261269
43,2016-07-01 03:35:00,0.261269
44,2016-07-01 03:40:00,0.261269
45,2016-07-01 03:45:00,0.261269
46,2016-07-01 03:50:00,0.261269
47,2016-07-01 03:55:00,0.261269
48,2016-07-01 04:00:00,0.261269
49,2016-07-01 04:05:00,0.261269
50,2016-07-01 04:10:00,0.261269
51,2016-07-01 04:15:00,0.261269
52,2016-07-01 04:20:00,0.261269
53,2016-07-01 04:25:00,0.261269
54,2016-07-01 04:30:00,0.261269
55,2016-07-01 04:35:00,0.261269
56,2016-07-01 04:40:00,0.261269
57,2016-07-01 04:45:00,0.261269
58,2016-07-01 04:50:00,0.261269
59,2016-07-01 04:55:00,0.261269
60,2016-07-01 05:00:00,0.261269
61,2016-07-01 05:05:00,0.261269
62,2016-07-01 05:10:00,0.261269
63,2016-07-01 05:15:00,0.261269
64,2016-07-01 05:20:00,0.261269
65,2016-07-01 05:25:00,0.261269
66,2016-07-01 05:30:00,0.261269
67,2016-07-01 05:35:00,0.261269
68,2016-07-01 05:40:00,0.261269
69,2016-07-01 05:45:00,0.261269
70,2016-07-01 05:50:00,0.261269
71,2016-07-01 05:55:00,0.261269
