,timedate,p_demand,p_supply,q_demand,q_supply
80,2016-07-01 06:40:00,9.6902,684.005,3.15789,2.19466
81,2016-07-01 06:45:00,9.83408,683.988,3.15789,2.19466
82,2016-07-01 06:50:00,9.5558,684.021,3.15789,2.19466
83,2016-07-01 06:55:00,9.27942,684.053,3.15789,2.19466
84,2016-07-01 07:00:00,9.00494,684.085,3.15789,2.19466
85,2016-07-01 07:05:00,7.9015,684.207,3.15789,2.19466
86,2016-07-01 07:10:00,6.82038,684.327,3.15789,2.19466
87,2016-07-01 07:15:00,5.7616,684.446,3.15789,2.19466
88,2016-07-01 07:20:00,4.19469,684.619,3.15789,2.19466
89,2016-07-01 07:25:00,2.67042,684.788,3.15789,2.19466
90,2016-07-01 07:30:00,1.18881,684.953,3.15789,2.19466
91,2016-07-01 07:35:00,-0.78218,685.174,3.15789,2.19466
92,2016-07-01 07:40:00,-2.67697,685.388,3.15789,2.19466
93,2016-07-01 07:45:00,-4.49556,685.597,3.15789,2.19466
94,2016-07-01 07:50:00,-5.94948,685.778,3.15789,2.19466
95,2016-07-01 07:55:00,-7.32197,685.953,3.15789,2.19466
96,2016-07-01 08:00:00,-8.613,686.121,3.15789,2.19466
97,2016-07-01 08:05:00,-9.53034,686.259,3.15789,2.19466
98,2016-07-01 08:10:00,-10.3656,686.39,3.15789,2.19466
99,2016-07-01 08:15:00,-11.1189,686.515,3.15789,2.19466
100,2016-07-01 08:20:00,-12.174,686.678,3.15789,2.19466
101,2016-07-01 08:25:00,-13.1097,686.831,3.15789,2.19466
102,2016-07-01 08:30:00,-13.926,686.974,3.15789,2.19466
103,2016-07-01 08:35:00,-14.5901,687.111,3.15789,2.19466
104,2016-07-01 08:40:00,-15.1177,687.236,3.15789,2.19466
105,2016-07-01 08:45:00,-15.5088,687.351,3.15789,2.19466
106,2016-07-01 08:50:00,-15.7888,687.458,3.15789,2.19466
107,2016-07-01 08:55:00,-15.9276,687.554,3.15789,2.19466
108,2016-07-01 09:00:00,-15.9253,687.638,3.15789,2.19466
109,2016-07-01 09:05:00,-15.7403,687.707,3.15789,2.19466
110,2016-07-01 09:10:00,-15.4173,687.764,3.15789,2.19466
111,2016-07-01 09:15:00,-14.9562,687.811,3.15789,2.19466
112,2016-07-01 09:20:00,-14.5947,687.875,3.15789,2.19466
113,2016-07-01 09:25:00,-14.0592,687.926,3.15789,2.19466
114,2016-07-01 09:30:00,-13.3496,687.963,3.15789,2.19466
115,2016-07-01 09:35:00,-13.036,688.047,3.15789,2.19466
116,2016-07-01 09:40:00,-12.4855,688.112,3.15789,2.19466
117,2016-07-01 09:45:00,-11.6981,688.158,3.15789,2.19466
118,2016-07-01 09:50:00,-13.6336,688.457,3.15789,2.19466
119,2016-07-01 09:55:00,-15.1683,688.722,3.15789,2.19466
120,2016-07-01 10:00:00,-16.3023,688.956,3.15789,2.19466
121,2016-07-01 10:05:00,-18.6262,689.292,3.15789,2.19466
122,2016-07-01 10:10:00,-20.5117,689.592,3.15789,2.19466
123,2016-07-01 10:15:00,-21.9588,689.858,3.15789,2.19466
124,2016-07-01 10:20:00,-32.353,690.906,3.15789,2.19466
125,2016-07-01 10:25:00,-41.8534,691.883,3.15789,2.19466
126,2016-07-01 10:30:00,-50.46,692.788,3.15789,2.19466
127,2016-07-01 10:35:00,-80.6968,695.529,3.15789,2.19466
128,2016-07-01 10:40:00,-109.049,698.118,3.15789,2.19466
129,2016-07-01 10:45:00,-135.515,700.555,3.15789,2.19466
130,2016-07-01 10:50:00,-146.239,701.637,3.15789,2.19466
131,2016-07-01 10:55:00,-156.013,702.642,3.15789,2.19466
132,2016-07-01 11:00:00,-164.838,703.571,3.15789,2.19466
133,2016-07-01 11:05:00,-170.622,704.237,3.15789,2.19466
134,2016-07-01 11:10:00,-175.614,704.838,3.15789,2.19466
135,2016-07-01 11:15:00,-179.813,705.376,3.15789,2.19466
136,2016-07-01 11:20:00,-190.241,706.462,3.15789,2.19466
137,2016-07-01 11:25:00,-199.461,707.451,3.15789,2.19466
138,2016-07-01 11:30:00,-207.474,708.343,3.15789,2.19466
139,2016-07-01 11:35:00,-221.342,709.733,3.15789,2.19466
140,2016-07-01 11:40:00,-233.713,711.003,3.15789,2.19466
141,2016-07-01 11:45:00,-244.588,712.153,3.15789,2.19466
142,2016-07-01 11:50:00,-259.829,713.658,3.15789,2.19466
143,2016-07-01 11:55:00,-273.534,715.039,3.15789,2.19466
144,2016-07-01 12:00:00,-285.704,716.296,3.15789,2.19466
145,2016-07-01 12:05:00,-296.819,717.457,3.15789,2.19466
146,2016-07-01 12:10:00,-306.529,718.504,3.15789,2.19466
147,2016-07-01 12:15:00,-314.835,719.439,3.15789,2.19466
148,2016-07-01 12:20:00,-324.287,720.465,3.15789,2.19466
149,2016-07-01 12:25:00,-332.338,721.379,3.15789,2.19466
150,2016-07-01 12:30:00,-338.986,722.18,3.15789,2.19466
151,2016-07-01 12:35:00,-351.375,723.487,3.15789,2.19466
152,2016-07-01 12:40:00,-361.858,724.641,3.15789,2.19466
153,2016-07-01 12:45:00,-370.437,725.641,3.15789,2.19466
154,2016-07-01 12:50:00,-377.256,726.508,3.15789,2.19466
155,2016-07-01 12:55:00,-382.072,727.214,3.15789,2.19466
156,2016-07-01 13:00:00,-384.884,727.758,3.15789,2.19466
157,2016-07-01 13:05:00,-392.418,728.699,3.15789,2.19466
158,2016-07-01 13:10:00,-397.734,729.462,3.15789,2.19466
159,2016-07-01 13:15:00,-400.833,730.046,3.15789,2.19466
160,2016-07-01 13:20:00,-414.925,731.571,3.15789,2.19466
161,2016-07-01 13:25:00,-425.987,732.852,3.15789,2.19466
162,2016-07-01 13:30:00,-434.021,733.889,3.15789,2.19466
163,2016-07-01 13:35:00,-434.985,734.338,3.15789,2.19466
164,2016-07-01 13:40:00,-433.227,734.568,3.15789,2.19466
165,2016-07-01 13:45:00,-428.746,734.578,3.15789,2.19466
166,2016-07-01 13:50:00,-433.596,735.397,3.15789,2.19466
167,2016-07-01 13:55:00,-434.816,735.924,3.15789,2.19466
168,2016-07-01 14:00:00,-432.406,736.159,3.15789,2.19466
169,2016-07-01 14:05:00,-409.24,734.591,3.15789,2.19466
170,2016-07-01 14:10:00,-384.342,732.885,3.15789,2.19466
171,2016-07-01 14:15:00,-357.713,731.039,3.15789,2.19466
172,2016-07-01 14:20:00,-332.593,729.296,3.15789,2.19466
173,2016-07-01 14:25:00,-305.95,727.431,3.15789,2.19466
174,2016-07-01 14:30:00,-277.785,725.443,3.15789,2.19466
175,2016-07-01 14:35:00,-257.783,724.086,3.15789,2.19466
176,2016-07-01 14:40:00,-236.529,722.628,3.15789,2.19466
177,2016-07-01 14:45:00,-214.023,721.069,3.15789,2.19466
178,2016-07-01 14:50:00,-192.921,719.605,3.15789,2.19466
179,2016-07-01 14:55:00,-170.748,718.054,3.15789,2.19466
180,2016-07-01 15:00:00,-147.504,716.417,3.15789,2.19466
181,2016-07-01 15:05:00,-136.757,715.703,3.15789,2.19466
182,2016-07-01 15:10:00,-125.566,714.952,3.15789,2.19466
183,2016-07-01 15:15:00,-113.933,714.166,3.15789,2.19466
184,2016-07-01 15:20:00,-113.051,714.151,3.15789,2.19466
185,2016-07-01 15:25:00,-112.107,714.131,3.15789,2.19466
186,2016-07-01 15:30:00,-111.101,714.107,3.15789,2.19466
187,2016-07-01 15:35:00,-103.219,713.59,3.15789,2.19466
188,2016-07-01 15:40:00,-95.0649,713.051,3.15789,2.19466
189,2016-07-01 15:45:00,-86.6396,712.491,3.15789,2.19466
190,2016-07-01 15:50:00,-75.5331,711.745,3.15789,2.19466
191,2016-07-01 15:55:00,-63.9937,710.965,3.15789,2.19466
192,2016-07-01 16:00:00,-52.0215,710.15,3.15789,2.19466
193,2016-07-01 16:05:00,-46.197,709.78,3.15789,2.19466
194,2016-07-01 16:10:00,-40.1817,709.394,3.15789,2.19466
195,2016-07-01 16:15:00,-33.9755,708.994,3.15789,2.19466
196,2016-07-01 16:20:00,-31.4985,708.838,3.15789,2.19466
197,2016-07-01 16:25:00,-28.9831,708.68,3.15789,2.19466
198,2016-07-01 16:30:00,-26.4291,708.519,3.15789,2.19466
199,2016-07-01 16:35:00,-25.4364,708.459,3.15789,2.19466
200,2016-07-01 16:40:00,-24.4358,708.399,3.15789,2.19466
201,2016-07-01 16:45:00,-23.4271,708.338,3.15789,2.19466
202,2016-07-01 16:50:00,-22.8541,708.301,3.15789,2.19466
203,2016-07-01 16:55:00,-22.2793,708.265,3.15789,2.19466
204,2016-07-01 17:00:00,-21.7027,708.228,3.15789,2.19466
205,2016-07-01 17:05:00,-21.5869,708.221,3.15789,2.19466
206,2016-07-01 17:10:00,-21.4711,708.213,3.15789,2.19466
207,2016-07-01 17:15:00,-21.3551,708.206,3.15789,2.19466
208,2016-07-01 17:20:00,-23.5849,708.331,3.15789,2.19466
209,2016-07-01 17:25:00,-25.7562,708.451,3.15789,2.19466
210,2016-07-01 17:30:00,-27.8691,708.567,3.15789,2.19466
211,2016-07-01 17:35:00,-31.1165,708.754,3.15789,2.19466
212,2016-07-01 17:40:00,-34.2563,708.933,3.15789,2.19466
213,2016-07-01 17:45:00,-37.2886,709.103,3.15789,2.19466
214,2016-07-01 17:50:00,-39.4442,709.181,3.15789,2.19466
215,2016-07-01 17:55:00,-41.4178,709.243,3.15789,2.19466
216,2016-07-01 18:00:00,-43.2096,709.292,3.15789,2.19466
217,2016-07-01 18:05:00,-41.2723,708.973,3.15789,2.19466
218,2016-07-01 18:10:00,-38.8103,708.612,3.15789,2.19466
219,2016-07-01 18:15:00,-35.8236,708.209,3.15789,2.19466
220,2016-07-01 18:20:00,-34.7104,707.97,3.15789,2.19466
221,2016-07-01 18:25:00,-33.1588,707.697,3.15789,2.19466
222,2016-07-01 18:30:00,-31.1689,707.388,3.15789,2.19466
223,2016-07-01 18:35:00,-24.1468,706.582,3.15789,2.19466
224,2016-07-01 18:40:00,-15.9799,705.685,3.15789,2.19466
225,2016-07-01 18:45:00,-6.66826,704.695,3.15789,2.19466
226,2016-07-01 18:50:00,-16.0326,705.281,3.15789,2.19466
227,2016-07-01 18:55:00,-24.8449,705.823,3.15789,2.19466
228,2016-07-01 19:00:00,-33.1051,706.32,3.15789,2.19466
229,2016-07-01 19:05:00,-39.285,706.668,3.15789,2.19466
230,2016-07-01 19:10:00,-45.0251,706.981,3.15789,2.19466
231,2016-07-01 19:15:00,-50.3255,707.258,3.15789,2.19466
232,2016-07-01 19:20:00,-48.8443,707.059,3.15789,2.19466
233,2016-07-01 19:25:00,-47.2386,706.851,3.15789,2.19466
234,2016-07-01 19:30:00,-45.5083,706.632,3.15789,2.19466
235,2016-07-01 19:35:00,-52.6988,707.03,3.15789,2.19466
236,2016-07-01 19:40:00,-59.244,707.376,3.15789,2.19466
237,2016-07-01 19:45:00,-65.144,707.669,3.15789,2.19466
238,2016-07-01 19:50:00,-80.8114,708.703,3.15789,2.19466
239,2016-07-01 19:55:00,-95.4675,709.656,3.15789,2.19466
240,2016-07-01 20:00:00,-109.112,710.527,3.15789,2.19466
241,2016-07-01 20:05:00,-111.879,710.576,3.15789,2.19466
242,2016-07-01 20:10:00,-114.045,710.575,3.15789,2.19466
243,2016-07-01 20:15:00,-115.609,710.527,3.15789,2.19466
244,2016-07-01 20:20:00,-119.585,710.666,3.15789,2.19466
245,2016-07-01 20:25:00,-122.918,710.754,3.15789,2.19466
246,2016-07-01 20:30:00,-125.607,710.79,3.15789,2.19466
247,2016-07-01 20:35:00,-128.108,710.779,3.15789,2.19466
248,2016-07-01 20:40:00,-129.724,710.697,3.15789,2.19466
249,2016-07-01 20:45:00,-130.453,710.544,3.15789,2.19466
250,2016-07-01 20:50:00,-128.321,710.188,3.15789,2.19466
251,2016-07-01 20:55:00,-125.511,709.777,3.15789,2.19466
252,2016-07-01 21:00:00,-122.024,709.311,3.15789,2.19466
253,2016-07-01 21:05:00,-120.198,708.998,3.15789,2.19466
254,2016-07-01 21:10:00,-117.828,708.642,3.15789,2.19466
255,2016-07-01 21:15:00,-114.914,708.241,3.15789,2.19466
256,2016-07-01 21:20:00,-112.99,707.911,3.15789,2.19466
257,2016-07-01 21:25:00,-110.456,707.531,3.15789,2.19466
258,2016-07-01 21:30:00,-107.311,707.103,3.15789,2.19466
259,2016-07-01 21:35:00,-109.082,707.042,3.15789,2.19466
260,2016-07-01 21:40:00,-110.042,706.917,3.15789,2.19466
261,2016-07-01 21:45:00,-110.19,706.726,3.15789,2.19466
262,2016-07-01 21:50:00,-111.763,706.63,3.15789,2.19466
263,2016-07-01 21:55:00,-112.35,706.454,3.15789,2.19466
264,2016-07-01 22:00:00,-111.954,706.199,3.15789,2.19466
265,2016-07-01 22:05:00,-115.8,706.277,3.15789,2.19466
266,2016-07-01 22:10:00,-118.586,706.269,3.15789,2.19466
267,2016-07-01 22:15:00,-120.312,706.176,3.15789,2.19466
268,2016-07-01 22:20:00,-123.405,706.205,3.15789,2.19466
269,2016-07-01 22:25:00,-125.538,706.156,3.15789,2.19466
270,2016-07-01 22:30:00,-126.711,706.03,3.15789,2.19466
271,2016-07-01 22:35:00,-129.073,705.976,3.15789,2.19466
272,2016-07-01 22:40:00,-130.257,705.827,3.15789,2.19466
273,2016-07-01 22:45:00,-130.263,705.583,3.15789,2.19466
274,2016-07-01 22:50:00,-130.45,705.362,3.15789,2.19466
275,2016-07-01 22:55:00,-129.531,705.051,3.15789,2.19466
276,2016-07-01 23:00:00,-127.504,704.651,3.15789,2.19466
277,2016-07-01 23:05:00,-125.263,704.239,3.15789,2.19466
278,2016-07-01 23:10:00,-121.956,703.741,3.15789,2.19466
279,2016-07-01 23:15:00,-117.583,703.157,3.15789,2.19466
280,2016-07-01 23:20:00,-118.682,703.033,3.15789,2.19466
281,2016-07-01 23:25:00,-118.891,702.838,3.15789,2.19466
282,2016-07-01 23:30:00,-118.211,702.571,3.15789,2.19466
283,2016-07-01 23:35:00,-122.499,702.748,3.15789,2.19466
284,2016-07-01 23:40:00,-126.229,702.879,3.15789,2.19466
285,2016-07-01 23:45:00,-129.4,702.966,3.15789,2.19466
286,2016-07-01 23:50:00,-131.514,702.949,3.15789,2.19466
287,2016-07-01 23:55:00,-132.934,702.876,3.15789,2.19466
288,2016-07-02 00:00:00,-133.66,702.747,3.15789,2.19466
