,timedate,WS_price
0,2016-07-01 00:00:00,19.5
1,2016-07-01 00:05:00,19.5
2,2016-07-01 00:10:00,19.5
3,2016-07-01 00:15:00,19.93
4,2016-07-01 00:20:00,19.93
5,2016-07-01 00:25:00,19.93
6,2016-07-01 00:30:00,19.88
7,2016-07-01 00:35:00,19.88
8,2016-07-01 00:40:00,19.88
9,2016-07-01 00:45:00,19.72
10,2016-07-01 00:50:00,19.72
11,2016-07-01 00:55:00,19.72
12,2016-07-01 01:00:00,19.45
13,2016-07-01 01:05:00,19.45
14,2016-07-01 01:10:00,19.45
15,2016-07-01 01:15:00,19.09
16,2016-07-01 01:20:00,19.09
17,2016-07-01 01:25:00,19.09
18,2016-07-01 01:30:00,18.54
19,2016-07-01 01:35:00,18.54
20,2016-07-01 01:40:00,18.54
21,2016-07-01 01:45:00,18.16
22,2016-07-01 01:50:00,18.16
23,2016-07-01 01:55:00,18.16
24,2016-07-01 02:00:00,17.81
25,2016-07-01 02:05:00,17.81
26,2016-07-01 02:10:00,17.81
27,2016-07-01 02:15:00,17.5
28,2016-07-01 02:20:00,17.5
29,2016-07-01 02:25:00,17.5
30,2016-07-01 02:30:00,17.34
31,2016-07-01 02:35:00,17.34
32,2016-07-01 02:40:00,17.34
33,2016-07-01 02:45:00,17.04
34,2016-07-01 02:50:00,17.04
35,2016-07-01 02:55:00,17.04
36,2016-07-01 03:00:00,16.79
37,2016-07-01 03:05:00,16.79
38,2016-07-01 03:10:00,16.79
39,2016-07-01 03:15:00,16.61
40,2016-07-01 03:20:00,16.61
41,2016-07-01 03:25:00,16.61
42,2016-07-01 03:30:00,16.45
43,2016-07-01 03:35:00,16.45
44,2016-07-01 03:40:00,16.45
45,2016-07-01 03:45:00,16.3
46,2016-07-01 03:50:00,16.3
47,2016-07-01 03:55:00,16.3
48,2016-07-01 04:00:00,16.28
49,2016-07-01 04:05:00,16.28
50,2016-07-01 04:10:00,16.28
51,2016-07-01 04:15:00,16.28
52,2016-07-01 04:20:00,16.28
53,2016-07-01 04:25:00,16.28
54,2016-07-01 04:30:00,16.19
55,2016-07-01 04:35:00,16.19
56,2016-07-01 04:40:00,16.19
