,timedate,operating_mode,capacity,unresp_load,p_cleared,q_cleared,tie_break
0,2016-07-01 00:00:00,normal,1250.0,0.0,19.5,16.971,1.0
1,2016-07-01 00:05:00,normal,1250.0,0.0,19.5,16.958,1.0
2,2016-07-01 00:10:00,normal,1250.0,0.0,19.5,16.945,1.0
3,2016-07-01 00:15:00,normal,1250.0,0.0,19.93,0.0,1.0
4,2016-07-01 00:20:00,normal,1250.0,0.0,19.93,0.0,1.0
5,2016-07-01 00:25:00,normal,1250.0,0.0,19.93,16.897,1.0
6,2016-07-01 00:30:00,normal,1250.0,0.0,19.88,11.405,1.0
7,2016-07-01 00:35:00,normal,1250.0,0.0,19.88,5.47,1.0
8,2016-07-01 00:40:00,normal,1250.0,0.0,19.88,11.384,1.0
9,2016-07-01 00:45:00,normal,1250.0,0.0,19.72,20.488,1.0
10,2016-07-01 00:50:00,normal,1250.0,0.0,19.72,32.441,1.0
11,2016-07-01 00:55:00,normal,1250.0,0.0,19.72,16.798,1.0
12,2016-07-01 01:00:00,normal,1250.0,0.0,19.45,16.785,1.0
13,2016-07-01 01:05:00,normal,1250.0,0.0,19.45,23.516,1.0
14,2016-07-01 01:10:00,normal,1250.0,0.0,19.45,29.198,1.0
15,2016-07-01 01:15:00,normal,1250.0,0.0,19.09,16.736,1.0
16,2016-07-01 01:20:00,normal,1250.0,0.0,19.09,16.718,1.0
17,2016-07-01 01:25:00,normal,1250.0,0.0,19.09,32.722,1.0
18,2016-07-01 01:30:00,normal,1250.0,0.0,18.54,19.784,1.0
19,2016-07-01 01:35:00,normal,1250.0,0.0,18.54,16.669,1.0
20,2016-07-01 01:40:00,normal,1250.0,0.0,18.54,23.351,1.0
21,2016-07-01 01:45:00,normal,1250.0,0.0,18.16,28.986,1.0
22,2016-07-01 01:50:00,normal,1250.0,0.0,18.16,16.62,1.0
23,2016-07-01 01:55:00,normal,1250.0,0.0,18.16,16.607,1.0
24,2016-07-01 02:00:00,normal,1250.0,0.0,17.81,32.481,1.0
25,2016-07-01 02:05:00,normal,1250.0,0.0,17.81,19.647,1.0
26,2016-07-01 02:10:00,normal,1250.0,0.0,17.81,16.557,1.0
27,2016-07-01 02:15:00,normal,1250.0,0.0,17.5,23.18,1.0
28,2016-07-01 02:20:00,normal,1250.0,0.0,17.5,28.769,1.0
29,2016-07-01 02:25:00,normal,1250.0,0.0,17.5,16.508,1.0
30,2016-07-01 02:30:00,normal,1250.0,0.0,17.34,20.053,1.0
31,2016-07-01 02:35:00,normal,1250.0,0.0,17.34,28.676,1.0
32,2016-07-01 02:40:00,normal,1250.0,0.0,17.34,19.506,1.0
33,2016-07-01 02:45:00,normal,1250.0,0.0,17.04,16.44,1.0
34,2016-07-01 02:50:00,normal,1250.0,0.0,17.04,26.049,1.0
35,2016-07-01 02:55:00,normal,1250.0,0.0,17.04,25.517,1.0
36,2016-07-01 03:00:00,normal,1250.0,0.0,16.79,16.391,1.0
37,2016-07-01 03:05:00,normal,1250.0,0.0,16.79,22.936,1.0
38,2016-07-01 03:10:00,normal,1250.0,0.0,16.79,28.459,1.0
39,2016-07-01 03:15:00,normal,1250.0,0.0,16.61,16.341,1.0
40,2016-07-01 03:20:00,normal,1250.0,0.0,16.61,19.845,1.0
41,2016-07-01 03:25:00,normal,1250.0,0.0,16.61,28.365,1.0
42,2016-07-01 03:30:00,normal,1250.0,0.0,16.45,19.299,1.0
43,2016-07-01 03:35:00,normal,1250.0,0.0,16.45,16.274,1.0
44,2016-07-01 03:40:00,normal,1250.0,0.0,16.45,25.768,1.0
45,2016-07-01 03:45:00,normal,1250.0,0.0,16.3,25.24,1.0
46,2016-07-01 03:50:00,normal,1250.0,0.0,16.3,16.219,1.0
47,2016-07-01 03:55:00,normal,1250.0,0.0,16.3,25.684,1.0
48,2016-07-01 04:00:00,normal,1250.0,0.0,16.28,25.157,1.0
49,2016-07-01 04:05:00,normal,1250.0,0.0,16.28,16.169,1.0
50,2016-07-01 04:10:00,normal,1250.0,0.0,16.28,22.609,1.0
51,2016-07-01 04:15:00,normal,1250.0,0.0,16.28,28.038,1.0
52,2016-07-01 04:20:00,normal,1250.0,0.0,16.28,16.108,1.0
53,2016-07-01 04:25:00,normal,1250.0,0.0,16.28,22.524,1.0
54,2016-07-01 04:30:00,normal,1250.0,0.0,16.19,24.974,1.0
55,2016-07-01 04:35:00,normal,1250.0,0.0,16.19,19.02,1.0
56,2016-07-01 04:40:00,normal,1250.0,0.0,16.19,19.492,1.0
57,2016-07-01 04:45:00,normal,1250.0,0.0,16.11,27.847,1.0
58,2016-07-01 04:50:00,normal,1250.0,0.0,16.11,18.961,1.0
59,2016-07-01 04:55:00,normal,1250.0,0.0,16.11,19.437,1.0
60,2016-07-01 05:00:00,normal,1250.0,0.0,16.29,27.762,1.0
61,2016-07-01 05:05:00,normal,1250.0,0.0,16.29,18.911,1.0
62,2016-07-01 05:10:00,normal,1250.0,0.0,16.29,19.391,1.0
63,2016-07-01 05:15:00,normal,1250.0,0.0,16.55,24.767,1.0
64,2016-07-01 05:20:00,normal,1250.0,0.0,16.55,21.811,1.0
