,timedate,mode,actual_mode,T_air,q_heat,q_cool
0,2016-07-01 00:00:00,COOL,OFF,75.8677,5.95443,2.75216
1,2016-07-01 00:05:00,COOL,COOL,74.1276,5.94592,2.75012
2,2016-07-01 00:10:00,COOL,COOL,72.8891,5.9353,2.74756
3,2016-07-01 00:15:00,COOL,COOL,72.0212,5.92469,2.74501
4,2016-07-01 00:20:00,COOL,COOL,71.2752,5.9141,2.74244
5,2016-07-01 00:25:00,COOL,COOL,70.5706,5.90351,2.73987
6,2016-07-01 00:30:00,HEAT,COOL,69.8855,5.89293,2.7373
7,2016-07-01 00:35:00,COOL,HEAT,77.1082,5.88236,2.73472
8,2016-07-01 00:40:00,COOL,COOL,73.715,5.8718,2.73214
9,2016-07-01 00:45:00,COOL,COOL,71.1949,5.86126,2.72955
10,2016-07-01 00:50:00,HEAT,COOL,69.9269,5.85199,2.72696
11,2016-07-01 00:55:00,COOL,HEAT,76.9255,5.84592,2.72436
12,2016-07-01 01:00:00,COOL,COOL,73.4798,5.83984,2.72176
13,2016-07-01 01:05:00,COOL,COOL,70.9435,5.83374,2.71916
14,2016-07-01 01:10:00,HEAT,COOL,69.6668,5.82764,2.71654
