,timedate,operating_mode,p_HVAC
96,2016-07-01 08:00:00,OFF,18.5751
97,2016-07-01 08:05:00,COOL,19.5958
98,2016-07-01 08:10:00,OFF,18.2171
99,2016-07-01 08:15:00,OFF,17.8153
100,2016-07-01 08:20:00,OFF,18.0855
101,2016-07-01 08:25:00,OFF,19.3609
102,2016-07-01 08:30:00,COOL,20.2704
103,2016-07-01 08:35:00,OFF,18.6094
104,2016-07-01 08:40:00,OFF,18.1326
105,2016-07-01 08:45:00,OFF,18.7399
106,2016-07-01 08:50:00,COOL,20.2633
107,2016-07-01 08:55:00,OFF,18.9207
108,2016-07-01 09:00:00,OFF,18.3926
109,2016-07-01 09:05:00,OFF,19.136
110,2016-07-01 09:10:00,COOL,20.7388
111,2016-07-01 09:15:00,OFF,19.1018
112,2016-07-01 09:20:00,OFF,18.5804
113,2016-07-01 09:25:00,OFF,19.8561
114,2016-07-01 09:30:00,COOL,21.4347
115,2016-07-01 09:35:00,OFF,19.261
116,2016-07-01 09:40:00,OFF,18.7726
117,2016-07-01 09:45:00,OFF,20.8318
118,2016-07-01 09:50:00,COOL,22.7118
119,2016-07-01 09:55:00,OFF,19.5486
120,2016-07-01 10:00:00,OFF,19.2707
121,2016-07-01 10:05:00,COOL,23.0225
122,2016-07-01 10:10:00,OFF,19.9867
123,2016-07-01 10:15:00,OFF,19.819
124,2016-07-01 10:20:00,OFF,25.2143
125,2016-07-01 10:25:00,COOL,29.7524
126,2016-07-01 10:30:00,OFF,20.6229
127,2016-07-01 10:35:00,OFF,25.8405
128,2016-07-01 10:40:00,COOL,40.5594
129,2016-07-01 10:45:00,OFF,22.0287
130,2016-07-01 10:50:00,COOL,32.7454
131,2016-07-01 10:55:00,OFF,23.4969
132,2016-07-01 11:00:00,COOL,30.4385
133,2016-07-01 11:05:00,OFF,24.4484
134,2016-07-01 11:10:00,COOL,29.0701
135,2016-07-01 11:15:00,OFF,25.1348
136,2016-07-01 11:20:00,COOL,28.6992
137,2016-07-01 11:25:00,OFF,26.0017
138,2016-07-01 11:30:00,OFF,28.8931
139,2016-07-01 11:35:00,COOL,57.2586
140,2016-07-01 11:40:00,OFF,24.9239
141,2016-07-01 11:45:00,COOL,43.5812
142,2016-07-01 11:50:00,OFF,26.4532
143,2016-07-01 11:55:00,COOL,44.1165
144,2016-07-01 12:00:00,OFF,27.3207
145,2016-07-01 12:05:00,COOL,45.5998
146,2016-07-01 12:10:00,OFF,28.1555
147,2016-07-01 12:15:00,COOL,45.35
148,2016-07-01 12:20:00,OFF,29.1436
149,2016-07-01 12:25:00,COOL,43.936
150,2016-07-01 12:30:00,OFF,30.2616
151,2016-07-01 12:35:00,COOL,41.5185
152,2016-07-01 12:40:00,OFF,31.7228
153,2016-07-01 12:45:00,COOL,38.1962
154,2016-07-01 12:50:00,HEAT,33.1904
155,2016-07-01 12:55:00,COOL,315.363
156,2016-07-01 13:00:00,COOL,151.388
157,2016-07-01 13:05:00,COOL,35.4029
158,2016-07-01 13:10:00,OFF,32.7093
159,2016-07-01 13:15:00,COOL,69.134
160,2016-07-01 13:20:00,OFF,30.3958
161,2016-07-01 13:25:00,COOL,75.869
162,2016-07-01 13:30:00,OFF,31.5094
163,2016-07-01 13:35:00,COOL,73.3804
164,2016-07-01 13:40:00,OFF,32.7056
165,2016-07-01 13:45:00,COOL,69.2144
166,2016-07-01 13:50:00,OFF,33.885
167,2016-07-01 13:55:00,COOL,66.8577
168,2016-07-01 14:00:00,HEAT,35.0013
169,2016-07-01 14:05:00,COOL,365.56
170,2016-07-01 14:10:00,COOL,179.977
171,2016-07-01 14:15:00,COOL,62.3318
172,2016-07-01 14:20:00,OFF,32.1899
173,2016-07-01 14:25:00,COOL,88.3932
174,2016-07-01 14:30:00,COOL,38.2454
175,2016-07-01 14:35:00,HEAT,34.4484
176,2016-07-01 14:40:00,COOL,247.137
177,2016-07-01 14:45:00,COOL,136.009
178,2016-07-01 14:50:00,COOL,66.7869
179,2016-07-01 14:55:00,COOL,39.9807
180,2016-07-01 15:00:00,HEAT,32.4176
181,2016-07-01 15:05:00,COOL,181.055
182,2016-07-01 15:10:00,COOL,111.961
183,2016-07-01 15:15:00,COOL,66.771
184,2016-07-01 15:20:00,COOL,49.4618
185,2016-07-01 15:25:00,COOL,39.3592
186,2016-07-01 15:30:00,HEAT,32.3179
187,2016-07-01 15:35:00,COOL,157.81
188,2016-07-01 15:40:00,COOL,101.456
189,2016-07-01 15:45:00,COOL,64.1532
190,2016-07-01 15:50:00,COOL,48.2453
191,2016-07-01 15:55:00,COOL,39.7947
192,2016-07-01 16:00:00,COOL,34.3704
193,2016-07-01 16:05:00,HEAT,33.2611
194,2016-07-01 16:10:00,COOL,99.7927
195,2016-07-01 16:15:00,COOL,68.3866
196,2016-07-01 16:20:00,COOL,49.3015
197,2016-07-01 16:25:00,COOL,41.322
198,2016-07-01 16:30:00,COOL,36.9659
199,2016-07-01 16:35:00,COOL,33.888
200,2016-07-01 16:40:00,HEAT,33.4635
201,2016-07-01 16:45:00,COOL,85.0313
202,2016-07-01 16:50:00,COOL,62.9425
203,2016-07-01 16:55:00,COOL,47.3779
204,2016-07-01 17:00:00,COOL,40.7397
205,2016-07-01 17:05:00,COOL,36.9936
206,2016-07-01 17:10:00,COOL,34.0885
207,2016-07-01 17:15:00,HEAT,33.4781
208,2016-07-01 17:20:00,COOL,84.6834
209,2016-07-01 17:25:00,COOL,63.8315
210,2016-07-01 17:30:00,COOL,47.9455
211,2016-07-01 17:35:00,COOL,40.8361
212,2016-07-01 17:40:00,COOL,36.2544
213,2016-07-01 17:45:00,HEAT,33.0224
214,2016-07-01 17:50:00,COOL,99.3353
215,2016-07-01 17:55:00,COOL,72.2271
216,2016-07-01 18:00:00,COOL,51.8402
217,2016-07-01 18:05:00,COOL,41.9901
218,2016-07-01 18:10:00,COOL,36.1725
219,2016-07-01 18:15:00,HEAT,32.4246
220,2016-07-01 18:20:00,COOL,93.8299
221,2016-07-01 18:25:00,COOL,66.7222
222,2016-07-01 18:30:00,COOL,47.7001
223,2016-07-01 18:35:00,COOL,38.641
224,2016-07-01 18:40:00,COOL,33.7635
225,2016-07-01 18:45:00,HEAT,31.5688
226,2016-07-01 18:50:00,COOL,74.4416
227,2016-07-01 18:55:00,COOL,60.157
228,2016-07-01 19:00:00,COOL,45.955
229,2016-07-01 19:05:00,COOL,38.1189
230,2016-07-01 19:10:00,COOL,32.4854
231,2016-07-01 19:15:00,HEAT,31.2623
232,2016-07-01 19:20:00,COOL,100.628
233,2016-07-01 19:25:00,COOL,68.2492
234,2016-07-01 19:30:00,COOL,45.3903
235,2016-07-01 19:35:00,COOL,35.5182
236,2016-07-01 19:40:00,HEAT,30.6098
237,2016-07-01 19:45:00,COOL,114.443
238,2016-07-01 19:50:00,COOL,83.6102
239,2016-07-01 19:55:00,COOL,53.8641
240,2016-07-01 20:00:00,COOL,37.1303
241,2016-07-01 20:05:00,HEAT,30.2556
242,2016-07-01 20:10:00,COOL,151.54
243,2016-07-01 20:15:00,COOL,94.2219
244,2016-07-01 20:20:00,COOL,51.726
245,2016-07-01 20:25:00,COOL,30.0632
246,2016-07-01 20:30:00,HEAT,30.8462
247,2016-07-01 20:35:00,COOL,149.708
248,2016-07-01 20:40:00,COOL,87.0391
249,2016-07-01 20:45:00,COOL,39.9577
250,2016-07-01 20:50:00,HEAT,29.9256
251,2016-07-01 20:55:00,COOL,144.411
252,2016-07-01 21:00:00,COOL,80.5992
253,2016-07-01 21:05:00,COOL,35.656
254,2016-07-01 21:10:00,HEAT,29.7102
255,2016-07-01 21:15:00,COOL,131.943
256,2016-07-01 21:20:00,COOL,73.5408
257,2016-07-01 21:25:00,COOL,31.6528
258,2016-07-01 21:30:00,HEAT,29.4479
259,2016-07-01 21:35:00,COOL,123.468
260,2016-07-01 21:40:00,COOL,68.5774
261,2016-07-01 21:45:00,COOL,27.7947
262,2016-07-01 21:50:00,HEAT,29.3629
263,2016-07-01 21:55:00,COOL,120.834
264,2016-07-01 22:00:00,COOL,64.5498
265,2016-07-01 22:05:00,HEAT,26.4595
266,2016-07-01 22:10:00,COOL,134.04
267,2016-07-01 22:15:00,COOL,73.9296
268,2016-07-01 22:20:00,COOL,29.783
269,2016-07-01 22:25:00,HEAT,28.0477
270,2016-07-01 22:30:00,COOL,129.072
271,2016-07-01 22:35:00,COOL,68.5201
272,2016-07-01 22:40:00,HEAT,25.1552
273,2016-07-01 22:45:00,COOL,139.68
274,2016-07-01 22:50:00,COOL,75.1546
275,2016-07-01 22:55:00,COOL,28.4498
276,2016-07-01 23:00:00,HEAT,26.8442
277,2016-07-01 23:05:00,COOL,124.603
278,2016-07-01 23:10:00,COOL,64.0226
279,2016-07-01 23:15:00,HEAT,23.9643
280,2016-07-01 23:20:00,COOL,128.371
281,2016-07-01 23:25:00,COOL,69.4374
282,2016-07-01 23:30:00,COOL,26.776
283,2016-07-01 23:35:00,HEAT,25.608
284,2016-07-01 23:40:00,COOL,123.808
285,2016-07-01 23:45:00,COOL,65.0069
286,2016-07-01 23:50:00,HEAT,22.9813
287,2016-07-01 23:55:00,COOL,137.068
288,2016-07-02 00:00:00,COOL,72.7268
