,p,q
2016-07-01 00:00:00,19.5,23.561
2016-07-01 00:05:00,19.5,36.281
2016-07-01 00:10:00,19.5,36.252
2016-07-01 00:15:00,19.93,19.292
2016-07-01 00:20:00,19.93,1.096
2016-07-01 00:25:00,19.93,17.993
2016-07-01 00:30:00,19.88,27.455
2016-07-01 00:35:00,19.88,18.592
2016-07-01 00:40:00,19.88,18.575
2016-07-01 00:45:00,19.72,26.75
2016-07-01 00:50:00,19.72,55.267
2016-07-01 00:55:00,19.72,55.235
2016-07-01 01:00:00,19.45,35.933
2016-07-01 01:05:00,19.45,39.014
2016-07-01 01:10:00,19.45,55.053
2016-07-01 01:15:00,19.09,51.916000000000004
2016-07-01 01:20:00,19.09,35.802
2016-07-01 01:25:00,19.09,48.173
2016-07-01 01:30:00,18.54,54.847
2016-07-01 01:35:00,18.54,42.423
2016-07-01 01:40:00,18.54,38.765
2016-07-01 01:45:00,18.16,54.673
2016-07-01 01:50:00,18.16,51.558
