,timedate,mode,T_air,q_heat,q_cool
0,2016-07-01 00:00:00,COOL,76.7442,5.95443,2.75216
1,2016-07-01 00:05:00,COOL,74.5023,5.94592,2.75012
2,2016-07-01 00:10:00,COOL,73.0384,5.9353,2.74756
3,2016-07-01 00:15:00,COOL,72.1027,5.92469,2.74501
4,2016-07-01 00:20:00,COOL,73.6563,5.9141,2.74244
5,2016-07-01 00:25:00,COOL,74.4737,5.90351,2.73987
6,2016-07-01 00:30:00,COOL,72.4505,5.89293,2.7373
7,2016-07-01 00:35:00,COOL,71.0539,5.88236,2.73472
8,2016-07-01 00:40:00,COOL,72.4696,5.8718,2.73214
9,2016-07-01 00:45:00,COOL,70.9242,5.86126,2.72955
10,2016-07-01 00:50:00,HEAT,69.6868,5.85199,2.72696
11,2016-07-01 00:55:00,COOL,76.6252,5.84592,2.72436
12,2016-07-01 01:00:00,COOL,73.2258,5.83984,2.72176
13,2016-07-01 01:05:00,COOL,70.7172,5.83374,2.71916
14,2016-07-01 01:10:00,HEAT,69.4535,5.82764,2.71654
15,2016-07-01 01:15:00,COOL,76.3494,5.82152,2.71393
16,2016-07-01 01:20:00,COOL,72.9511,5.8154,2.71131
17,2016-07-01 01:25:00,HEAT,70.4426,5.80926,2.70868
18,2016-07-01 01:30:00,COOL,76.9079,5.80311,2.70605
19,2016-07-01 01:35:00,COOL,73.3817,5.79695,2.70342
20,2016-07-01 01:40:00,COOL,70.8287,5.79078,2.70078
21,2016-07-01 01:45:00,HEAT,69.5406,5.7846,2.69813
22,2016-07-01 01:50:00,COOL,76.3674,5.77841,2.69548
23,2016-07-01 01:55:00,COOL,72.9707,5.77221,2.69283
24,2016-07-01 02:00:00,HEAT,70.459,5.766,2.69017
25,2016-07-01 02:05:00,COOL,76.8637,5.75978,2.68751
26,2016-07-01 02:10:00,COOL,73.3423,5.75355,2.68484
27,2016-07-01 02:15:00,COOL,70.7887,5.74732,2.68216
28,2016-07-01 02:20:00,HEAT,69.4924,5.74107,2.67949
29,2016-07-01 02:25:00,COOL,76.2562,5.73482,2.6768
30,2016-07-01 02:30:00,COOL,72.8668,5.72855,2.67412
31,2016-07-01 02:35:00,HEAT,70.3562,5.72228,2.67142
32,2016-07-01 02:40:00,COOL,76.6988,5.71601,2.66873
33,2016-07-01 02:45:00,COOL,73.1877,5.70972,2.66602
34,2016-07-01 02:50:00,COOL,70.6371,5.70343,2.66332
35,2016-07-01 02:55:00,HEAT,69.3349,5.69712,2.66061
36,2016-07-01 03:00:00,COOL,76.0345,5.69082,2.65789
37,2016-07-01 03:05:00,COOL,72.6549,5.6845,2.65517
38,2016-07-01 03:10:00,HEAT,70.1498,5.67818,2.65244
39,2016-07-01 03:15:00,COOL,76.4347,5.67185,2.64971
40,2016-07-01 03:20:00,COOL,72.9336,5.66551,2.64698
41,2016-07-01 03:25:00,HEAT,70.3861,5.65917,2.64424
42,2016-07-01 03:30:00,COOL,76.6253,5.65282,2.64149
43,2016-07-01 03:35:00,COOL,73.1242,5.64647,2.63874
44,2016-07-01 03:40:00,COOL,70.5766,5.64011,2.63599
45,2016-07-01 03:45:00,HEAT,69.2655,5.63374,2.63323
46,2016-07-01 03:50:00,COOL,75.87,5.62737,2.63047
47,2016-07-01 03:55:00,COOL,72.505,5.621,2.6277
48,2016-07-01 04:00:00,HEAT,70.0055,5.61461,2.62492
49,2016-07-01 04:05:00,COOL,76.1989,5.60733,2.62176
50,2016-07-01 04:10:00,COOL,72.7147,5.6,2.61856
51,2016-07-01 04:15:00,HEAT,70.1756,5.59287,2.61545
52,2016-07-01 04:20:00,COOL,76.3228,5.58592,2.61242
53,2016-07-01 04:25:00,COOL,72.8392,5.57918,2.60947
54,2016-07-01 04:30:00,HEAT,70.3001,5.57263,2.60661
