,timedate,p_demand,p_supply,q_demand,q_supply
0,2016-07-01 00:00:00,37.4,706.799,3.15789,1.68
1,2016-07-01 00:05:00,7.92929,668.921,3.15789,1.88586
2,2016-07-01 00:10:00,19.5,667.909,3.15789,1.93733
3,2016-07-01 00:15:00,19.5,667.909,3.15789,2.14319
4,2016-07-01 00:20:00,19.144,668.107,3.15789,2.19466
5,2016-07-01 00:25:00,19.1158,668.201,3.15789,2.19466
6,2016-07-01 00:30:00,19.1588,668.254,3.15789,2.19466
7,2016-07-01 00:35:00,19.2361,668.276,3.15789,2.19466
8,2016-07-01 00:40:00,19.3005,668.292,3.15789,2.19466
9,2016-07-01 00:45:00,19.3541,668.304,3.15789,2.19466
10,2016-07-01 00:50:00,19.3928,668.292,3.15789,2.19466
11,2016-07-01 00:55:00,19.4241,668.281,3.15789,2.19466
12,2016-07-01 01:00:00,19.4499,668.273,3.15789,2.19466
13,2016-07-01 01:05:00,19.379,668.25,3.15789,2.19466
14,2016-07-01 01:10:00,19.3283,668.229,3.15789,2.19466
15,2016-07-01 01:15:00,19.2918,668.21,3.15789,2.19466
16,2016-07-01 01:20:00,19.1131,668.205,3.15789,2.40052
17,2016-07-01 01:25:00,19.0404,668.212,3.15789,2.65784
18,2016-07-01 01:30:00,18.945,668.202,3.15789,2.70931
19,2016-07-01 01:35:00,18.6341,668.275,3.15789,2.91518
20,2016-07-01 01:40:00,18.5469,668.365,3.15789,3.15789
21,2016-07-01 01:45:00,18.6078,668.461,3.15789,3.15789
22,2016-07-01 01:50:00,18.6632,668.661,3.15789,3.15789
23,2016-07-01 01:55:00,18.9054,668.864,3.15789,3.15789
24,2016-07-01 02:00:00,19.2872,667.841,3.15789,3.15789
25,2016-07-01 02:05:00,19.8057,667.825,3.15789,3.15789
26,2016-07-01 02:10:00,20.4806,667.814,3.15789,3.15789
27,2016-07-01 02:15:00,21.2727,667.806,3.15789,3.15789
28,2016-07-01 02:20:00,22.3076,667.81,3.15789,3.15789
29,2016-07-01 02:25:00,23.461,667.816,2.91154,3.15789
30,2016-07-01 02:30:00,24.6813,667.825,2.65976,3.15789
31,2016-07-01 02:35:00,26.0299,667.839,2.4253,3.15789
32,2016-07-01 02:40:00,27.3504,667.852,2.20986,3.15789
33,2016-07-01 02:45:00,28.6191,667.862,2.01218,3.15789
34,2016-07-01 02:50:00,30.1499,667.885,1.83101,3.15789
35,2016-07-01 02:55:00,31.6098,667.905,1.66513,3.15789
36,2016-07-01 03:00:00,32.9851,667.922,1.51342,3.15789
37,2016-07-01 03:05:00,34.5949,667.95,1.3748,3.15789
38,2016-07-01 03:10:00,36.1018,667.973,1.24827,3.15789
39,2016-07-01 03:15:00,37.501,667.992,1.13285,3.15789
40,2016-07-01 03:20:00,39.0463,668.018,1.02766,3.15789
41,2016-07-01 03:25:00,40.4732,668.039,0.931879,3.15789
42,2016-07-01 03:30:00,41.7834,668.056,0.844712,3.15789
43,2016-07-01 03:35:00,43.213,668.079,0.765442,3.15789
44,2016-07-01 03:40:00,44.5216,668.096,0.693386,3.15789
45,2016-07-01 03:45:00,45.7139,668.109,0.627942,3.15789
46,2016-07-01 03:50:00,47.015,668.128,0.56852,3.15789
47,2016-07-01 03:55:00,48.1991,668.142,0.514601,3.15789
48,2016-07-01 04:00:00,49.2728,668.152,0.465688,3.15789
49,2016-07-01 04:05:00,50.2706,668.159,0.421344,3.15789
50,2016-07-01 04:10:00,51.1697,668.162,0.38115,3.15789
51,2016-07-01 04:15:00,51.9767,668.161,0.344728,3.15789
52,2016-07-01 04:20:00,52.698,668.158,0.311741,3.15789
53,2016-07-01 04:25:00,53.3398,668.152,0.281879,3.15789
54,2016-07-01 04:30:00,53.9082,668.143,0.254839,3.15789
55,2016-07-01 04:35:00,54.5172,668.136,0.230362,3.15789
56,2016-07-01 04:40:00,55.057,668.128,0.208219,3.15789
57,2016-07-01 04:45:00,55.5331,668.117,0.188185,3.15789
58,2016-07-01 04:50:00,55.6438,668.048,0.170066,3.15789
59,2016-07-01 04:55:00,55.5927,667.97,0.153678,3.15789
60,2016-07-01 05:00:00,55.3795,667.883,0.13886,3.15789
61,2016-07-01 05:05:00,54.154,667.73,0.125462,3.15789
62,2016-07-01 05:10:00,52.7392,667.565,0.11335,3.15789
63,2016-07-01 05:15:00,51.1361,667.391,0.102396,3.15789
64,2016-07-01 05:20:00,49.2552,667.206,0.0925008,3.15789
65,2016-07-01 05:25:00,47.215,667.012,0.0835632,3.15789
66,2016-07-01 05:30:00,45.0169,666.809,0.0754824,3.15789
67,2016-07-01 05:35:00,42.8656,666.618,0.0681828,3.15789
68,2016-07-01 05:40:00,40.593,666.42,0.0615804,3.15789
69,2016-07-01 05:45:00,38.1999,666.215,0.0556248,3.15789
70,2016-07-01 05:50:00,36.1682,666.045,0.050232,3.15789
71,2016-07-01 05:55:00,34.059,665.87,0.0453684,3.15789
72,2016-07-01 06:00:00,31.8731,665.69,0.0409752,3.15789
73,2016-07-01 06:05:00,30.5136,665.582,0.0370104,3.15789
74,2016-07-01 06:10:00,29.1302,665.474,0.0334236,3.15789
75,2016-07-01 06:15:00,27.7236,665.363,0.0301812,3.15789
76,2016-07-01 06:20:00,27.1722,665.319,0.027258,3.15789
77,2016-07-01 06:25:00,26.6153,665.274,0.024612,3.15789
78,2016-07-01 06:30:00,26.053,665.228,0.0222264,3.15789
79,2016-07-01 06:35:00,25.8758,665.213,0.020076,3.15789
80,2016-07-01 06:40:00,25.6973,665.198,0.0181272,3.15789
81,2016-07-01 06:45:00,25.5177,665.183,0.0163716,3.15789
82,2016-07-01 06:50:00,25.8761,665.213,0.014784,3.15789
83,2016-07-01 06:55:00,26.2321,665.243,0.0133476,3.15789
84,2016-07-01 07:00:00,26.5857,665.273,0.012054,3.15789
85,2016-07-01 07:05:00,27.9891,665.386,0.0108864,3.15789
86,2016-07-01 07:10:00,29.3657,665.498,0.009828,3.15789
87,2016-07-01 07:15:00,30.7154,665.609,0.0088788,3.15789
88,2016-07-01 07:20:00,32.7064,665.769,0.0080136,3.15789
89,2016-07-01 07:25:00,34.6458,665.926,0.0072324,3.15789
90,2016-07-01 07:30:00,36.5336,666.08,0.0065352,3.15789
91,2016-07-01 07:35:00,39.0448,666.285,0.0058968,3.15789
92,2016-07-01 07:40:00,41.4634,666.484,0.0053256,3.15789
93,2016-07-01 07:45:00,43.7893,666.678,0.0048132,3.15789
94,2016-07-01 07:50:00,45.6738,666.848,0.0043428,3.15789
95,2016-07-01 07:55:00,47.4591,667.011,0.0039228,3.15789
96,2016-07-01 08:00:00,49.1449,667.169,0.0035448,3.15789
97,2016-07-01 08:05:00,50.3749,667.3,0.0032004,3.15789
98,2016-07-01 08:10:00,51.5047,667.425,0.0028896,3.15789
99,2016-07-01 08:15:00,52.5343,667.544,0.002604,3.15789
100,2016-07-01 08:20:00,53.9545,667.698,0.002352,3.15789
101,2016-07-01 08:25:00,55.2289,667.843,0.0021252,3.15789
102,2016-07-01 08:30:00,56.3573,667.98,0.0019236,3.15789
103,2016-07-01 08:35:00,57.3088,668.111,0.0017304,3.15789
104,2016-07-01 08:40:00,58.0935,668.232,0.0015624,3.15789
105,2016-07-01 08:45:00,58.7113,668.343,0.0014112,3.15789
106,2016-07-01 08:50:00,59.1956,668.447,0.0012768,3.15789
107,2016-07-01 08:55:00,59.5075,668.542,0.0011508,3.15789
108,2016-07-01 09:00:00,59.6469,668.625,0.0010416,3.15789
109,2016-07-01 09:05:00,59.5614,668.695,0.0009408,3.15789
110,2016-07-01 09:10:00,59.3072,668.755,0.0008484,3.15789
111,2016-07-01 09:15:00,58.8843,668.804,0.0007644,3.15789
112,2016-07-01 09:20:00,58.6001,668.871,0.0006972,3.15789
113,2016-07-01 09:25:00,58.1034,668.926,0.0006216,3.15789
114,2016-07-01 09:30:00,57.3938,668.967,0.0005628,3.15789
115,2016-07-01 09:35:00,57.194,669.053,0.0005124,3.15789
116,2016-07-01 09:40:00,56.7047,669.122,0.000462,3.15789
117,2016-07-01 09:45:00,55.926,669.174,0.00042,3.15789
118,2016-07-01 09:50:00,58.5285,669.456,0.000378,3.15789
119,2016-07-01 09:55:00,60.6416,669.709,0.000336,3.15789
120,2016-07-01 10:00:00,62.265,669.933,0.0003024,3.15789
121,2016-07-01 10:05:00,65.3529,670.25,0.0002772,3.15789
122,2016-07-01 10:10:00,67.9053,670.535,0.000252,3.15789
123,2016-07-01 10:15:00,69.9222,670.789,0.0002268,3.15789
124,2016-07-01 10:20:00,82.976,671.756,0.0002016,3.15789
125,2016-07-01 10:25:00,94.9378,672.658,0.0001848,3.15789
126,2016-07-01 10:30:00,105.808,673.496,0.000168,3.15789
127,2016-07-01 10:35:00,143.264,676.002,0.0001512,3.15789
128,2016-07-01 10:40:00,178.417,678.37,0.0001344,3.15789
129,2016-07-01 10:45:00,211.268,680.602,0.000126,3.15789
130,2016-07-01 10:50:00,224.736,681.6,0.0001092,3.15789
131,2016-07-01 10:55:00,237.043,682.529,0.0001008,3.15789
132,2016-07-01 11:00:00,248.191,683.388,9.24e-05,3.15789
133,2016-07-01 11:05:00,255.593,684.008,8.4e-05,3.15789
134,2016-07-01 11:10:00,262.026,684.57,7.56e-05,3.15789
135,2016-07-01 11:15:00,267.491,685.075,6.72e-05,3.15789
136,2016-07-01 11:20:00,280.645,686.079,5.88e-05,3.15789
137,2016-07-01 11:25:00,292.322,686.995,5.04e-05,3.15789
138,2016-07-01 11:30:00,302.524,687.823,5.04e-05,3.15789
139,2016-07-01 11:35:00,319.927,689.106,4.2e-05,3.15789
140,2016-07-01 11:40:00,335.501,690.279,4.2e-05,3.15789
141,2016-07-01 11:45:00,349.247,691.343,3.36e-05,3.15789
142,2016-07-01 11:50:00,368.333,692.729,3.36e-05,3.15789
143,2016-07-01 11:55:00,385.543,694.002,2.52e-05,3.15789
144,2016-07-01 12:00:00,400.877,695.165,2.52e-05,3.15789
145,2016-07-01 12:05:00,414.901,696.238,2.52e-05,3.15789
146,2016-07-01 12:10:00,427.211,697.209,1.68e-05,3.15789
147,2016-07-01 12:15:00,437.803,698.078,1.68e-05,3.15789
148,2016-07-01 12:20:00,449.796,699.03,1.68e-05,3.15789
149,2016-07-01 12:25:00,460.076,699.88,1.68e-05,3.15789
150,2016-07-01 12:30:00,468.643,700.629,1.68e-05,3.15789
151,2016-07-01 12:35:00,484.297,701.838,1.68e-05,3.15789
152,2016-07-01 12:40:00,497.625,702.909,8.4e-06,3.15789
153,2016-07-01 12:45:00,508.624,703.842,8.4e-06,3.15789
154,2016-07-01 12:50:00,517.487,704.654,8.4e-06,3.15789
155,2016-07-01 12:55:00,523.902,705.321,8.4e-06,3.15789
156,2016-07-01 13:00:00,527.869,705.842,8.4e-06,3.15789
157,2016-07-01 13:05:00,537.634,706.723,8.4e-06,3.15789
158,2016-07-01 13:10:00,544.688,707.443,8.4e-06,3.15789
159,2016-07-01 13:15:00,549.034,708.001,8.4e-06,3.15789
160,2016-07-01 13:20:00,566.903,709.415,8.4e-06,3.15789
161,2016-07-01 13:25:00,581.074,710.609,0.0,3.15789
162,2016-07-01 13:30:00,591.542,711.582,0.0,3.15789
163,2016-07-01 13:35:00,593.34,712.021,0.0,3.15789
164,2016-07-01 13:40:00,591.811,712.262,0.0,3.15789
165,2016-07-01 13:45:00,586.956,712.305,0.0,3.15789
166,2016-07-01 13:50:00,593.598,713.084,0.0,3.15789
167,2016-07-01 13:55:00,595.805,713.599,0.0,3.15789
168,2016-07-01 14:00:00,593.576,713.85,0.0,3.15789
169,2016-07-01 14:05:00,565.767,712.459,0.0,3.15789
