# file...... TESS_mysql/TESS_mysql_0001/load_node_149.csv
# date...... Tue Apr 14 01:47:44 2020
# user...... (null)
# host...... (null)
# target.... meter 7
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,measured_real_power, measured_reactive_power
2016-07-01 01:33:00 PDT,+25758.2,+22383.2
2016-07-01 01:34:00 PDT,+25753.5,+22378.9
2016-07-01 01:35:00 PDT,+19031.8,+16390.7
2016-07-01 01:36:00 PDT,+19028.5,+16387.9
2016-07-01 01:37:00 PDT,+19025.3,+16385
2016-07-01 01:38:00 PDT,+19022,+16382.1
2016-07-01 01:39:00 PDT,+19018.8,+16379.2
2016-07-01 01:40:00 PDT,+22102.3,+19119.3
2016-07-01 01:41:00 PDT,+22098.3,+19115.8
2016-07-01 01:42:00 PDT,+22094.3,+19112.3
2016-07-01 01:43:00 PDT,+22090.4,+19108.8
2016-07-01 01:44:00 PDT,+22086.4,+19105.2
2016-07-01 01:45:00 PDT,+34965.8,+30548.2
2016-07-01 01:46:00 PDT,+34958.8,+30542.1
2016-07-01 01:47:00 PDT,+34951.9,+30535.9
2016-07-01 01:48:00 PDT,+34944.9,+30529.7
2016-07-01 01:49:00 PDT,+34938,+30523.5
# end of tape
