,timedate,C,slack_load
0,2016-07-01 00:00:00,1250.0,6.58991
1,2016-07-01 00:05:00,1250.0,37.3716
2,2016-07-01 00:10:00,1250.0,19.3074
3,2016-07-01 00:15:00,1250.0,37.34
4,2016-07-01 00:20:00,1250.0,1.09642
5,2016-07-01 00:25:00,1250.0,1.09642
6,2016-07-01 00:30:00,1250.0,19.2441
7,2016-07-01 00:35:00,1250.0,13.3375
8,2016-07-01 00:40:00,1250.0,6.97882
9,2016-07-01 00:45:00,1250.0,13.3159
10,2016-07-01 00:50:00,1250.0,22.8331
11,2016-07-01 00:55:00,1250.0,34.7867
12,2016-07-01 01:00:00,1250.0,19.1482
13,2016-07-01 01:05:00,1250.0,25.1465
