,timedate,operating_mode,p_HVAC
0,2016-07-01 00:00:00,COOL,62.118
1,2016-07-01 00:05:00,COOL,26.6472
2,2016-07-01 00:10:00,COOL,19.5
3,2016-07-01 00:15:00,OFF,19.5
4,2016-07-01 00:20:00,OFF,19.8564
5,2016-07-01 00:25:00,COOL,20.0694
6,2016-07-01 00:30:00,OFF,19.8545
7,2016-07-01 00:35:00,COOL,19.9718
8,2016-07-01 00:40:00,OFF,19.7899
9,2016-07-01 00:45:00,COOL,19.8991
10,2016-07-01 00:50:00,HEAT,19.7689
11,2016-07-01 00:55:00,COOL,20.2342
12,2016-07-01 01:00:00,COOL,19.9367
13,2016-07-01 01:05:00,COOL,19.7385
