,timedate,mode,actual_mode,T_air,q_heat,q_cool
0,2016-07-01 00:00:00,COOL,OFF,76.9749,5.95443,2.75216
1,2016-07-01 00:05:00,COOL,COOL,74.7161,5.94592,2.75012
2,2016-07-01 00:10:00,COOL,COOL,73.2426,5.9353,2.74756
3,2016-07-01 00:15:00,COOL,COOL,72.3033,5.92469,2.74501
4,2016-07-01 00:20:00,COOL,OFF,73.8518,5.9141,2.74244
5,2016-07-01 00:25:00,COOL,OFF,74.6669,5.90351,2.73987
6,2016-07-01 00:30:00,COOL,COOL,72.6448,5.89293,2.7373
7,2016-07-01 00:35:00,COOL,COOL,71.2497,5.88236,2.73472
8,2016-07-01 00:40:00,COOL,OFF,72.6607,5.8718,2.73214
9,2016-07-01 00:45:00,COOL,COOL,71.1174,5.86126,2.72955
10,2016-07-01 00:50:00,HEAT,COOL,69.8821,5.85199,2.72696
11,2016-07-01 00:55:00,COOL,HEAT,76.8125,5.84592,2.72436
12,2016-07-01 01:00:00,COOL,COOL,73.4157,5.83984,2.72176
13,2016-07-01 01:05:00,COOL,COOL,70.9068,5.83374,2.71916
