,timedate,operating_mode,p_HVAC
0,2016-07-01 00:00:00,COOL,62.8062
1,2016-07-01 00:05:00,COOL,26.9118
2,2016-07-01 00:10:00,COOL,19.5
3,2016-07-01 00:15:00,OFF,19.5
4,2016-07-01 00:20:00,OFF,19.8605
5,2016-07-01 00:25:00,COOL,20.0767
6,2016-07-01 00:30:00,OFF,19.8484
7,2016-07-01 00:35:00,COOL,19.9719
8,2016-07-01 00:40:00,OFF,19.7807
9,2016-07-01 00:45:00,COOL,19.8957
10,2016-07-01 00:50:00,HEAT,19.7704
11,2016-07-01 00:55:00,COOL,20.2478
12,2016-07-01 01:00:00,COOL,19.9348
13,2016-07-01 01:05:00,HEAT,19.7346
