,timedate,p_demand,p_supply,q_demand,q_supply
0,2016-07-01 00:00:00,33.8,714.299,3.15789,1.68
1,2016-07-01 00:05:00,4.62338,676.421,3.15789,1.88586
2,2016-07-01 00:10:00,19.5,675.409,3.15789,1.93733
3,2016-07-01 00:15:00,19.5,675.409,3.15789,2.14319
4,2016-07-01 00:20:00,19.0116,675.607,3.15789,2.19466
5,2016-07-01 00:25:00,18.9569,675.701,3.15789,2.19466
6,2016-07-01 00:30:00,18.9999,675.754,3.15789,2.19466
7,2016-07-01 00:35:00,19.0925,675.776,3.15789,2.19466
8,2016-07-01 00:40:00,19.1703,675.792,3.15789,2.19466
9,2016-07-01 00:45:00,19.2353,675.804,3.15789,2.19466
10,2016-07-01 00:50:00,19.2865,675.792,3.15789,2.19466
11,2016-07-01 00:55:00,19.3279,675.781,3.15789,2.19466
12,2016-07-01 01:00:00,19.3621,675.773,3.15789,2.19466
13,2016-07-01 01:05:00,19.2776,675.75,3.15789,2.19466
