,id,p_bid,q_bid,arrival_time,gen_name
73,74,19.5,3.0,2016-07-01 00:25:00,EV_inverter_4
74,75,686.659,2.65784,2016-07-01 00:25:00,Battery_5
75,76,19.5,3.0,2016-07-01 00:25:00,EV_inverter_5
76,77,656.659,2.65784,2016-07-01 00:25:00,Battery_6
77,78,19.5,3.0,2016-07-01 00:25:00,EV_inverter_6
78,79,19.88,-1.0,2016-07-01 00:30:00,WS_supply
79,80,679.159,2.91518,2016-07-01 00:30:00,Battery_1
80,81,19.5,3.0,2016-07-01 00:30:00,EV_inverter_1
81,82,660.409,2.91518,2016-07-01 00:30:00,Battery_2
82,83,667.909,2.91518,2016-07-01 00:30:00,Battery_3
83,84,19.5,3.0,2016-07-01 00:30:00,EV_inverter_3
84,85,675.409,2.91518,2016-07-01 00:30:00,Battery_4
85,86,19.5,3.0,2016-07-01 00:30:00,EV_inverter_4
86,87,686.659,2.91518,2016-07-01 00:30:00,Battery_5
87,88,19.5,3.0,2016-07-01 00:30:00,EV_inverter_5
88,89,656.659,2.91518,2016-07-01 00:30:00,Battery_6
89,90,19.5,3.0,2016-07-01 00:30:00,EV_inverter_6
90,91,19.88,-1.0,2016-07-01 00:35:00,WS_supply
91,92,679.159,3.15789,2016-07-01 00:35:00,Battery_1
92,93,19.5,3.0,2016-07-01 00:35:00,EV_inverter_1
93,94,660.409,3.15789,2016-07-01 00:35:00,Battery_2
94,95,667.909,3.15789,2016-07-01 00:35:00,Battery_3
95,96,19.5,3.0,2016-07-01 00:35:00,EV_inverter_3
96,97,675.409,3.15789,2016-07-01 00:35:00,Battery_4
97,98,19.5,3.0,2016-07-01 00:35:00,EV_inverter_4
98,99,686.659,3.15789,2016-07-01 00:35:00,Battery_5
99,100,19.5,3.0,2016-07-01 00:35:00,EV_inverter_5
100,101,656.659,3.15789,2016-07-01 00:35:00,Battery_6
101,102,19.5,3.0,2016-07-01 00:35:00,EV_inverter_6
102,103,19.88,-1.0,2016-07-01 00:40:00,WS_supply
103,104,679.159,3.15789,2016-07-01 00:40:00,Battery_1
104,105,19.5,3.0,2016-07-01 00:40:00,EV_inverter_1
105,106,660.409,3.15789,2016-07-01 00:40:00,Battery_2
106,107,667.909,3.15789,2016-07-01 00:40:00,Battery_3
107,108,19.5,3.0,2016-07-01 00:40:00,EV_inverter_3
108,109,675.409,3.15789,2016-07-01 00:40:00,Battery_4
109,110,19.5,3.0,2016-07-01 00:40:00,EV_inverter_4
110,111,686.659,3.15789,2016-07-01 00:40:00,Battery_5
111,112,19.5,3.0,2016-07-01 00:40:00,EV_inverter_5
112,113,656.659,3.15789,2016-07-01 00:40:00,Battery_6
113,114,19.5,3.0,2016-07-01 00:40:00,EV_inverter_6
114,115,19.72,-1.0,2016-07-01 00:45:00,WS_supply
115,116,679.159,3.15789,2016-07-01 00:45:00,Battery_1
116,117,19.5,3.0,2016-07-01 00:45:00,EV_inverter_1
117,118,660.409,3.15789,2016-07-01 00:45:00,Battery_2
118,119,667.909,3.15789,2016-07-01 00:45:00,Battery_3
119,120,19.5,3.0,2016-07-01 00:45:00,EV_inverter_3
120,121,675.409,3.15789,2016-07-01 00:45:00,Battery_4
121,122,19.5,3.0,2016-07-01 00:45:00,EV_inverter_4
122,123,686.659,3.15789,2016-07-01 00:45:00,Battery_5
123,124,19.5,3.0,2016-07-01 00:45:00,EV_inverter_5
124,125,656.659,3.15789,2016-07-01 00:45:00,Battery_6
125,126,19.5,3.0,2016-07-01 00:45:00,EV_inverter_6
126,127,19.72,-1.0,2016-07-01 00:50:00,WS_supply
127,128,679.159,3.15789,2016-07-01 00:50:00,Battery_1
128,129,19.5,3.0,2016-07-01 00:50:00,EV_inverter_1
129,130,660.409,3.15789,2016-07-01 00:50:00,Battery_2
130,131,667.909,3.15789,2016-07-01 00:50:00,Battery_3
131,132,19.5,3.0,2016-07-01 00:50:00,EV_inverter_3
132,133,675.409,3.15789,2016-07-01 00:50:00,Battery_4
133,134,19.5,3.0,2016-07-01 00:50:00,EV_inverter_4
134,135,686.659,3.15789,2016-07-01 00:50:00,Battery_5
135,136,19.5,3.0,2016-07-01 00:50:00,EV_inverter_5
136,137,656.659,3.15789,2016-07-01 00:50:00,Battery_6
137,138,19.5,3.0,2016-07-01 00:50:00,EV_inverter_6
138,139,19.72,-1.0,2016-07-01 00:55:00,WS_supply
139,140,679.159,3.15789,2016-07-01 00:55:00,Battery_1
140,141,19.5,3.0,2016-07-01 00:55:00,EV_inverter_1
141,142,660.409,3.15789,2016-07-01 00:55:00,Battery_2
142,143,19.5,3.0,2016-07-01 00:55:00,EV_inverter_2
143,144,667.909,3.15789,2016-07-01 00:55:00,Battery_3
144,145,19.5,3.0,2016-07-01 00:55:00,EV_inverter_3
145,146,675.409,3.15789,2016-07-01 00:55:00,Battery_4
146,147,19.5,3.0,2016-07-01 00:55:00,EV_inverter_4
147,148,686.659,3.15789,2016-07-01 00:55:00,Battery_5
148,149,19.5,3.0,2016-07-01 00:55:00,EV_inverter_5
149,150,656.659,3.15789,2016-07-01 00:55:00,Battery_6
150,151,19.5,3.0,2016-07-01 00:55:00,EV_inverter_6
151,152,19.45,-1.0,2016-07-01 01:00:00,WS_supply
152,153,679.159,3.15789,2016-07-01 01:00:00,Battery_1
153,154,19.5,3.0,2016-07-01 01:00:00,EV_inverter_1
154,155,660.409,3.15789,2016-07-01 01:00:00,Battery_2
155,156,19.5,3.0,2016-07-01 01:00:00,EV_inverter_2
156,157,667.909,3.15789,2016-07-01 01:00:00,Battery_3
157,158,19.5,3.0,2016-07-01 01:00:00,EV_inverter_3
158,159,675.409,3.15789,2016-07-01 01:00:00,Battery_4
159,160,19.5,3.0,2016-07-01 01:00:00,EV_inverter_4
160,161,686.659,3.15789,2016-07-01 01:00:00,Battery_5
161,162,19.5,3.0,2016-07-01 01:00:00,EV_inverter_5
162,163,656.659,3.15789,2016-07-01 01:00:00,Battery_6
163,164,19.5,3.0,2016-07-01 01:00:00,EV_inverter_6
164,165,19.45,-1.0,2016-07-01 01:05:00,WS_supply
165,166,679.154,3.15789,2016-07-01 01:05:00,Battery_1
166,167,785.736,3.0,2016-07-01 01:05:00,EV_inverter_1
167,168,660.404,3.15789,2016-07-01 01:05:00,Battery_2
168,169,19.6137,3.0,2016-07-01 01:05:00,EV_inverter_2
169,170,667.904,3.15789,2016-07-01 01:05:00,Battery_3
170,171,19.563,3.0,2016-07-01 01:05:00,EV_inverter_3
171,172,675.404,3.15789,2016-07-01 01:05:00,Battery_4
172,173,19.6766,3.0,2016-07-01 01:05:00,EV_inverter_4
173,174,686.654,3.15789,2016-07-01 01:05:00,Battery_5
174,175,333.813,3.0,2016-07-01 01:05:00,EV_inverter_5
175,176,656.654,3.15789,2016-07-01 01:05:00,Battery_6
176,177,19.6923,3.0,2016-07-01 01:05:00,EV_inverter_6
177,178,19.45,-1.0,2016-07-01 01:10:00,WS_supply
178,179,679.15,3.15789,2016-07-01 01:10:00,Battery_1
179,180,1333.05,3.0,2016-07-01 01:10:00,EV_inverter_1
180,181,660.4,3.15789,2016-07-01 01:10:00,Battery_2
181,182,19.6966,3.0,2016-07-01 01:10:00,EV_inverter_2
182,183,667.9,3.15789,2016-07-01 01:10:00,Battery_3
183,184,19.6087,3.0,2016-07-01 01:10:00,EV_inverter_3
184,185,675.4,3.15789,2016-07-01 01:10:00,Battery_4
185,186,19.8063,3.0,2016-07-01 01:10:00,EV_inverter_4
186,187,686.65,3.15789,2016-07-01 01:10:00,Battery_5
187,188,19.7145,3.0,2016-07-01 01:10:00,EV_inverter_5
188,189,656.65,3.15789,2016-07-01 01:10:00,Battery_6
189,190,19.8335,3.0,2016-07-01 01:10:00,EV_inverter_6
