,id,p_bid,q_bid,arrival_time,gen_name
0,1,19.5,-1.0,2016-07-01 00:00:00,WS_supply
1,2,718.049,1.68,2016-07-01 00:00:00,Battery_1
2,3,139828.0,3.0,2016-07-01 00:00:00,EV_inverter_1
3,4,699.299,1.68,2016-07-01 00:00:00,Battery_2
4,5,249753.0,3.0,2016-07-01 00:00:00,EV_inverter_2
5,6,706.799,1.68,2016-07-01 00:00:00,Battery_3
6,7,112554.0,3.0,2016-07-01 00:00:00,EV_inverter_3
7,8,714.299,1.68,2016-07-01 00:00:00,Battery_4
8,9,727688.0,3.0,2016-07-01 00:00:00,EV_inverter_4
9,10,725.549,1.68,2016-07-01 00:00:00,Battery_5
10,11,148615.0,3.0,2016-07-01 00:00:00,EV_inverter_5
11,12,695.549,1.68,2016-07-01 00:00:00,Battery_6
12,13,469695.0,3.0,2016-07-01 00:00:00,EV_inverter_6
13,14,19.5,-1.0,2016-07-01 00:05:00,WS_supply
14,15,680.171,1.88586,2016-07-01 00:05:00,Battery_1
15,16,153240.0,3.0,2016-07-01 00:05:00,EV_inverter_1
16,17,661.421,1.88586,2016-07-01 00:05:00,Battery_2
17,18,299668.0,3.0,2016-07-01 00:05:00,EV_inverter_2
18,19,668.921,1.88586,2016-07-01 00:05:00,Battery_3
19,20,125310.0,3.0,2016-07-01 00:05:00,EV_inverter_3
20,21,676.421,1.88586,2016-07-01 00:05:00,Battery_4
21,22,1940420.0,3.0,2016-07-01 00:05:00,EV_inverter_4
22,23,687.671,1.88586,2016-07-01 00:05:00,Battery_5
23,24,167634.0,3.0,2016-07-01 00:05:00,EV_inverter_5
24,25,657.671,1.88586,2016-07-01 00:05:00,Battery_6
25,26,861051.0,3.0,2016-07-01 00:05:00,EV_inverter_6
26,27,19.5,-1.0,2016-07-01 00:10:00,WS_supply
27,28,679.159,1.93733,2016-07-01 00:10:00,Battery_1
28,29,19.5,3.0,2016-07-01 00:10:00,EV_inverter_1
29,30,660.409,1.93733,2016-07-01 00:10:00,Battery_2
30,31,19.5,3.0,2016-07-01 00:10:00,EV_inverter_2
31,32,667.909,1.93733,2016-07-01 00:10:00,Battery_3
32,33,19.5,3.0,2016-07-01 00:10:00,EV_inverter_3
33,34,675.409,1.93733,2016-07-01 00:10:00,Battery_4
34,35,19.5,3.0,2016-07-01 00:10:00,EV_inverter_4
35,36,686.659,1.93733,2016-07-01 00:10:00,Battery_5
36,37,19.5,3.0,2016-07-01 00:10:00,EV_inverter_5
37,38,656.659,1.93733,2016-07-01 00:10:00,Battery_6
38,39,19.5,3.0,2016-07-01 00:10:00,EV_inverter_6
39,40,19.93,-1.0,2016-07-01 00:15:00,WS_supply
40,41,679.159,2.14319,2016-07-01 00:15:00,Battery_1
41,42,19.5,3.0,2016-07-01 00:15:00,EV_inverter_1
42,43,660.409,2.14319,2016-07-01 00:15:00,Battery_2
43,44,19.5,3.0,2016-07-01 00:15:00,EV_inverter_2
44,45,667.909,2.14319,2016-07-01 00:15:00,Battery_3
45,46,19.5,3.0,2016-07-01 00:15:00,EV_inverter_3
46,47,675.409,2.14319,2016-07-01 00:15:00,Battery_4
47,48,19.5,3.0,2016-07-01 00:15:00,EV_inverter_4
48,49,686.659,2.14319,2016-07-01 00:15:00,Battery_5
49,50,19.5,3.0,2016-07-01 00:15:00,EV_inverter_5
50,51,656.659,2.14319,2016-07-01 00:15:00,Battery_6
51,52,19.5,3.0,2016-07-01 00:15:00,EV_inverter_6
52,53,19.93,-1.0,2016-07-01 00:20:00,WS_supply
53,54,679.159,2.40052,2016-07-01 00:20:00,Battery_1
54,55,19.5,3.0,2016-07-01 00:20:00,EV_inverter_1
55,56,660.409,2.40052,2016-07-01 00:20:00,Battery_2
56,57,19.5,3.0,2016-07-01 00:20:00,EV_inverter_2
57,58,667.909,2.40052,2016-07-01 00:20:00,Battery_3
58,59,19.5,3.0,2016-07-01 00:20:00,EV_inverter_3
59,60,675.409,2.40052,2016-07-01 00:20:00,Battery_4
60,61,19.5,3.0,2016-07-01 00:20:00,EV_inverter_4
61,62,686.659,2.40052,2016-07-01 00:20:00,Battery_5
62,63,19.5,3.0,2016-07-01 00:20:00,EV_inverter_5
63,64,656.659,2.40052,2016-07-01 00:20:00,Battery_6
64,65,19.5,3.0,2016-07-01 00:20:00,EV_inverter_6
65,66,19.93,-1.0,2016-07-01 00:25:00,WS_supply
66,67,679.159,2.65784,2016-07-01 00:25:00,Battery_1
67,68,19.5,3.0,2016-07-01 00:25:00,EV_inverter_1
68,69,660.409,2.65784,2016-07-01 00:25:00,Battery_2
69,70,19.5,3.0,2016-07-01 00:25:00,EV_inverter_2
70,71,667.909,2.65784,2016-07-01 00:25:00,Battery_3
71,72,19.5,3.0,2016-07-01 00:25:00,EV_inverter_3
72,73,675.409,2.65784,2016-07-01 00:25:00,Battery_4
