,t,name,P_bid,Q_bid
0,2016-07-01 00:00:00,WS_supply,19.5,1250.0
1,2016-07-01 00:05:00,WS_supply,19.5,1250.0
2,2016-07-01 00:10:00,WS_supply,19.5,1250.0
3,2016-07-01 00:15:00,WS_supply,19.93,1250.0
4,2016-07-01 00:20:00,WS_supply,19.93,1250.0
5,2016-07-01 00:25:00,WS_supply,19.93,1250.0
6,2016-07-01 00:30:00,WS_supply,19.88,1250.0
7,2016-07-01 00:35:00,WS_supply,19.88,1250.0
8,2016-07-01 00:40:00,WS_supply,19.88,1250.0
9,2016-07-01 00:45:00,WS_supply,19.72,1250.0
10,2016-07-01 00:50:00,WS_supply,19.72,1250.0
11,2016-07-01 00:55:00,WS_supply,19.72,1250.0
12,2016-07-01 01:00:00,WS_supply,19.45,1250.0
13,2016-07-01 01:05:00,WS_supply,19.45,1250.0
14,2016-07-01 01:10:00,WS_supply,19.45,1250.0
15,2016-07-01 01:15:00,WS_supply,19.09,1250.0
16,2016-07-01 01:20:00,WS_supply,19.09,1250.0
17,2016-07-01 01:25:00,WS_supply,19.09,1250.0
18,2016-07-01 01:30:00,WS_supply,18.54,1250.0
19,2016-07-01 01:35:00,WS_supply,18.54,1250.0
20,2016-07-01 01:40:00,WS_supply,18.54,1250.0
21,2016-07-01 01:45:00,WS_supply,18.16,1250.0
22,2016-07-01 01:50:00,WS_supply,18.16,1250.0
