,timedate,operating_mode,p_HVAC
0,2016-07-01 00:00:00,COOL,62.1492
1,2016-07-01 00:05:00,COOL,26.9156
2,2016-07-01 00:10:00,COOL,19.5
3,2016-07-01 00:15:00,COOL,19.5
4,2016-07-01 00:20:00,COOL,19.5
5,2016-07-01 00:25:00,HEAT,19.5
6,2016-07-01 00:30:00,COOL,19.5
7,2016-07-01 00:35:00,COOL,19.5
8,2016-07-01 00:40:00,COOL,19.5
9,2016-07-01 00:45:00,HEAT,19.5
10,2016-07-01 00:50:00,COOL,19.5
11,2016-07-01 00:55:00,COOL,19.5
12,2016-07-01 01:00:00,COOL,19.5
13,2016-07-01 01:05:00,HEAT,19.4962
14,2016-07-01 01:10:00,COOL,19.4972
