,p,q
2016-07-01 00:00:00,19.5,23.561
2016-07-01 00:05:00,19.5,36.281
2016-07-01 00:10:00,19.5,36.252
2016-07-01 00:15:00,19.93,19.292
2016-07-01 00:20:00,19.93,18.006
2016-07-01 00:25:00,19.93,36.157
2016-07-01 00:30:00,19.88,36.12300000000001
2016-07-01 00:35:00,19.88,36.094
2016-07-01 00:40:00,19.88,36.06
2016-07-01 00:45:00,19.72,36.03
2016-07-01 00:50:00,19.72,35.996
2016-07-01 00:55:00,19.72,35.961999999999996
2016-07-01 01:00:00,19.45,33.211
2016-07-01 01:05:00,19.45,27.535
2016-07-01 01:10:00,19.45,21.413
2016-07-01 01:15:00,19.09,45.771
2016-07-01 01:20:00,19.09,38.24800000000001
2016-07-01 01:25:00,19.09,1.0959999999999999
2016-07-01 01:30:00,18.54,31.07800000000001
2016-07-01 01:35:00,18.54,37.52
2016-07-01 01:40:00,18.54,12.318
2016-07-01 01:45:00,18.16,12.307
2016-07-01 01:50:00,18.16,12.296
2016-07-01 01:55:00,18.16,12.286
2016-07-01 02:00:00,17.81,12.275
2016-07-01 02:05:00,17.81,6.89
2016-07-01 02:10:00,17.81,1.096
2016-07-01 02:15:00,17.5,1.0959999999999999
2016-07-01 02:20:00,17.5,1.096
2016-07-01 02:25:00,17.5,1.0959999999999999
2016-07-01 02:30:00,17.34,1.096
2016-07-01 02:35:00,17.34,1.0959999999999999
2016-07-01 02:40:00,17.34,1.096
2016-07-01 02:45:00,17.04,1.0959999999999999
2016-07-01 02:50:00,17.04,1.096
2016-07-01 02:55:00,17.04,1.0959999999999999
2016-07-01 03:00:00,16.79,1.096
2016-07-01 03:05:00,16.79,1.0959999999999999
2016-07-01 03:10:00,16.79,1.096
2016-07-01 03:15:00,16.61,1.0959999999999999
2016-07-01 03:20:00,16.61,1.096
2016-07-01 03:25:00,16.61,1.0959999999999999
2016-07-01 03:30:00,16.45,1.096
2016-07-01 03:35:00,16.45,1.0959999999999999
2016-07-01 03:40:00,16.45,1.096
2016-07-01 03:45:00,16.3,1.0959999999999999
2016-07-01 03:50:00,16.3,1.096
2016-07-01 03:55:00,16.3,1.0959999999999999
2016-07-01 04:00:00,16.28,1.096
2016-07-01 04:05:00,16.28,1.0959999999999999
2016-07-01 04:10:00,16.28,1.096
2016-07-01 04:15:00,16.28,1.0959999999999999
2016-07-01 04:20:00,16.28,1.096
2016-07-01 04:25:00,16.28,1.0959999999999999
2016-07-01 04:30:00,16.19,1.096
2016-07-01 04:35:00,16.19,1.0959999999999999
2016-07-01 04:40:00,16.19,1.096
2016-07-01 04:45:00,16.11,1.0959999999999999
2016-07-01 04:50:00,16.11,1.096
2016-07-01 04:55:00,16.11,1.0959999999999999
2016-07-01 05:00:00,16.29,1.096
2016-07-01 05:05:00,16.29,1.0959999999999999
2016-07-01 05:10:00,16.29,1.096
2016-07-01 05:15:00,16.55,1.0959999999999999
2016-07-01 05:20:00,16.55,1.096
2016-07-01 05:25:00,16.55,1.0959999999999999
2016-07-01 05:30:00,16.81,1.096
2016-07-01 05:35:00,16.81,1.0959999999999999
2016-07-01 05:40:00,16.81,1.096
2016-07-01 05:45:00,17.13,1.0959999999999999
2016-07-01 05:50:00,17.13,1.096
2016-07-01 05:55:00,17.13,1.0959999999999999
2016-07-01 06:00:00,17.85,1.096
2016-07-01 06:05:00,17.85,1.0959999999999999
2016-07-01 06:10:00,17.85,1.096
2016-07-01 06:15:00,17.98,1.0959999999999999
2016-07-01 06:20:00,17.98,1.096
2016-07-01 06:25:00,17.98,1.0959999999999999
2016-07-01 06:30:00,17.95,1.096
2016-07-01 06:35:00,17.95,1.0959999999999999
2016-07-01 06:40:00,17.95,1.096
2016-07-01 06:45:00,18.23,1.0959999999999999
2016-07-01 06:50:00,18.23,1.096
2016-07-01 06:55:00,18.23,1.087
2016-07-01 07:00:00,18.94,1.048
2016-07-01 07:05:00,18.94,0.9670000000000001
2016-07-01 07:10:00,18.94,0.871
2016-07-01 07:15:00,19.33,0.77
2016-07-01 07:20:00,19.33,0.66
2016-07-01 07:25:00,19.33,0.5429999999999999
2016-07-01 07:30:00,19.7,0.419
2016-07-01 07:35:00,19.7,0.28800000000000003
2016-07-01 07:40:00,19.7,0.152
2016-07-01 07:45:00,19.54,0.01
2016-07-01 07:50:00,19.54,-0.13699999999999998
2016-07-01 07:55:00,19.54,-0.29
2016-07-01 08:00:00,19.37,-0.447
2016-07-01 08:05:00,19.37,-0.611
2016-07-01 08:10:00,19.37,-0.777
2016-07-01 08:15:00,19.78,-0.9470000000000001
2016-07-01 08:20:00,19.78,-1.119
2016-07-01 08:25:00,19.78,-1.294
2016-07-01 08:30:00,19.86,-1.472
2016-07-01 08:35:00,19.86,-1.652
2016-07-01 08:40:00,19.86,-1.835
2016-07-01 08:45:00,19.9,-2.021
2016-07-01 08:50:00,19.9,-2.208
2016-07-01 08:55:00,19.9,-2.427
2016-07-01 09:00:00,19.86,-2.619
2016-07-01 09:05:00,19.86,-2.841
2016-07-01 09:10:00,19.86,-3.068
2016-07-01 09:15:00,20.21,-3.292
2016-07-01 09:20:00,20.21,-3.513
2016-07-01 09:25:00,20.21,-3.728
2016-07-01 09:30:00,20.8,-1.262
2016-07-01 09:35:00,20.8,7.237999999999999
2016-07-01 09:40:00,20.8,13.31
2016-07-01 09:45:00,22.39,13.155999999999999
2016-07-01 09:50:00,22.39,15.704
2016-07-01 09:55:00,22.39,18.486
2016-07-01 10:00:00,22.93,21.069000000000006
2016-07-01 10:05:00,22.93,26.545
2016-07-01 10:10:00,22.93,29.345
2016-07-01 10:15:00,25.92,29.241
2016-07-01 10:20:00,25.92,29.148000000000003
2016-07-01 10:25:00,25.92,29.06900000000001
2016-07-01 10:30:00,30.36,29.006
2016-07-01 10:35:00,30.36,28.956
2016-07-01 10:40:00,30.36,28.919
2016-07-01 10:45:00,27.24,28.898000000000003
2016-07-01 10:50:00,27.24,25.713
2016-07-01 10:55:00,27.24,22.32
2016-07-01 11:00:00,26.56,19.598
2016-07-01 11:05:00,26.56,13.995
2016-07-01 11:10:00,26.56,8.388
2016-07-01 11:15:00,28.54,5.5070000000000014
2016-07-01 11:20:00,28.54,2.818
2016-07-01 11:25:00,28.54,-2.8510000000000004
2016-07-01 11:30:00,30.02,-5.785
2016-07-01 11:35:00,30.02,-5.755
2016-07-01 11:40:00,30.02,-5.729
2016-07-01 11:45:00,30.88,-5.7079999999999975
2016-07-01 11:50:00,30.88,-5.69
2016-07-01 11:55:00,30.88,-5.678999999999999
2016-07-01 12:00:00,30.75,-5.671
2016-07-01 12:05:00,30.75,-5.711
2016-07-01 12:10:00,30.75,-5.7570000000000014
2016-07-01 12:15:00,31.11,-5.7970000000000015
2016-07-01 12:20:00,31.11,-5.8320000000000025
2016-07-01 12:25:00,31.11,-5.862
2016-07-01 12:30:00,32.84,-5.886
2016-07-01 12:35:00,32.84,-5.9060000000000015
2016-07-01 12:40:00,32.84,-5.92
2016-07-01 12:45:00,33.01,-5.928999999999999
2016-07-01 12:50:00,33.01,-5.9179999999999975
2016-07-01 12:55:00,33.01,-2.62
2016-07-01 13:00:00,34.13,3.727
2016-07-01 13:05:00,34.13,9.618
2016-07-01 13:10:00,34.13,15.503
2016-07-01 13:15:00,36.63,21.409000000000002
2016-07-01 13:20:00,36.63,24.483
2016-07-01 13:25:00,36.63,24.513
2016-07-01 13:30:00,35.8,27.376
2016-07-01 13:35:00,35.8,30.451999999999998
2016-07-01 13:40:00,35.8,30.484
2016-07-01 13:45:00,38.22,30.516
2016-07-01 13:50:00,38.22,30.542
2016-07-01 13:55:00,38.22,30.574
2016-07-01 14:00:00,32.89,30.6
2016-07-01 14:05:00,32.89,30.604
2016-07-01 14:10:00,32.89,30.607
2016-07-01 14:15:00,32.69,27.796999999999997
2016-07-01 14:20:00,32.69,21.526
2016-07-01 14:25:00,32.69,18.045
2016-07-01 14:30:00,33.17,18.068
2016-07-01 14:35:00,33.17,18.095
2016-07-01 14:40:00,33.17,15.314
2016-07-01 14:45:00,32.9,12.327
2016-07-01 14:50:00,32.9,9.554
2016-07-01 14:55:00,32.9,3.772
2016-07-01 15:00:00,32.33,0.7929999999999999
2016-07-01 15:05:00,32.33,0.8190000000000001
2016-07-01 15:10:00,32.33,0.841
