battery_name,house_name,SOC_min,SOC_max,i_max,u_max,efficiency,SOC_t,active_t-1,active_t,threshold_sell,threshold_buy,p_sell,p_buy,residual_s,q_sell,residual_b,q_buy,lower_bound
Battery_1,GLD_1,0.0,7.0,15,3.9,0.95,5.464921,0,0,50.16,14.14,53.05,15.94,65.5791,3.9,17.5809,3.9,0.0
Battery_2,GLD_2,0.0,7.0,15,3.9,0.95,5.473762000000001,0,0,50.16,14.14,53.05,15.94,65.6851,3.9,17.4749,3.9,0.0
Battery_3,GLD_3,0.0,7.0,15,3.9,0.95,6.956635,0,0,50.16,14.14,53.05,15.94,83.4796,3.9,-0.3196,0.0,0.0
Battery_4,GLD_4,0.0,7.0,15,3.9,0.95,6.940989999999999,0,0,50.16,14.14,53.05,15.94,83.2919,3.9,-0.1319,0.0,0.0
Battery_5,GLD_5,0.0,7.0,15,3.9,0.95,6.940535,0,0,50.16,14.14,53.05,15.94,83.2864,3.9,-0.1264,0.0,0.0
Battery_6,GLD_6,0.0,7.0,15,3.9,0.95,6.9323239999999995,0,0,50.16,14.14,53.05,15.94,83.1879,3.9,-0.0279,0.0,0.0
