,clearing_price,clearing_quantity,unresponsive_loads,slack_t-1
2016-07-01 00:00:00,19.35,88.0,0.0,6.58991
2016-07-01 00:05:00,19.35,88.0,-0.0,22.083599999999997
2016-07-01 00:10:00,19.35,88.0,-0.0,22.073
2016-07-01 00:15:00,19.35,84.556,-0.0,19.1154
2016-07-01 00:20:00,19.35,68.0,-0.0,19.1154
2016-07-01 00:25:00,19.35,68.0,-0.0,16.1118
2016-07-01 00:30:00,19.35,68.0,-0.0,19.060299999999998
2016-07-01 00:35:00,19.35,68.0,-0.0,16.1118
2016-07-01 00:40:00,19.35,48.0,-0.0,22.464
2016-07-01 00:45:00,19.35,47.945,-0.0,13.1127
2016-07-01 00:50:00,19.35,34.0,-0.0,13.1127
2016-07-01 00:55:00,19.35,34.0,-0.0,10.1069
2016-07-01 01:00:00,17.93,20.0,-0.0,10.1069
2016-07-01 01:05:00,17.93,15.89,-0.0,7.10081
2016-07-01 01:10:00,17.93,10.0,-0.0,7.10081
2016-07-01 01:15:00,17.93,10.0,-0.0,7.02494
2016-07-01 01:20:00,17.93,10.0,-0.0,4.09924
2016-07-01 01:25:00,17.93,10.0,-0.0,4.09924
2016-07-01 01:30:00,17.93,10.0,-0.0,4.09924
2016-07-01 01:35:00,17.93,10.0,-0.0,7.01183
2016-07-01 01:40:00,17.93,10.0,-0.0,4.09924
2016-07-01 01:45:00,17.93,10.0,-0.0,4.09924
2016-07-01 01:50:00,17.93,10.0,-0.0,4.09924
2016-07-01 01:55:00,17.93,10.0,-0.0,4.09924
2016-07-01 02:00:00,16.78,10.0,-0.0,4.09924
2016-07-01 02:05:00,16.78,0.0,-0.0,4.09924
2016-07-01 02:10:00,16.78,0.0,0.0,1.0964200000000002
2016-07-01 02:15:00,16.78,0.0,0.0,1.0964200000000002
2016-07-01 02:20:00,16.78,0.0,0.0,1.0964200000000002
2016-07-01 02:25:00,16.78,0.0,0.0,1.0964200000000002
2016-07-01 02:30:00,16.78,0.0,0.0,1.0964200000000002
2016-07-01 02:35:00,16.78,0.0,0.0,1.0964200000000002
2016-07-01 02:40:00,16.78,0.0,0.0,1.0964200000000002
2016-07-01 02:45:00,16.78,0.0,0.0,1.0964200000000002
2016-07-01 02:50:00,16.78,0.0,0.0,1.0964200000000002
2016-07-01 02:55:00,16.78,0.0,0.0,1.0964200000000002
2016-07-01 03:00:00,15.82,23.4,0.0,1.0964200000000002
2016-07-01 03:05:00,15.82,23.4,-0.0,19.1154
2016-07-01 03:10:00,15.82,23.4,-0.0,19.1154
2016-07-01 03:15:00,15.82,23.4,-0.0,19.1154
2016-07-01 03:20:00,15.82,23.4,-0.0,19.1154
2016-07-01 03:25:00,15.82,23.4,-0.0,19.1154
2016-07-01 03:30:00,15.82,23.4,-0.0,19.1154
2016-07-01 03:35:00,15.82,23.4,-0.0,19.1154
2016-07-01 03:40:00,15.82,23.4,-0.0,19.1154
2016-07-01 03:45:00,15.82,23.4,-0.0,19.1154
2016-07-01 03:50:00,15.82,23.4,-0.0,19.1154
2016-07-01 03:55:00,15.82,23.4,-0.0,19.1154
2016-07-01 04:00:00,15.94,23.4,-0.0,19.1154
2016-07-01 04:05:00,15.94,23.4,-0.0,19.1154
2016-07-01 04:10:00,15.94,23.4,-0.0,19.1154
2016-07-01 04:15:00,15.94,23.4,-0.0,19.1154
2016-07-01 04:20:00,15.94,23.4,-0.0,19.1154
2016-07-01 04:25:00,15.94,23.4,-0.0,19.1154
2016-07-01 04:30:00,15.94,23.4,-0.0,19.1154
2016-07-01 04:35:00,15.94,23.4,-0.0,19.1154
2016-07-01 04:40:00,15.94,23.4,-0.0,19.1154
2016-07-01 04:45:00,15.94,23.4,-0.0,19.1154
2016-07-01 04:50:00,15.94,23.4,-0.0,19.1154
2016-07-01 04:55:00,15.94,23.4,-0.0,19.1154
2016-07-01 05:00:00,17.57,0.0,-0.0,19.1154
2016-07-01 05:05:00,17.57,0.0,0.0,1.0964200000000002
2016-07-01 05:10:00,17.57,0.0,0.0,1.0964200000000002
2016-07-01 05:15:00,17.57,0.0,0.0,1.0964200000000002
2016-07-01 05:20:00,17.57,0.0,0.0,1.0964200000000002
2016-07-01 05:25:00,17.57,0.0,0.0,1.0964200000000002
2016-07-01 05:30:00,17.57,0.0,0.0,1.0964200000000002
2016-07-01 05:35:00,17.57,0.0,0.0,1.0964200000000002
2016-07-01 05:40:00,17.57,0.0,0.0,1.0964200000000002
2016-07-01 05:45:00,17.57,0.0,0.0,1.0964200000000002
2016-07-01 05:50:00,17.57,0.0,0.0,1.0964200000000002
2016-07-01 05:55:00,17.57,0.0,0.0,1.0964200000000002
2016-07-01 06:00:00,18.42,0.0,0.0,1.0964200000000002
2016-07-01 06:05:00,18.42,0.0,0.0,1.0964200000000002
2016-07-01 06:10:00,18.42,0.0,0.0,1.0964200000000002
2016-07-01 06:15:00,18.42,0.0,0.0,1.0964200000000002
2016-07-01 06:20:00,18.42,0.0,0.0,1.0964200000000002
2016-07-01 06:25:00,18.42,0.0,0.0,1.0964200000000002
2016-07-01 06:30:00,18.42,0.0,0.0,1.0964200000000002
2016-07-01 06:35:00,18.42,0.0,0.0,1.0964200000000002
2016-07-01 06:40:00,18.42,0.0,0.0,1.0964200000000002
2016-07-01 06:45:00,18.42,0.0,0.0,1.0964200000000002
2016-07-01 06:50:00,18.42,0.0,0.0,1.0964200000000002
2016-07-01 06:55:00,15.94,0.009,0.0,1.08728
2016-07-01 07:00:00,15.94,0.049,0.0,1.04838
2016-07-01 07:05:00,15.94,0.129,0.0,0.967018
2016-07-01 07:10:00,15.94,0.226,0.0,0.870633
2016-07-01 07:15:00,15.94,0.326,0.0,0.770437
2016-07-01 07:20:00,15.94,0.436,0.0,0.659926
2016-07-01 07:25:00,15.94,0.554,0.0,0.5425449999999999
2016-07-01 07:30:00,15.94,0.678,0.0,0.418576
2016-07-01 07:35:00,15.94,0.808,0.0,0.28830399999999995
2016-07-01 07:40:00,15.94,0.944,0.0,0.15201499999999998
2016-07-01 07:45:00,15.94,1.086,0.0,0.010001300000000001
2016-07-01 07:50:00,15.94,1.235,0.0,-0.13744399999999998
2016-07-01 07:55:00,15.94,1.386,0.0,-0.290019
2016-07-01 08:00:00,15.94,1.544,0.0,-0.44741899999999996
2016-07-01 08:05:00,15.94,1.707,0.0,-0.610768
2016-07-01 08:10:00,15.94,1.875,0.0,-0.777412
2016-07-01 08:15:00,15.94,2.044,0.0,-0.946866
2016-07-01 08:20:00,15.94,2.217,0.0,-1.1191099999999998
2016-07-01 08:25:00,15.94,2.391,0.0,-1.2941099999999999
2016-07-01 08:30:00,15.94,2.57,0.0,-1.47182
