,house_name,appliance_name,k,T_min,T_max,P_heat,P_cool,heating_setpoint,cooling_setpoint,air_temperature,active,bid_p,system_mode,bid_q
1,house_1,HVAC_e_1,2.17633,60.0,72.0,4.772,2.21116,65.0,76.0,73.5499,0,100.0,COOL,2.21116
2,house_2,HVAC_e_2,2.10229,60.0,72.0,3.97666,1.84263,65.0,76.0,73.9464,0,100.0,COOL,1.84263
3,house_3,HVAC_e_3,3.84613,60.0,72.0,4.772,2.21116,65.0,76.0,73.9005,0,100.0,COOL,2.21116
4,house_4,HVAC_e_4,2.12439,60.0,72.0,4.772,2.21116,65.0,76.0,73.7121,0,100.0,COOL,2.21116
5,house_5,HVAC_e_5,2.66974,60.0,72.0,4.772,2.21116,65.0,76.0,73.6044,0,100.0,COOL,2.21116
6,house_6,HVAC_e_6,3.02136,60.0,72.0,4.772,2.21116,65.0,76.0,73.7544,0,100.0,COOL,2.21116
