,clearing_price,clearing_quantity,unresponsive_loads,slack_t-1
2016-07-01 00:00:00,19.35,85.0,0.0,0.0
2016-07-01 00:05:00,19.35,85.0,-0.0,22.8687
2016-07-01 00:10:00,19.35,85.0,-0.0,22.8087
2016-07-01 00:15:00,19.35,84.709,-0.0,22.8087
2016-07-01 00:20:00,19.35,75.0,-0.0,22.8087
2016-07-01 00:25:00,19.35,61.0,-0.0,19.804
2016-07-01 00:30:00,19.35,61.0,-0.0,16.798599999999997
2016-07-01 00:35:00,19.35,61.0,-0.0,16.798599999999997
2016-07-01 00:40:00,19.35,61.0,-0.0,16.798599999999997
2016-07-01 00:45:00,19.35,23.807,-0.0,16.798599999999997
2016-07-01 00:50:00,19.35,7.0,-0.0,10.7904
2016-07-01 00:55:00,19.35,7.0,0.0,7.787979999999999
2016-07-01 01:00:00,17.93,7.0,0.0,7.787979999999999
2016-07-01 01:05:00,17.93,7.0,0.0,7.52086
2016-07-01 01:10:00,17.93,7.0,0.0,7.52086
2016-07-01 01:15:00,17.93,7.0,0.0,7.52086
2016-07-01 01:20:00,17.93,7.0,0.0,7.460979999999999
2016-07-01 01:25:00,17.93,7.0,0.0,7.52086
2016-07-01 01:30:00,17.93,7.0,0.0,7.04185
2016-07-01 01:35:00,17.93,1.81,-0.0,6.86221
2016-07-01 01:40:00,17.93,0.0,0.0,4.63721
2016-07-01 01:45:00,17.93,0.0,0.0,4.936520000000001
2016-07-01 01:50:00,17.93,0.0,0.0,4.87666
2016-07-01 01:55:00,17.93,0.0,0.0,4.87666
2016-07-01 02:00:00,16.78,0.0,0.0,4.87666
2016-07-01 02:05:00,16.78,0.0,0.0,4.758649999999999
2016-07-01 02:10:00,16.78,0.0,0.0,4.39948
2016-07-01 02:15:00,16.78,0.0,0.0,4.33962
2016-07-01 02:20:00,16.78,0.0,0.0,4.33962
2016-07-01 02:25:00,16.78,0.0,0.0,4.33962
2016-07-01 02:30:00,16.78,0.0,0.0,4.2797600000000005
2016-07-01 02:35:00,16.78,0.0,0.0,3.74098
2016-07-01 02:40:00,16.78,0.0,0.0,3.74098
2016-07-01 02:45:00,16.78,0.0,0.0,3.74098
2016-07-01 02:50:00,16.78,0.0,0.0,3.74098
2016-07-01 02:55:00,16.78,0.0,0.0,3.74098
2016-07-01 03:00:00,15.82,26.635,0.0,3.6811100000000003
2016-07-01 03:05:00,15.82,23.4,-0.0,24.748099999999997
2016-07-01 03:10:00,15.82,23.4,-0.0,22.518099999999997
2016-07-01 03:15:00,15.82,23.4,-0.0,22.518099999999997
2016-07-01 03:20:00,15.82,23.4,-0.0,22.4582
2016-07-01 03:25:00,15.82,23.4,-0.0,22.3983
2016-07-01 03:30:00,15.82,23.4,-0.0,22.4582
2016-07-01 03:35:00,15.82,23.4,-0.0,22.4582
2016-07-01 03:40:00,15.82,23.4,-0.0,22.3983
2016-07-01 03:45:00,15.82,23.4,-0.0,22.4582
2016-07-01 03:50:00,15.82,23.4,-0.0,22.4582
2016-07-01 03:55:00,15.82,23.4,-0.0,22.4582
