,q_bid,end_time,p_bid,mode_dispatch,mode_market,start_time,rate_id,meter_id,e,is_bid,meter_interval_id,qmtp
0,0.95296,2021-07-22T11:43:00,0.0,0.0,0.0,2021-07-22T11:42:00,1,1,0.0158827,True,973,0.95296
1,1.22071,2021-07-22T11:43:00,0.0,0.0,0.0,2021-07-22T11:42:00,1,2,0.0203452,True,974,1.22071
2,1.19146,2021-07-22T11:43:00,0.0,0.0,0.0,2021-07-22T11:42:00,1,3,0.0198577,True,975,1.19146
3,1.11871,2021-07-22T11:43:00,0.0,0.0,0.0,2021-07-22T11:42:00,1,4,0.0186452,True,976,1.11871
4,1.33565,2021-07-22T11:43:00,0.0,0.0,0.0,2021-07-22T11:42:00,1,5,0.0222608,True,977,1.33565
5,1.25144,2021-07-22T11:43:00,0.0,0.0,0.0,2021-07-22T11:42:00,1,6,0.0208573,True,978,1.25144
6,0.953439,2021-07-22T11:44:00,0.0,0.0,0.0,2021-07-22T11:43:00,1,1,0.0158907,True,979,0.953439
7,1.22133,2021-07-22T11:44:00,0.0,0.0,0.0,2021-07-22T11:43:00,1,2,0.0203555,True,980,1.22133
8,1.19205,2021-07-22T11:44:00,0.0,0.0,0.0,2021-07-22T11:43:00,1,3,0.0198675,True,981,1.19205
9,1.11927,2021-07-22T11:44:00,0.0,0.0,0.0,2021-07-22T11:43:00,1,4,0.0186545,True,982,1.11927
10,1.33632,2021-07-22T11:44:00,0.0,0.0,0.0,2021-07-22T11:43:00,1,5,0.022272,True,983,1.33632
11,1.25207,2021-07-22T11:44:00,0.0,0.0,0.0,2021-07-22T11:43:00,1,6,0.0208678,True,984,1.25207
12,0.953922,2021-07-22T11:45:00,0.0,0.0,0.0,2021-07-22T11:44:00,1,1,0.0158987,True,985,0.953922
13,1.22194,2021-07-22T11:45:00,0.0,0.0,0.0,2021-07-22T11:44:00,1,2,0.0203657,True,986,1.22194
14,1.19266,2021-07-22T11:45:00,0.0,0.0,0.0,2021-07-22T11:44:00,1,3,0.0198777,True,987,1.19266
15,1.11984,2021-07-22T11:45:00,0.0,0.0,0.0,2021-07-22T11:44:00,1,4,0.018664,True,988,1.11984
16,1.337,2021-07-22T11:45:00,0.0,0.0,0.0,2021-07-22T11:44:00,1,5,0.0222833,True,989,1.337
17,1.2527,2021-07-22T11:45:00,0.0,0.0,0.0,2021-07-22T11:44:00,1,6,0.0208783,True,990,1.2527
18,0.954396,2021-07-22T11:46:00,0.0,0.0,0.0,2021-07-22T11:45:00,1,1,0.0159066,True,991,0.954396
19,1.22255,2021-07-22T11:46:00,0.0,0.0,0.0,2021-07-22T11:45:00,1,2,0.0203758,True,992,1.22255
20,1.19325,2021-07-22T11:46:00,0.0,0.0,0.0,2021-07-22T11:45:00,1,3,0.0198875,True,993,1.19325
21,1.12039,2021-07-22T11:46:00,0.0,0.0,0.0,2021-07-22T11:45:00,1,4,0.0186732,True,994,1.12039
22,1.33766,2021-07-22T11:46:00,0.0,0.0,0.0,2021-07-22T11:45:00,1,5,0.0222943,True,995,1.33766
23,1.25332,2021-07-22T11:46:00,0.0,0.0,0.0,2021-07-22T11:45:00,1,6,0.0208887,True,996,1.25332
24,0.95488,2021-07-22T11:47:00,0.0,0.0,0.0,2021-07-22T11:46:00,1,1,0.0159147,True,997,0.95488
25,1.22317,2021-07-22T11:47:00,0.0,0.0,0.0,2021-07-22T11:46:00,1,2,0.0203862,True,998,1.22317
26,1.19386,2021-07-22T11:47:00,0.0,0.0,0.0,2021-07-22T11:46:00,1,3,0.0198977,True,999,1.19386
27,1.12096,2021-07-22T11:47:00,0.0,0.0,0.0,2021-07-22T11:46:00,1,4,0.0186827,True,1000,1.12096
28,1.33834,2021-07-22T11:47:00,0.0,0.0,0.0,2021-07-22T11:46:00,1,5,0.0223057,True,1001,1.33834
29,1.25396,2021-07-22T11:47:00,0.0,0.0,0.0,2021-07-22T11:46:00,1,6,0.0208993,True,1002,1.25396
30,0.955352,2021-07-22T11:48:00,0.0,0.0,0.0,2021-07-22T11:47:00,1,1,0.0159225,True,1003,0.955352
31,1.22378,2021-07-22T11:48:00,0.0,0.0,0.0,2021-07-22T11:47:00,1,2,0.0203963,True,1004,1.22378
32,1.19445,2021-07-22T11:48:00,0.0,0.0,0.0,2021-07-22T11:47:00,1,3,0.0199075,True,1005,1.19445
33,1.12151,2021-07-22T11:48:00,0.0,0.0,0.0,2021-07-22T11:47:00,1,4,0.0186918,True,1006,1.12151
34,1.339,2021-07-22T11:48:00,0.0,0.0,0.0,2021-07-22T11:47:00,1,5,0.0223167,True,1007,1.339
35,1.25458,2021-07-22T11:48:00,0.0,0.0,0.0,2021-07-22T11:47:00,1,6,0.0209097,True,1008,1.25458
36,0.955831,2021-07-22T11:49:00,0.0,0.0,0.0,2021-07-22T11:48:00,1,1,0.0159305,True,1009,0.955831
37,1.22439,2021-07-22T11:49:00,0.0,0.0,0.0,2021-07-22T11:48:00,1,2,0.0204065,True,1010,1.22439
38,1.19504,2021-07-22T11:49:00,0.0,0.0,0.0,2021-07-22T11:48:00,1,3,0.0199173,True,1011,1.19504
39,1.12208,2021-07-22T11:49:00,0.0,0.0,0.0,2021-07-22T11:48:00,1,4,0.0187013,True,1012,1.12208
40,1.33967,2021-07-22T11:49:00,0.0,0.0,0.0,2021-07-22T11:48:00,1,5,0.0223278,True,1013,1.33967
41,1.25521,2021-07-22T11:49:00,0.0,0.0,0.0,2021-07-22T11:48:00,1,6,0.0209202,True,1014,1.25521
42,0.956304,2021-07-22T11:50:00,0.0,0.0,0.0,2021-07-22T11:49:00,1,1,0.0159384,True,1015,0.956304
43,1.225,2021-07-22T11:50:00,0.0,0.0,0.0,2021-07-22T11:49:00,1,2,0.0204167,True,1016,1.225
44,1.19564,2021-07-22T11:50:00,0.0,0.0,0.0,2021-07-22T11:49:00,1,3,0.0199273,True,1017,1.19564
45,1.12263,2021-07-22T11:50:00,0.0,0.0,0.0,2021-07-22T11:49:00,1,4,0.0187105,True,1018,1.12263
46,1.34034,2021-07-22T11:50:00,0.0,0.0,0.0,2021-07-22T11:49:00,1,5,0.022339,True,1019,1.34034
47,1.25583,2021-07-22T11:50:00,0.0,0.0,0.0,2021-07-22T11:49:00,1,6,0.0209305,True,1020,1.25583
48,0.956781,2021-07-22T11:51:00,0.0,0.0,0.0,2021-07-22T11:50:00,1,1,0.0159463,True,1021,0.956781
49,1.22561,2021-07-22T11:51:00,0.0,0.0,0.0,2021-07-22T11:50:00,1,2,0.0204268,True,1022,1.22561
50,1.19623,2021-07-22T11:51:00,0.0,0.0,0.0,2021-07-22T11:50:00,1,3,0.0199372,True,1023,1.19623
51,1.12319,2021-07-22T11:51:00,0.0,0.0,0.0,2021-07-22T11:50:00,1,4,0.0187198,True,1024,1.12319
52,1.341,2021-07-22T11:51:00,0.0,0.0,0.0,2021-07-22T11:50:00,1,5,0.02235,True,1025,1.341
53,1.25646,2021-07-22T11:51:00,0.0,0.0,0.0,2021-07-22T11:50:00,1,6,0.020941,True,1026,1.25646
54,0.957256,2021-07-22T11:52:00,0.0,0.0,0.0,2021-07-22T11:51:00,1,1,0.0159543,True,1027,0.957256
55,1.22621,2021-07-22T11:52:00,0.0,0.0,0.0,2021-07-22T11:51:00,1,2,0.0204368,True,1028,1.22621
56,1.19683,2021-07-22T11:52:00,0.0,0.0,0.0,2021-07-22T11:51:00,1,3,0.0199472,True,1029,1.19683
57,1.12375,2021-07-22T11:52:00,0.0,0.0,0.0,2021-07-22T11:51:00,1,4,0.0187292,True,1030,1.12375
58,1.34167,2021-07-22T11:52:00,0.0,0.0,0.0,2021-07-22T11:51:00,1,5,0.0223612,True,1031,1.34167
59,1.25708,2021-07-22T11:52:00,0.0,0.0,0.0,2021-07-22T11:51:00,1,6,0.0209513,True,1032,1.25708
60,0.95773,2021-07-22T11:53:00,0.0,0.0,0.0,2021-07-22T11:52:00,1,1,0.0159622,True,1033,0.95773
61,1.22682,2021-07-22T11:53:00,0.0,0.0,0.0,2021-07-22T11:52:00,1,2,0.020447,True,1034,1.22682
62,1.19742,2021-07-22T11:53:00,0.0,0.0,0.0,2021-07-22T11:52:00,1,3,0.019957,True,1035,1.19742
63,1.12431,2021-07-22T11:53:00,0.0,0.0,0.0,2021-07-22T11:52:00,1,4,0.0187385,True,1036,1.12431
64,1.34233,2021-07-22T11:53:00,0.0,0.0,0.0,2021-07-22T11:52:00,1,5,0.0223722,True,1037,1.34233
65,1.2577,2021-07-22T11:53:00,0.0,0.0,0.0,2021-07-22T11:52:00,1,6,0.0209617,True,1038,1.2577
66,0.958207,2021-07-22T11:54:00,0.0,0.0,0.0,2021-07-22T11:53:00,1,1,0.0159701,True,1039,0.958207
67,1.22743,2021-07-22T11:54:00,0.0,0.0,0.0,2021-07-22T11:53:00,1,2,0.0204572,True,1040,1.22743
68,1.19802,2021-07-22T11:54:00,0.0,0.0,0.0,2021-07-22T11:53:00,1,3,0.019967,True,1041,1.19802
69,1.12487,2021-07-22T11:54:00,0.0,0.0,0.0,2021-07-22T11:53:00,1,4,0.0187478,True,1042,1.12487
70,1.343,2021-07-22T11:54:00,0.0,0.0,0.0,2021-07-22T11:53:00,1,5,0.0223833,True,1043,1.343
71,1.25833,2021-07-22T11:54:00,0.0,0.0,0.0,2021-07-22T11:53:00,1,6,0.0209722,True,1044,1.25833
72,0.958674,2021-07-22T11:55:00,0.0,0.0,0.0,2021-07-22T11:54:00,1,1,0.0159779,True,1045,0.958674
73,1.22803,2021-07-22T11:55:00,0.0,0.0,0.0,2021-07-22T11:54:00,1,2,0.0204672,True,1046,1.22803
74,1.1986,2021-07-22T11:55:00,0.0,0.0,0.0,2021-07-22T11:54:00,1,3,0.0199767,True,1047,1.1986
75,1.12541,2021-07-22T11:55:00,0.0,0.0,0.0,2021-07-22T11:54:00,1,4,0.0187568,True,1048,1.12541
76,1.34366,2021-07-22T11:55:00,0.0,0.0,0.0,2021-07-22T11:54:00,1,5,0.0223943,True,1049,1.34366
