1577865600,0.0,0.0,0.0,0,-4.9,9.0,0.9,0.7,3.6,163.2,52.5,770,5.5
1577869200,0.0,0.0,0.0,0,-4.7,8.8,0.9,0.5,3.7,156.7,53.4,770,5.3
1577872800,0.0,0.0,0.0,0,-3.6,9.0,0.9,0.5,3.6,146.4,55.6,770,5.6
1577876400,0.0,0.0,0.0,0,-3.5,9.3,0.9,0.5,3.4,135.1,55.3,769,5.9
1577880000,0.0,0.0,0.0,4,-3.5,9.7,0.9,0.6,3.4,123.5,54.7,768,6.3
1577883600,0.0,0.0,0.0,7,-2.9,9.7,0.9,0.6,3.5,112.1,55.8,768,6.3
1577887200,0.0,0.0,0.0,7,-2.0,10.4,0.9,0.6,3.5,101.0,56.5,768,7.1
1577890800,0.2,0.2,0.0,4,-0.4,13.3,0.9,0.6,3.5,90.0,53.9,768,10.1
1577894400,4.6,4.6,0.8,4,5.2,18.1,0.9,0.7,3.4,80.9,56.1,768,15.2
1577898000,13.7,10.5,10.8,7,11.3,21.9,0.9,0.9,3.4,72.8,63.3,768,19.4
1577901600,24.3,13.3,28.0,7,15.1,24.6,0.9,1.0,3.6,66.7,66.5,767,22.3
1577905200,33.5,14.4,42.2,4,18.3,26.4,0.9,1.0,3.7,63.1,71.2,766,24.3
1577908800,23.7,17.6,13.2,7,19.9,26.6,0.9,0.9,3.8,62.5,75.5,765,24.6
1577912400,39.5,7.5,75.4,4,19.9,26.2,0.9,0.8,3.9,65.0,76.9,764,24.2
1577916000,15.4,9.6,17.4,4,19.6,25.5,0.9,0.8,3.8,70.2,77.9,764,23.5
1577919600,8.2,7.3,3.7,7,18.9,24.3,0.9,0.8,3.7,77.6,79.4,764,22.2
1577923200,2.0,2.0,0.6,7,17.4,23.5,0.9,0.8,3.6,86.5,77.3,764,21.4
1577926800,0.0,0.0,0.0,7,15.8,21.6,0.9,0.8,3.6,96.8,78.2,763,19.3
1577930400,0.0,0.0,0.0,4,15.1,21.0,0.9,0.8,3.9,107.7,77.5,764,18.7
1577934000,0.0,0.0,0.0,7,14.5,19.9,0.9,0.7,4.1,119.1,79.2,764,17.6
1577937600,0.0,0.0,0.0,7,12.9,18.0,0.9,0.6,4.1,130.7,80.3,764,15.6
1577941200,0.0,0.0,0.0,6,10.6,15.6,0.9,0.4,4.0,142.1,80.1,764,13.1
1577944800,0.0,0.0,0.0,7,7.7,13.5,0.9,0.4,4.0,152.9,77.3,764,10.8
1577948400,0.0,0.0,0.0,9,6.3,12.4,0.9,0.4,4.0,161.4,75.9,764,9.6
1577952000,0.0,0.0,0.0,7,5.2,11.5,0.9,0.3,4.0,163.1,75.5,764,8.7
