timestamp,current_market.clearing_price,current_market.clearing_quantity
2020-01-01 00:00:00 MST,+20,+0
2020-01-01 00:05:00 MST,+24.7999,+0
2020-01-01 00:10:00 MST,+26.0999,+0
2020-01-01 00:15:00 MST,+25.1999,+0
2020-01-01 00:20:00 MST,+24.8999,+0
2020-01-01 00:25:00 MST,+25.1999,+0
2020-01-01 00:30:00 MST,+25.5999,+0
2020-01-01 00:35:00 MST,+24.7999,+0
2020-01-01 00:40:00 MST,+24.9999,+0
2020-01-01 00:45:00 MST,+24.7999,+0
2020-01-01 00:50:00 MST,+25.0999,+0
2020-01-01 00:55:00 MST,+23.7999,+0
2020-01-01 01:05:00 MST,+28.6999,+0
2020-01-01 01:10:00 MST,+28.3999,+0
2020-01-01 01:15:00 MST,+26.0999,+0
2020-01-01 01:20:00 MST,+25.8999,+0
2020-01-01 01:25:00 MST,+26.0999,+0
2020-01-01 01:35:00 MST,+25.9999,+0
2020-01-01 01:40:00 MST,+24.9999,+0
2020-01-01 02:00:00 MST,+25.2999,+0
2020-01-01 02:05:00 MST,+25.4999,+0
2020-01-01 02:10:00 MST,+25.6999,+0
2020-01-01 02:20:00 MST,+25.4999,+0
2020-01-01 02:25:00 MST,+28.5999,+0
2020-01-01 02:30:00 MST,+27.5999,+0
2020-01-01 02:35:00 MST,+25.9999,+0
2020-01-01 02:55:00 MST,+26.2999,+0
2020-01-01 03:00:00 MST,+25.9999,+0
2020-01-01 03:05:00 MST,+26.8999,+0
2020-01-01 03:10:00 MST,+27.0999,+0
2020-01-01 03:15:00 MST,+27.5999,+0
2020-01-01 03:25:00 MST,+27.9999,+0
2020-01-01 03:35:00 MST,+27.7999,+0
2020-01-01 03:40:00 MST,+27.6999,+0
2020-01-01 03:45:00 MST,+25.6999,+0
2020-01-01 03:50:00 MST,+25.7999,+0
2020-01-01 04:05:00 MST,+25.6999,+0
2020-01-01 04:15:00 MST,+23.5999,+0
2020-01-01 04:20:00 MST,+24.0999,+0
2020-01-01 04:25:00 MST,+25.6999,+0
2020-01-01 04:40:00 MST,+25.5999,+0
2020-01-01 04:45:00 MST,+25.3999,+0
2020-01-01 04:50:00 MST,+24.8999,+0
2020-01-01 05:05:00 MST,+25.6999,+0
2020-01-01 05:10:00 MST,+26.8999,+0
2020-01-01 05:15:00 MST,+33.4999,+0
2020-01-01 05:25:00 MST,+33.8999,+0
2020-01-01 05:30:00 MST,+31.8999,+0
2020-01-01 05:35:00 MST,+27.4999,+0
2020-01-01 05:40:00 MST,+26.2999,+0
2020-01-01 05:45:00 MST,+27.7999,+0
2020-01-01 05:50:00 MST,+28.5999,+0
2020-01-01 05:55:00 MST,+29.1999,+0
2020-01-01 06:00:00 MST,+28.7999,+0
2020-01-01 06:05:00 MST,+25.6999,+0
2020-01-01 06:10:00 MST,+25.5999,+0
2020-01-01 06:15:00 MST,+23.7999,+0
2020-01-01 06:20:00 MST,+25.3999,+0
2020-01-01 06:25:00 MST,+25.6999,+0
2020-01-01 06:30:00 MST,+26.0999,+0
2020-01-01 06:35:00 MST,+25.9999,+0
2020-01-01 06:40:00 MST,+30.4999,+0
2020-01-01 06:45:00 MST,+29.3999,+0
2020-01-01 06:50:00 MST,+32.5999,+0
2020-01-01 06:55:00 MST,+31.9999,+0
2020-01-01 07:00:00 MST,+34.6999,+0
2020-01-01 07:05:00 MST,+34.4999,+0
2020-01-01 07:10:00 MST,+34.3999,+0
2020-01-01 07:20:00 MST,+28.8999,+0
2020-01-01 07:25:00 MST,+33.5999,+0
2020-01-01 07:30:00 MST,+33.7999,+0
2020-01-01 07:35:00 MST,+30.4999,+0
2020-01-01 07:40:00 MST,+28.3999,+0
2020-01-01 07:45:00 MST,+29.1999,+0
2020-01-01 07:50:00 MST,+25.0999,+0
2020-01-01 07:55:00 MST,+18.3999,+0
2020-01-01 08:00:00 MST,+17.5999,+0
2020-01-01 08:05:00 MST,+19.2999,+0
2020-01-01 08:10:00 MST,+19.9999,+0
2020-01-01 08:15:00 MST,+18.9999,+0
2020-01-01 08:20:00 MST,+19.7999,+0
2020-01-01 08:25:00 MST,+17.3999,+0
2020-01-01 08:30:00 MST,+11.7999,+0
2020-01-01 08:35:00 MST,+16.0999,+0
2020-01-01 08:40:00 MST,+16.3999,+0
2020-01-01 08:45:00 MST,+16.4999,+0
2020-01-01 08:50:00 MST,+13.2999,+0
2020-01-01 08:55:00 MST,-0.0001,+0
2020-01-01 09:05:00 MST,+9.8999,+0
2020-01-01 09:10:00 MST,+10.0999,+0
2020-01-01 09:15:00 MST,+13.2999,+0
2020-01-01 09:20:00 MST,+13.4999,+0
2020-01-01 09:25:00 MST,+12.7999,+0
2020-01-01 09:30:00 MST,-0.0001,+0
2020-01-01 10:50:00 MST,-10.4001,+0
2020-01-01 11:00:00 MST,-0.0001,+0
2020-01-01 11:15:00 MST,-2.3001,+0
2020-01-01 11:20:00 MST,-10.1001,+0
2020-01-01 11:30:00 MST,-10.0001,+0
2020-01-01 11:35:00 MST,-0.0001,+0
2020-01-01 12:25:00 MST,-10.3001,+0
2020-01-01 12:40:00 MST,-12.1001,+0
2020-01-01 12:50:00 MST,-12.8001,+0
2020-01-01 12:55:00 MST,-13.0001,+0
2020-01-01 13:00:00 MST,-12.5001,+0
2020-01-01 13:05:00 MST,-11.7001,+0
2020-01-01 13:10:00 MST,-10.3001,+0
2020-01-01 13:15:00 MST,-10.4001,+0
2020-01-01 13:20:00 MST,-10.5001,+0
2020-01-01 13:25:00 MST,-10.3001,+0
2020-01-01 13:30:00 MST,-8.3001,+0
2020-01-01 13:35:00 MST,-1.2001,+0
2020-01-01 13:45:00 MST,-10.0001,+0
2020-01-01 13:50:00 MST,-7.4001,+0
2020-01-01 13:55:00 MST,-0.0001,+0
2020-01-01 15:20:00 MST,-10.2001,+0
2020-01-01 15:25:00 MST,-0.0001,+0
2020-01-01 15:30:00 MST,+13.3999,+0
2020-01-01 15:35:00 MST,+16.7999,+0
2020-01-01 15:40:00 MST,+14.8999,+0
2020-01-01 15:45:00 MST,+18.1999,+0
2020-01-01 15:50:00 MST,+22.6999,+0
2020-01-01 15:55:00 MST,+23.7999,+0
2020-01-01 16:05:00 MST,+17.1999,+0
2020-01-01 16:10:00 MST,+14.6999,+0
2020-01-01 16:20:00 MST,+14.4999,+0
2020-01-01 16:25:00 MST,+17.6999,+0
2020-01-01 16:30:00 MST,+19.1999,+0
2020-01-01 16:35:00 MST,+22.0999,+0
2020-01-01 16:40:00 MST,+24.0999,+0
2020-01-01 16:45:00 MST,+25.8999,+0
