,house_name,appliance_name,k,T_min,T_max,P_heat,P_cool,heating_setpoint,cooling_setpoint,air_temperature,active,bid_p,system_mode,bid_q
1,house_1,HVAC_e_1,2.17633,60.0,72.0,4.772,2.21116,65.0,76.0,70.5044,0,17.577911826336283,COOL,2.21116
2,house_2,HVAC_e_2,2.10229,60.0,72.0,3.97666,1.84263,65.0,76.0,64.8774,0,0.0,OFF,0.0
3,house_3,HVAC_e_3,3.84613,60.0,72.0,4.772,2.21116,65.0,76.0,72.6439,0,100.0,COOL,2.21116
4,house_4,HVAC_e_4,2.12439,60.0,72.0,4.772,2.21116,65.0,76.0,70.0415,0,17.16259498283673,COOL,2.21116
5,house_5,HVAC_e_5,2.66974,60.0,72.0,4.772,2.21116,65.0,76.0,67.0991,0,0.0,OFF,0.0
6,house_6,HVAC_e_6,3.02136,60.0,72.0,4.772,2.21116,65.0,76.0,74.8619,0,100.0,COOL,2.21116
