,clearing_price,clearing_quantity,unresponsive_loads,slack_t-1
2016-07-01 00:00:00,19.35,85.844,0.0,0.0
2016-07-01 00:05:00,19.35,29.502,-54.131299999999996,22.8687
2016-07-01 00:10:00,19.35,29.442,-54.1913,22.8087
2016-07-01 00:15:00,19.35,29.442,-54.1913,22.8087
2016-07-01 00:20:00,19.35,17.929,-54.1913,22.8087
2016-07-01 00:25:00,19.35,16.533,-44.889300000000006,22.8087
2016-07-01 00:30:00,19.35,19.404,-37.196,19.804
2016-07-01 00:35:00,19.35,19.048,-32.373999999999995,19.804
2016-07-01 00:40:00,19.35,21.22,-30.201700000000002,16.798299999999998
2016-07-01 00:45:00,19.35,21.22,-30.201700000000002,16.798299999999998
2016-07-01 00:50:00,19.35,21.192,-30.201700000000002,16.798299999999998
2016-07-01 00:55:00,19.35,-9.139,-30.173299999999998,16.798299999999998
