transformer_interval_id,transformer_id,import_capacity,export_capacity,q,unresp_load,start_time,end_time
1,1,951.701,475.851,0,0,2021-09-22 00:00:00,2021-09-22 00:05:00
2,1,984.151,492.075,4.015,4.015,2021-09-22 00:05:00,2021-09-22 00:10:00
3,1,919.672,459.836,3.912,3.912,2021-09-22 00:10:00,2021-09-22 00:15:00
4,1,928.804,464.402,3.912,3.912,2021-09-22 00:15:00,2021-09-22 00:20:00
5,1,1090.37,545.186,3.912,3.912,2021-09-22 00:20:00,2021-09-22 00:25:00
6,1,926.243,463.122,3.912,3.912,2021-09-22 00:25:00,2021-09-22 00:30:00
7,1,1051.08,525.541,3.912,3.912,2021-09-22 00:30:00,2021-09-22 00:35:00
8,1,1068.8,534.4,3.912,3.912,2021-09-22 00:35:00,2021-09-22 00:40:00
9,1,1069.16,534.579,3.912,3.912,2021-09-22 00:40:00,2021-09-22 00:45:00
10,1,1075.39,537.693,3.912,3.912,2021-09-22 00:45:00,2021-09-22 00:50:00
11,1,987.518,493.759,3.912,3.912,2021-09-22 00:50:00,2021-09-22 00:55:00
12,1,1086.74,543.369,3.912,3.912,2021-09-22 00:55:00,2021-09-22 01:00:00
13,1,1009.96,504.98,3.912,3.912,2021-09-22 01:00:00,2021-09-22 01:05:00
14,1,1022.11,511.057,3.715,3.715,2021-09-22 01:05:00,2021-09-22 01:10:00
15,1,977.954,488.977,3.715,3.715,2021-09-22 01:10:00,2021-09-22 01:15:00
16,1,995.101,497.551,3.715,3.715,2021-09-22 01:15:00,2021-09-22 01:20:00
17,1,909.379,454.689,3.715,3.715,2021-09-22 01:20:00,2021-09-22 01:25:00
18,1,936.965,468.483,3.715,3.715,2021-09-22 01:25:00,2021-09-22 01:30:00
19,1,1002.07,501.036,3.715,3.715,2021-09-22 01:30:00,2021-09-22 01:35:00
20,1,1080.1,540.048,3.715,3.715,2021-09-22 01:35:00,2021-09-22 01:40:00
21,1,979.212,489.606,3.715,3.715,2021-09-22 01:40:00,2021-09-22 01:45:00
22,1,941.581,470.791,3.715,3.715,2021-09-22 01:45:00,2021-09-22 01:50:00
23,1,1013.58,506.789,3.715,3.715,2021-09-22 01:50:00,2021-09-22 01:55:00
24,1,956.191,478.096,3.715,3.715,2021-09-22 01:55:00,2021-09-22 02:00:00
25,1,949.675,474.837,3.715,3.715,2021-09-22 02:00:00,2021-09-22 02:05:00
26,1,984.067,492.034,3.602,3.602,2021-09-22 02:05:00,2021-09-22 02:10:00
27,1,1058.3,529.15,3.602,3.602,2021-09-22 02:10:00,2021-09-22 02:15:00
28,1,948.989,474.494,3.602,3.602,2021-09-22 02:15:00,2021-09-22 02:20:00
29,1,1046.02,523.011,3.602,3.602,2021-09-22 02:20:00,2021-09-22 02:25:00
30,1,990.45,495.225,3.602,3.602,2021-09-22 02:25:00,2021-09-22 02:30:00
31,1,954.554,477.277,3.602,3.602,2021-09-22 02:30:00,2021-09-22 02:35:00
32,1,926.343,463.172,3.602,3.602,2021-09-22 02:35:00,2021-09-22 02:40:00
33,1,1014.6,507.298,3.602,3.602,2021-09-22 02:40:00,2021-09-22 02:45:00
34,1,1099.95,549.976,3.602,3.602,2021-09-22 02:45:00,2021-09-22 02:50:00
35,1,916.893,458.446,3.602,3.602,2021-09-22 02:50:00,2021-09-22 02:55:00
36,1,920.902,460.451,3.602,3.602,2021-09-22 02:55:00,2021-09-22 03:00:00
37,1,911.574,455.787,3.602,3.602,2021-09-22 03:00:00,2021-09-22 03:05:00
38,1,1036.34,518.168,3.578,3.578,2021-09-22 03:05:00,2021-09-22 03:10:00
39,1,1048.67,524.334,3.578,3.578,2021-09-22 03:10:00,2021-09-22 03:15:00
40,1,959.581,479.79,3.578,3.578,2021-09-22 03:15:00,2021-09-22 03:20:00
41,1,1002.62,501.31,3.578,3.578,2021-09-22 03:20:00,2021-09-22 03:25:00
