,q_bid,p_bid,comment,bid_id,start_time,end_time,updated_at,created_at,market_id,is_supply
0,536.24,0.772777,export,1,2021-09-22T09:00:00,2021-09-22T09:05:00,2021-09-24T12:09:02,2021-09-24T12:09:02,1,False
1,1072.48,0.782777,import,2,2021-09-22T09:00:00,2021-09-22T09:05:00,2021-09-24T12:09:02,2021-09-24T12:09:02,1,True
2,0.0,100.0,unresp_load,3,2021-09-22T09:00:00,2021-09-22T09:05:00,2021-09-24T12:09:02,2021-09-24T12:09:02,1,False
3,496.21,0.342979,export,4,2021-09-22T09:05:00,2021-09-22T09:10:00,2021-09-24T12:09:08,2021-09-24T12:09:08,1,False
4,992.42,0.352979,import,5,2021-09-22T09:05:00,2021-09-22T09:10:00,2021-09-24T12:09:08,2021-09-24T12:09:08,1,True
5,2.489,100.0,unresp_load,6,2021-09-22T09:05:00,2021-09-22T09:10:00,2021-09-24T12:09:08,2021-09-24T12:09:08,1,False
6,451.738,0.140422,export,7,2021-09-22T09:10:00,2021-09-22T09:15:00,2021-09-24T12:09:14,2021-09-24T12:09:14,1,False
7,903.476,0.150422,import,8,2021-09-22T09:10:00,2021-09-22T09:15:00,2021-09-24T12:09:14,2021-09-24T12:09:14,1,True
8,4.3331,100.0,unresp_load,9,2021-09-22T09:10:00,2021-09-22T09:15:00,2021-09-24T12:09:14,2021-09-24T12:09:14,1,False
9,464.23,0.604672,export,10,2021-09-22T09:15:00,2021-09-22T09:20:00,2021-09-24T12:09:20,2021-09-24T12:09:20,1,False
10,928.459,0.614672,import,11,2021-09-22T09:15:00,2021-09-22T09:20:00,2021-09-24T12:09:20,2021-09-24T12:09:20,1,True
11,4.34442,100.0,unresp_load,12,2021-09-22T09:15:00,2021-09-22T09:20:00,2021-09-24T12:09:20,2021-09-24T12:09:20,1,False
12,543.65,0.926007,export,13,2021-09-22T09:20:00,2021-09-22T09:25:00,2021-09-24T12:09:26,2021-09-24T12:09:26,1,False
13,1087.3,0.936007,import,14,2021-09-22T09:20:00,2021-09-22T09:25:00,2021-09-24T12:09:26,2021-09-24T12:09:26,1,True
14,4.35487,100.0,unresp_load,15,2021-09-22T09:20:00,2021-09-22T09:25:00,2021-09-24T12:09:26,2021-09-24T12:09:26,1,False
15,468.609,0.337113,export,16,2021-09-22T09:25:00,2021-09-22T09:30:00,2021-09-24T12:09:32,2021-09-24T12:09:32,1,False
16,937.218,0.347113,import,17,2021-09-22T09:25:00,2021-09-22T09:30:00,2021-09-24T12:09:32,2021-09-24T12:09:32,1,True
17,4.3652,100.0,unresp_load,18,2021-09-22T09:25:00,2021-09-22T09:30:00,2021-09-24T12:09:32,2021-09-24T12:09:32,1,False
18,541.68,0.353631,export,19,2021-09-22T09:30:00,2021-09-22T09:35:00,2021-09-24T12:09:37,2021-09-24T12:09:37,1,False
19,1083.36,0.363631,import,20,2021-09-22T09:30:00,2021-09-22T09:35:00,2021-09-24T12:09:37,2021-09-24T12:09:37,1,True
20,4.3752,100.0,unresp_load,21,2021-09-22T09:30:00,2021-09-22T09:35:00,2021-09-24T12:09:38,2021-09-24T12:09:38,1,False
21,493.921,0.0269924,export,22,2021-09-22T09:35:00,2021-09-22T09:40:00,2021-09-24T12:09:43,2021-09-24T12:09:43,1,False
22,987.842,0.0369924,import,23,2021-09-22T09:35:00,2021-09-22T09:40:00,2021-09-24T12:09:43,2021-09-24T12:09:43,1,True
23,4.38565,100.0,unresp_load,24,2021-09-22T09:35:00,2021-09-22T09:40:00,2021-09-24T12:09:43,2021-09-24T12:09:43,1,False
24,477.555,0.950669,export,25,2021-09-22T09:40:00,2021-09-22T09:45:00,2021-09-24T12:09:49,2021-09-24T12:09:49,1,False
25,955.111,0.960669,import,26,2021-09-22T09:40:00,2021-09-22T09:45:00,2021-09-24T12:09:49,2021-09-24T12:09:49,1,True
26,4.39536,100.0,unresp_load,27,2021-09-22T09:40:00,2021-09-22T09:45:00,2021-09-24T12:09:49,2021-09-24T12:09:49,1,False
27,517.776,0.0253108,export,28,2021-09-22T09:45:00,2021-09-22T09:50:00,2021-09-24T12:09:55,2021-09-24T12:09:55,1,False
28,1035.55,0.0353108,import,29,2021-09-22T09:45:00,2021-09-22T09:50:00,2021-09-24T12:09:55,2021-09-24T12:09:55,1,True
29,7.06013,100.0,unresp_load,30,2021-09-22T09:45:00,2021-09-22T09:50:00,2021-09-24T12:09:55,2021-09-24T12:09:55,1,False
30,458.134,0.397964,export,31,2021-09-22T09:50:00,2021-09-22T09:55:00,2021-09-24T12:10:01,2021-09-24T12:10:01,1,False
31,916.269,0.407964,import,32,2021-09-22T09:50:00,2021-09-22T09:55:00,2021-09-24T12:10:01,2021-09-24T12:10:01,1,True
32,4.41501,100.0,unresp_load,33,2021-09-22T09:50:00,2021-09-22T09:55:00,2021-09-24T12:10:01,2021-09-24T12:10:01,1,False
33,468.552,0.959606,export,34,2021-09-22T09:55:00,2021-09-22T10:00:00,2021-09-24T12:10:07,2021-09-24T12:10:07,1,False
34,937.104,0.969606,import,35,2021-09-22T09:55:00,2021-09-22T10:00:00,2021-09-24T12:10:07,2021-09-24T12:10:07,1,True
35,4.42426,100.0,unresp_load,36,2021-09-22T09:55:00,2021-09-22T10:00:00,2021-09-24T12:10:07,2021-09-24T12:10:07,1,False
36,456.029,0.255934,export,37,2021-09-22T10:00:00,2021-09-22T10:05:00,2021-09-24T12:10:12,2021-09-24T12:10:12,1,False
37,912.058,0.265934,import,38,2021-09-22T10:00:00,2021-09-22T10:05:00,2021-09-24T12:10:12,2021-09-24T12:10:12,1,True
38,7.06405,100.0,unresp_load,39,2021-09-22T10:00:00,2021-09-22T10:05:00,2021-09-24T12:10:13,2021-09-24T12:10:13,1,False
39,474.778,-0.0053913,export,40,2021-09-22T10:05:00,2021-09-22T10:10:00,2021-09-24T12:10:18,2021-09-24T12:10:18,1,False
40,949.555,0.0046087,import,41,2021-09-22T10:05:00,2021-09-22T10:10:00,2021-09-24T12:10:18,2021-09-24T12:10:18,1,True
41,4.48837,100.0,unresp_load,42,2021-09-22T10:05:00,2021-09-22T10:10:00,2021-09-24T12:10:18,2021-09-24T12:10:18,1,False
42,493.773,0.235079,export,43,2021-09-22T10:10:00,2021-09-22T10:15:00,2021-09-24T12:10:24,2021-09-24T12:10:24,1,False
43,987.546,0.245079,import,44,2021-09-22T10:10:00,2021-09-22T10:15:00,2021-09-24T12:10:24,2021-09-24T12:10:24,1,True
44,4.49802,100.0,unresp_load,45,2021-09-22T10:10:00,2021-09-22T10:15:00,2021-09-24T12:10:24,2021-09-24T12:10:24,1,False
45,529.212,0.838766,export,46,2021-09-22T10:15:00,2021-09-22T10:20:00,2021-09-24T12:10:30,2021-09-24T12:10:30,1,False
46,1058.42,0.848766,import,47,2021-09-22T10:15:00,2021-09-22T10:20:00,2021-09-24T12:10:30,2021-09-24T12:10:30,1,True
47,4.49372,100.0,unresp_load,48,2021-09-22T10:15:00,2021-09-22T10:20:00,2021-09-24T12:10:30,2021-09-24T12:10:30,1,False
48,544.095,0.275021,export,49,2021-09-22T10:20:00,2021-09-22T10:25:00,2021-09-24T12:10:36,2021-09-24T12:10:36,1,False
49,1088.19,0.285021,import,50,2021-09-22T10:20:00,2021-09-22T10:25:00,2021-09-24T12:10:36,2021-09-24T12:10:36,1,True
50,7.1106,100.0,unresp_load,51,2021-09-22T10:20:00,2021-09-22T10:25:00,2021-09-24T12:10:36,2021-09-24T12:10:36,1,False
51,504.859,0.81577,export,52,2021-09-22T10:25:00,2021-09-22T10:30:00,2021-09-24T12:10:42,2021-09-24T12:10:42,1,False
52,1009.72,0.82577,import,53,2021-09-22T10:25:00,2021-09-22T10:30:00,2021-09-24T12:10:42,2021-09-24T12:10:42,1,True
53,4.48683,100.0,unresp_load,54,2021-09-22T10:25:00,2021-09-22T10:30:00,2021-09-24T12:10:42,2021-09-24T12:10:42,1,False
54,511.41,0.512081,export,55,2021-09-22T10:30:00,2021-09-22T10:35:00,2021-09-24T12:10:48,2021-09-24T12:10:48,1,False
55,1022.82,0.522081,import,56,2021-09-22T10:30:00,2021-09-22T10:35:00,2021-09-24T12:10:48,2021-09-24T12:10:48,1,True
56,4.39657,100.0,unresp_load,57,2021-09-22T10:30:00,2021-09-22T10:35:00,2021-09-24T12:10:48,2021-09-24T12:10:48,1,False
57,464.914,0.477214,export,58,2021-09-22T10:35:00,2021-09-22T10:40:00,2021-09-24T12:10:53,2021-09-24T12:10:53,1,False
58,929.828,0.487214,import,59,2021-09-22T10:35:00,2021-09-22T10:40:00,2021-09-24T12:10:53,2021-09-24T12:10:53,1,True
59,7.09481,100.0,unresp_load,60,2021-09-22T10:35:00,2021-09-22T10:40:00,2021-09-24T12:10:54,2021-09-24T12:10:54,1,False
60,543.836,0.543657,export,61,2021-09-22T10:40:00,2021-09-22T10:45:00,2021-09-24T12:10:59,2021-09-24T12:10:59,1,False
61,1087.67,0.553657,import,62,2021-09-22T10:40:00,2021-09-22T10:45:00,2021-09-24T12:10:59,2021-09-24T12:10:59,1,True
62,4.47741,100.0,unresp_load,63,2021-09-22T10:40:00,2021-09-22T10:45:00,2021-09-24T12:10:59,2021-09-24T12:10:59,1,False
63,488.141,0.455394,export,64,2021-09-22T10:45:00,2021-09-22T10:50:00,2021-09-24T12:11:05,2021-09-24T12:11:05,1,False
64,976.282,0.465394,import,65,2021-09-22T10:45:00,2021-09-22T10:50:00,2021-09-24T12:11:05,2021-09-24T12:11:05,1,True
