,q_bid,p_bid,meter_interval_id,rate_id,mode_dispatch,is_bid,qmtp,start_time,end_time,mode_market,e,meter_id
0,0.0,0.0,1,1,1.0,True,0.0,2021-09-22T09:00:00,2021-09-22T09:05:00,1.0,0.0,1
1,0.0,0.0,2,1,1.0,True,0.0,2021-09-22T09:00:00,2021-09-22T09:05:00,1.0,0.0,2
2,0.0,0.0,3,1,1.0,True,0.0,2021-09-22T09:00:00,2021-09-22T09:05:00,1.0,0.0,3
3,0.0,0.0,4,1,1.0,True,0.0,2021-09-22T09:00:00,2021-09-22T09:05:00,1.0,0.0,4
4,0.0,0.0,5,1,1.0,True,0.0,2021-09-22T09:00:00,2021-09-22T09:05:00,1.0,0.0,5
5,0.0,0.0,6,1,1.0,True,0.0,2021-09-22T09:00:00,2021-09-22T09:05:00,1.0,0.0,6
6,0.0,0.0,7,1,0.0,True,0.0,2021-09-24T03:09:05,2021-09-24T03:10:05,0.0,0.0,1
7,0.27643,0.0,8,1,1.0,True,0.27643,2021-09-22T09:05:00,2021-09-22T09:10:00,1.0,0.0230358,1
8,0.354098,0.0,9,1,1.0,True,0.354098,2021-09-22T09:05:00,2021-09-22T09:10:00,1.0,0.0295082,2
9,0.345611,0.0,10,1,1.0,True,0.345611,2021-09-22T09:05:00,2021-09-22T09:10:00,1.0,0.0288009,3
10,0.324509,0.0,11,1,1.0,True,0.324509,2021-09-22T09:05:00,2021-09-22T09:10:00,1.0,0.0270424,4
11,0.387438,0.0,12,1,1.0,True,0.387438,2021-09-22T09:05:00,2021-09-22T09:10:00,1.0,0.0322865,5
12,0.363011,0.0,13,1,1.0,True,0.363011,2021-09-22T09:05:00,2021-09-22T09:10:00,1.0,0.0302509,6
13,0.289951,0.0,14,1,1.0,True,0.289951,2021-09-22T09:10:00,2021-09-22T09:15:00,1.0,0.0241626,1
14,0.371418,0.0,15,1,1.0,True,0.371418,2021-09-22T09:10:00,2021-09-22T09:15:00,1.0,0.0309515,2
15,0.362516,0.0,16,1,1.0,True,0.362516,2021-09-22T09:10:00,2021-09-22T09:15:00,1.0,0.0302097,3
16,0.340382,0.0,17,1,1.0,True,0.340382,2021-09-22T09:10:00,2021-09-22T09:15:00,1.0,0.0283652,4
17,0.406389,0.0,18,1,1.0,True,0.406389,2021-09-22T09:10:00,2021-09-22T09:15:00,1.0,0.0338657,5
18,0.380767,0.0,19,1,1.0,True,0.380767,2021-09-22T09:10:00,2021-09-22T09:15:00,1.0,0.0317306,6
19,0.30268,0.0,20,1,1.0,True,0.30268,2021-09-22T09:15:00,2021-09-22T09:20:00,1.0,0.0252233,1
20,0.387723,0.0,21,1,1.0,True,0.387723,2021-09-22T09:15:00,2021-09-22T09:20:00,1.0,0.0323103,2
21,0.37843,0.0,22,1,1.0,True,0.37843,2021-09-22T09:15:00,2021-09-22T09:20:00,1.0,0.0315358,3
22,0.355324,0.0,23,1,1.0,True,0.355324,2021-09-22T09:15:00,2021-09-22T09:20:00,1.0,0.0296103,4
23,0.424229,0.0,24,1,1.0,True,0.424229,2021-09-22T09:15:00,2021-09-22T09:20:00,1.0,0.0353524,5
24,0.397482,0.0,25,1,1.0,True,0.397482,2021-09-22T09:15:00,2021-09-22T09:20:00,1.0,0.0331235,6
25,0.314584,0.0,26,1,1.0,True,0.314584,2021-09-22T09:20:00,2021-09-22T09:25:00,1.0,0.0262153,1
26,0.402972,0.0,27,1,1.0,True,0.402972,2021-09-22T09:20:00,2021-09-22T09:25:00,1.0,0.033581,2
27,0.393315,0.0,28,1,1.0,True,0.393315,2021-09-22T09:20:00,2021-09-22T09:25:00,1.0,0.0327763,3
28,0.369299,0.0,29,1,1.0,True,0.369299,2021-09-22T09:20:00,2021-09-22T09:25:00,1.0,0.0307749,4
29,0.440915,0.0,30,1,1.0,True,0.440915,2021-09-22T09:20:00,2021-09-22T09:25:00,1.0,0.0367429,5
30,0.413116,0.0,31,1,1.0,True,0.413116,2021-09-22T09:20:00,2021-09-22T09:25:00,1.0,0.0344263,6
31,0.325636,0.0,32,1,1.0,True,0.325636,2021-09-22T09:25:00,2021-09-22T09:30:00,1.0,0.0271363,1
32,0.417129,0.0,33,1,1.0,True,0.417129,2021-09-22T09:25:00,2021-09-22T09:30:00,1.0,0.0347608,2
33,0.407132,0.0,34,1,1.0,True,0.407132,2021-09-22T09:25:00,2021-09-22T09:30:00,1.0,0.0339277,3
34,0.382273,0.0,35,1,1.0,True,0.382273,2021-09-22T09:25:00,2021-09-22T09:30:00,1.0,0.0318561,4
35,0.456404,0.0,36,1,1.0,True,0.456404,2021-09-22T09:25:00,2021-09-22T09:30:00,1.0,0.0380337,5
36,0.427628,0.0,37,1,1.0,True,0.427628,2021-09-22T09:25:00,2021-09-22T09:30:00,1.0,0.0356357,6
37,0.335805,0.0,38,1,1.0,True,0.335805,2021-09-22T09:30:00,2021-09-22T09:35:00,1.0,0.0279837,1
38,0.430155,0.0,39,1,1.0,True,0.430155,2021-09-22T09:30:00,2021-09-22T09:35:00,1.0,0.0358462,2
39,0.419846,0.0,40,1,1.0,True,0.419846,2021-09-22T09:30:00,2021-09-22T09:35:00,1.0,0.0349872,3
40,0.394211,0.0,41,1,1.0,True,0.394211,2021-09-22T09:30:00,2021-09-22T09:35:00,1.0,0.0328509,4
41,0.470656,0.0,42,1,1.0,True,0.470656,2021-09-22T09:30:00,2021-09-22T09:35:00,1.0,0.0392213,5
42,0.440982,0.0,43,1,1.0,True,0.440982,2021-09-22T09:30:00,2021-09-22T09:35:00,1.0,0.0367485,6
43,0.345064,0.0,44,1,1.0,True,0.345064,2021-09-22T09:35:00,2021-09-22T09:40:00,1.0,0.0287553,1
44,0.442016,0.0,45,1,1.0,True,0.442016,2021-09-22T09:35:00,2021-09-22T09:40:00,1.0,0.0368347,2
45,0.431423,0.0,46,1,1.0,True,0.431423,2021-09-22T09:35:00,2021-09-22T09:40:00,1.0,0.0359519,3
46,0.405081,0.0,47,1,1.0,True,0.405081,2021-09-22T09:35:00,2021-09-22T09:40:00,1.0,0.0337568,4
47,0.483634,0.0,48,1,1.0,True,0.483634,2021-09-22T09:35:00,2021-09-22T09:40:00,1.0,0.0403028,5
48,0.453142,0.0,49,1,1.0,True,0.453142,2021-09-22T09:35:00,2021-09-22T09:40:00,1.0,0.0377618,6
49,0.353389,0.0,50,1,1.0,True,0.353389,2021-09-22T09:40:00,2021-09-22T09:45:00,1.0,0.0294491,1
50,0.45268,0.0,51,1,1.0,True,0.45268,2021-09-22T09:40:00,2021-09-22T09:45:00,1.0,0.0377233,2
51,0.44183,0.0,52,1,1.0,True,0.44183,2021-09-22T09:40:00,2021-09-22T09:45:00,1.0,0.0368192,3
52,0.414853,0.0,53,1,1.0,True,0.414853,2021-09-22T09:40:00,2021-09-22T09:45:00,1.0,0.0345711,4
53,0.495302,0.0,54,1,1.0,True,0.495302,2021-09-22T09:40:00,2021-09-22T09:45:00,1.0,0.0412752,5
54,0.464074,0.0,55,1,1.0,True,0.464074,2021-09-22T09:40:00,2021-09-22T09:45:00,1.0,0.0386728,6
55,0.360786,0.0,56,1,1.0,True,0.360786,2021-09-22T09:45:00,2021-09-22T09:50:00,1.0,0.0300655,1
56,0.462155,0.0,57,1,1.0,True,0.462155,2021-09-22T09:45:00,2021-09-22T09:50:00,1.0,0.0385129,2
57,0.451079,0.0,58,1,1.0,True,0.451079,2021-09-22T09:45:00,2021-09-22T09:50:00,1.0,0.0375899,3
58,0.423537,0.0,59,1,1.0,True,0.423537,2021-09-22T09:45:00,2021-09-22T09:50:00,1.0,0.0352947,4
59,0.505669,0.0,60,1,1.0,True,0.505669,2021-09-22T09:45:00,2021-09-22T09:50:00,1.0,0.0421391,5
60,0.473788,0.0,61,1,1.0,True,0.473788,2021-09-22T09:45:00,2021-09-22T09:50:00,1.0,0.0394823,6
