clock,deviation
1601881288,0.002429
1601881289,0.004064
1601881290,0.005834
1601881291,0.005775
1601881292,0.005151
1601881293,0.002953
1601881294,0.001993
1601881295,0.005689
1601881296,0.003072
1601881297,0.000568
1601881298,0.00077
1601881299,0.002731
1601881300,0.002161
1601881301,0.000443
1601881302,0.000497
1601881303,0.000943
1601881304,0.000493
1601881305,0.001447
1601881306,-0.020435
1601881307,-0.997427
1601881308,-0.999342
1601881309,-0.996572
1601881310,-0.99751
1601881311,-0.999585
1601881312,-0.999552
1601881313,-0.995641
1601881314,-0.997003
1601881315,-0.997753
1601881316,-0.999417
1601881317,-0.998683
1601881318,-0.994777
1601881319,-0.995986
1601881320,-0.995694
1601881321,-0.995984
1601881322,-0.994933
1601881323,-0.998137
1601881324,-0.996305
1601881325,-0.994403
1601881326,-0.994445
1601881327,-0.997669
1601881328,-0.998956
1601881329,-0.99829
1601881330,-0.998225
1601881331,-0.999731
1601881332,-0.997944
1601881333,-0.998043
1601881334,-0.996615
1601881335,-0.996732
1601881336,-0.995633
1601881337,-1.017588
1601881338,-1.998518
1601881339,-1.995709
1601881340,-1.999543
1601881341,-1.998366
1601881342,-1.998578
1601881343,-1.999659
1601881344,-1.997929
1601881345,-1.997436
1601881346,-1.998191
1601881347,-1.999297
1601881348,-1.998419
1601881349,-1.994427
1601881350,-1.999364
1601881351,-1.999408
1601881352,-1.998302
1601881353,-1.999224
1601881354,-1.999338
1601881355,-1.993831
1601881356,-1.994721
1601881357,-1.998414
1601881358,-1.998727
1601881359,-1.994793
1601881360,-1.998554
1601881361,-1.997927
1601881362,-1.998173
1601881363,-1.998467
1601881364,-1.998533
1601881365,-1.995658
1601881366,-1.997656
1601881367,-1.994378
1601881368,-2.021397
1601881369,-2.997872
1601881370,-2.997298
1601881371,-2.999566
1601881372,-2.996467
1601881373,-2.999634
1601881374,-2.99527
1601881375,-2.995547
1601881376,-2.997305
1601881377,-2.995545
1601881378,-2.997151
1601881379,-2.998457
1601881380,-2.999355
1601881381,-2.99922
1601881382,-2.998252
1601881383,-2.995559
1601881384,-2.995014
1601881385,-2.999408
1601881386,-2.999677
1601881387,-2.999113
1601881388,-2.996526
1601881389,-2.999586
1601881390,-2.999471
1601881391,-2.997459
1601881392,-2.997583
1601881393,-2.998083
1601881394,-2.998506
1601881395,-2.999438
1601881396,-2.993697
1601881397,-2.998393
1601881398,-2.997009
1601881399,-3.020925
1601881400,-3.996033
1601881401,-3.999401
1601881402,-3.998505
1601881403,-3.99948
1601881404,-3.998945
1601881405,-3.999372
1601881406,-3.999476
1601881407,-3.999037
1601881408,-3.99913
1601881409,-3.994487
1601881410,-3.993697
1601881411,-3.997918
1601881412,-3.997706
1601881413,-3.99537
1601881414,-3.995702
1601881415,-3.996527
1601881416,-3.999633
1601881417,-3.999237
1601881418,-3.998901
1601881419,-3.999516
1601881420,-3.999193
1601881421,-3.994498
1601881422,-3.996749
1601881423,-3.99899
1601881424,-3.998903
1601881425,-3.995761
1601881426,-3.998819
1601881427,-3.994265
1601881428,-3.998688
1601881429,-3.999151
1601881430,-4.020068
1601881431,-4.996791
1601881432,-4.997072
1601881433,-4.997893
1601881434,-4.998887
1601881435,-4.999029
1601881436,-4.999607
1601881437,-4.997193
1601881438,-4.99829
1601881439,-4.99438
1601881440,-4.994366
1601881441,-4.994739
1601881442,-4.999263
1601881443,-4.998593
1601881444,-4.996217
1601881445,-4.995057
1601881446,-4.997178
1601881447,-4.996302
1601881448,-4.9988
1601881449,-4.998724
1601881450,-4.998813
1601881451,-4.999093
1601881452,-4.995929
1601881453,-4.998933
1601881454,-4.996837
1601881455,-4.994365
1601881456,-4.994312
1601881457,-4.995328
1601881458,-4.999072
1601881459,-4.999501
1601881460,-4.994324
1601881461,-5.020998
1601881462,-5.998882
1601881463,-5.998138
1601881464,-5.999397
1601881465,-5.998882
1601881466,-5.999391
1601881467,-5.996575
1601881468,-5.997238
1601881469,-5.999559
1601881470,-5.999189
1601881471,-5.995428
1601881472,-5.999578
1601881473,-5.996724
1601881474,-5.999328
1601881475,-5.997102
1601881476,-5.999674
1601881477,-5.999229
1601881478,-5.999404
1601881479,-5.996288
1601881480,-5.999741
1601881481,-5.995234
1601881482,-5.997288
1601881483,-5.998874
1601881484,-5.997554
1601881485,-5.999694
1601881486,-5.996162
1601881487,-5.999719
1601881488,-5.9979
1601881489,-5.999681
1601881490,-5.998652
1601881491,-5.998652
1601881492,-6.016423
1601881493,-6.996596
1601881494,-6.996555
1601881495,-6.994473
1601881496,-6.998398
1601881497,-6.995942
1601881498,-6.999329
1601881499,-6.996483
1601881500,-6.999362
1601881501,-6.999436
1601881502,-6.994432
1601881503,-6.995776
1601881504,-6.997275
1601881505,-6.999166
1601881506,-6.994396
1601881507,-6.996299
1601881508,-6.997864
1601881509,-6.996573
1601881510,-6.998023
1601881511,-6.999071
1601881512,-6.999483
1601881513,-6.998978
1601881514,-6.997744
1601881515,-6.998799
1601881516,-6.996566
1601881517,-6.99633
1601881518,-6.999572
1601881519,-6.999613
1601881520,-6.999516
1601881521,-6.998969
1601881522,-6.999281
1601881523,-7.01639
1601881524,-7.999407
1601881525,-7.999221
1601881526,-7.994786
1601881527,-7.999333
1601881528,-7.997873
1601881529,-7.994397
1601881530,-7.994377
1601881531,-7.998977
1601881532,-7.997988
1601881533,-7.998521
1601881534,-7.994432
1601881535,-7.994347
1601881536,-7.999551
1601881537,-7.994629
1601881538,-7.999382
1601881539,-7.999157
1601881540,-7.998772
1601881541,-7.997004
1601881542,-7.99584
1601881543,-7.997993
1601881544,-7.998553
1601881545,-7.994353
1601881546,-7.999423
1601881547,-7.996569
1601881548,-7.999223
1601881549,-7.99876
1601881550,-7.994686
1601881551,-7.996681
1601881552,-7.994355
1601881553,-7.99439
1601881554,-8.018843
1601881555,-8.997913
1601881556,-8.994419
1601881557,-8.99797
1601881558,-8.998123
1601881559,-8.99537
1601881560,-8.999493
1601881561,-8.997734
1601881562,-8.994873
1601881563,-8.996856
1601881564,-8.994835
1601881565,-8.997758
1601881566,-8.994348
1601881567,-8.999028
1601881568,-8.998264
1601881569,-8.998368
1601881570,-8.998774
1601881571,-8.99721
1601881572,-8.999381
1601881573,-8.994253
1601881574,-8.998921
1601881575,-8.99926
1601881576,-8.997818
1601881577,-8.997061
1601881578,-8.999535
1601881579,-8.999441
1601881580,-8.999403
1601881581,-8.99877
1601881582,-8.996092
1601881583,-8.996737
1601881584,-8.99774
1601881585,-9.020879
1601881586,-9.996824
1601881587,-9.999577
1601881588,-9.997444
1601881589,-9.999695
1601881590,-9.996411
1601881591,-9.997764
1601881592,-9.995557
1601881593,-9.994582
1601881594,-9.998924
1601881595,-9.999655
1601881596,-9.998034
1601881597,-9.996934
1601881598,-9.99441
1601881599,-9.997393
1601881600,-9.997713
1601881601,-9.994914
1601881602,-9.995404
1601881603,-9.995204
1601881604,-9.99637
1601881605,-9.791861
1601881606,-9.996237
1601881607,-9.999444
1601881608,-9.998447
1601881609,-9.999585
1601881610,-9.997274
1601881611,-9.994768
1601881612,-9.996014
1601881613,-9.99965
1601881614,-9.997713
1601881615,-9.999417
1601881616,-10.020901
1601881617,-10.999699
1601881618,-10.997889
1601881619,-10.99922
1601881620,-10.994192
1601881621,-10.998277
1601881622,-10.994393
1601881623,-10.998313
1601881624,-10.994171
1601881625,-10.999653
1601881626,-10.999309
1601881627,-10.997339
1601881628,-10.999345
1601881629,-10.997998
1601881630,-10.994354
1601881631,-10.997303
1601881632,-10.998969
1601881633,-10.998695
1601881634,-10.999355
1601881635,-10.997002
1601881636,-10.999609
1601881637,-10.999476
1601881638,-10.999618
1601881639,-10.99942
1601881640,-10.998256
1601881641,-10.999644
1601881642,-10.997329
1601881643,-10.998089
1601881644,-10.999796
1601881645,-10.995441
1601881646,-10.999653
1601881647,-11.015927
1601881648,-11.998748
1601881649,-11.994477
1601881650,-11.999428
1601881651,-11.996781
1601881652,-11.997579
1601881653,-11.998814
1601881654,-11.995755
1601881655,-11.999631
1601881656,-11.998894
1601881657,-11.999338
1601881658,-11.999529
1601881659,-11.996936
1601881660,-11.99872
1601881661,-11.999559
1601881662,-11.999401
1601881663,-11.994449
1601881664,-11.999367
1601881665,-11.999111
1601881666,-11.999398
1601881667,-11.99444
1601881668,-11.997696
1601881669,-11.999522
1601881670,-11.998861
1601881671,-11.999375
1601881672,-11.994885
1601881673,-11.999471
1601881674,-11.995911
1601881675,-11.995894
1601881676,-11.998086
1601881677,-11.99867
1601881678,-12.020153
1601881679,-12.998253
1601881680,-12.994944
1601881681,-12.996337
1601881682,-12.996926
1601881683,-12.998612
1601881684,-12.998586
1601881685,-12.998839
1601881686,-12.999223
1601881687,-12.99825
1601881688,-12.997782
1601881689,-12.998632
1601881690,-12.994632
1601881691,-12.997112
1601881692,-12.994245
1601881693,-12.994284
1601881694,-12.994356
1601881695,-12.999374
1601881696,-12.998948
1601881697,-12.998741
1601881698,-12.998588
1601881699,-12.998167
1601881700,-12.999622
1601881701,-12.994182
1601881702,-12.995653
1601881703,-12.996583
1601881704,-12.994898
1601881705,-12.99858
1601881706,-12.99593
1601881707,-12.999426
1601881708,-12.994186
1601881709,-13.019362
1601881710,-13.999576
1601881711,-13.999243
1601881712,-13.994345
1601881713,-13.994371
1601881714,-13.997788
1601881715,-13.995776
1601881716,-13.997217
1601881717,-13.999095
1601881718,-13.99821
1601881719,-13.997605
1601881720,-13.994383
1601881721,-13.995819
1601881722,-13.998992
1601881723,-13.998515
1601881724,-13.995066
1601881725,-13.996332
1601881726,-13.99877
1601881727,-13.999297
1601881728,-13.995752
1601881729,-13.999579
1601881730,-13.998076
1601881731,-13.996733
1601881732,-13.9943
1601881733,-13.994376
1601881734,-13.998539
1601881735,-13.999077
1601881736,-13.994736
1601881737,-13.994833
1601881738,-13.999438
1601881739,-13.994418
1601881740,-14.015895
1601881741,-14.996826
1601881742,-14.995072
1601881743,-14.996
1601881744,-14.99771
1601881745,-14.998759
1601881746,-14.995183
1601881747,-14.99622
1601881748,-14.999069
1601881749,-14.995743
1601881750,-14.998214
1601881751,-14.996708
1601881752,-14.997939
1601881753,-14.997791
1601881754,-14.995927
1601881755,-14.999029
1601881756,-14.999572
1601881757,-14.99873
1601881758,-14.996678
1601881759,-14.997555
1601881760,-14.998175
1601881761,-14.996638
1601881762,-14.99443
1601881763,-14.998228
1601881764,-14.994196
1601881765,-14.997758
1601881766,-14.995259
1601881767,-14.996138
1601881768,-14.994258
1601881769,-14.995511
1601881770,-14.996788
1601881771,-15.019988
1601881772,-15.997706
1601881773,-15.998089
1601881774,-15.997333
1601881775,-15.997594
1601881776,-15.999493
1601881777,-15.997267
1601881778,-15.997724
1601881779,-15.998093
1601881780,-15.999083
1601881781,-15.999015
1601881782,-15.997489
1601881783,-15.997911
1601881784,-15.998187
1601881785,-15.999368
1601881786,-15.997895
1601881787,-15.997716
1601881788,-15.999596
1601881789,-15.998721
1601881790,-15.997619
1601881791,-15.99741
1601881792,-15.997537
1601881793,-15.997655
1601881794,-15.99909
1601881795,-15.998569
1601881796,-15.998431
1601881797,-15.998031
1601881798,-15.997471
1601881799,-15.998294
1601881800,-15.997332
1601881801,-15.999334
1601881802,-16.019714
1601881803,-16.995671
1601881804,-16.989063
1601881805,-16.997013
1601881806,-16.993224
1601881807,-16.99057
1601881808,-16.998005
1601881809,-16.996759
1601881810,-16.999686
1601881811,-16.995092
1601881812,-16.991827
1601881813,-16.994619
1601881814,-16.999498
1601881815,-16.995911
1601881816,-16.998886
1601881817,-16.995392
1601881818,-16.994597
1601881819,-16.997998
1601881820,-16.998457
1601881821,-16.999093
1601881822,-16.99788
1601881823,-16.989201
1601881824,-16.994045
1601881825,-16.999202
1601881826,-16.993683
1601881827,-16.998822
1601881828,-16.993674
1601881829,-16.991261
1601881830,-16.992119
1601881831,-16.999477
1601881832,-16.999143
1601881833,-17.016598
1601881834,-17.996505
1601881835,-17.997092
1601881836,-17.990442
1601881837,-17.998389
1601881838,-17.995526
1601881839,-17.99823
1601881840,-17.999259
1601881841,-17.994955
1601881842,-17.994961
1601881843,-17.999055
1601881844,-17.99778
1601881845,-17.989464
1601881846,-17.996385
1601881847,-17.995111
1601881848,-17.997734
1601881849,-17.997535
1601881850,-17.994286
1601881851,-17.999567
1601881852,-17.999517
1601881853,-17.999674
1601881854,-17.997179
1601881855,-17.993293
1601881856,-17.992625
1601881857,-17.998943
1601881858,-17.99839
1601881859,-17.989365
1601881860,-17.99264
1601881861,-17.998081
1601881862,-17.992119
1601881863,-17.998706
1601881864,-18.017745
1601881865,-18.993602
1601881866,-18.991165
1601881867,-18.99398
1601881868,-18.998516
1601881869,-18.991444
1601881870,-18.996147
1601881871,-18.998259
1601881872,-18.998353
1601881873,-18.99716
1601881874,-18.992168
1601881875,-18.996165
1601881876,-18.999425
1601881877,-18.998514
1601881878,-18.99662
1601881879,-18.994524
1601881880,-18.989467
1601881881,-18.991774
1601881882,-18.998433
1601881883,-18.998413
1601881884,-18.999182
1601881885,-18.996724
1601881886,-18.997579
1601881887,-18.994066
1601881888,-18.997629
1601881889,-18.994155
1601881890,-18.998256
1601881891,-18.999527
1601881892,-18.993074
1601881893,-18.998514
1601881894,-18.998291
1601881895,-19.020662
1601881896,-19.998445
1601881897,-19.989476
1601881898,-19.994033
1601881899,-19.99968
1601881900,-19.993344
1601881901,-19.991562
1601881902,-19.991563
1601881903,-19.996607
1601881904,-19.997485
1601881905,-19.99165
1601881906,-19.991161
1601881907,-19.989445
1601881908,-19.998229
1601881909,-19.992511
1601881910,-19.997853
1601881911,-19.994583
1601881912,-19.9996
1601881913,-19.994249
1601881914,-19.99359
1601881915,-19.997366
1601881916,-19.996615
1601881917,-19.996323
1601881918,-19.989522
1601881919,-19.989426
1601881920,-19.995564
1601881921,-19.998552
1601881922,-19.997175
1601881923,-19.999301
1601881924,-19.998913
1601881925,-19.99619
1601881926,-20.015158
1601881927,-20.998295
1601881928,-20.996713
1601881929,-20.993566
1601881930,-20.995952
1601881931,-20.998413
1601881932,-20.995379
1601881933,-20.998674
1601881934,-20.998914
1601881935,-20.996972
1601881936,-20.99713
1601881937,-20.997169
1601881938,-20.997621
1601881939,-20.999706
1601881940,-20.998737
1601881941,-20.990432
1601881942,-20.996351
1601881943,-20.993294
1601881944,-20.998666
1601881945,-20.996289
1601881946,-20.997573
1601881947,-20.999719
1601881948,-20.998887
1601881949,-20.992542
1601881950,-20.995761
1601881951,-20.99588
1601881952,-20.998944
1601881953,-20.993944
1601881954,-20.997974
1601881955,-20.991483
1601881956,-20.998059
1601881957,-21.011506
1601881958,-21.994306
1601881959,-21.998916
1601881960,-21.998376
1601881961,-21.998836
1601881962,-21.994422
1601881963,-21.991352
1601881964,-21.994179
1601881965,-21.998077
1601881966,-21.992162
1601881967,-21.997154
1601881968,-21.996901
1601881969,-21.998597
1601881970,-21.99596
1601881971,-21.995226
1601881972,-21.993916
1601881973,-21.989395
1601881974,-21.99114
1601881975,-21.997432
1601881976,-21.994437
1601881977,-21.997352
1601881978,-21.997262
1601881979,-21.996339
1601881980,-21.99797
1601881981,-21.999326
1601881982,-21.99344
1601881983,-21.996468
1601881984,-21.996761
1601881985,-21.993741
1601881986,-21.997897
1601881987,-21.996075
1601881988,-22.017039
1601881989,-22.994618
1601881990,-22.992426
1601881991,-22.98933
1601881992,-22.999468
1601881993,-23.351432
