# file...... total_P_Out.csv
# date...... Mon Oct  5 07:52:32 2020
# user...... (null)
# host...... (null)
# group..... class=inverter
# property.. P_Out
# limit..... 0
# interval.. 1
# timestamp,PV_inverter_1,PV_inverter_2,PV_inverter_3,PV_inverter_4,PV_inverter_5,PV_inverter_6
2020-10-05 07:52:34 UTC,+163.422,+209.339,+204.322,+191.846,+229.049,+214.608
2020-10-05 07:52:35 UTC,+163.432,+209.351,+204.334,+191.857,+229.063,+214.621
2020-10-05 07:52:36 UTC,+163.441,+209.363,+204.345,+191.868,+229.076,+214.633
2020-10-05 07:52:37 UTC,+163.451,+209.375,+204.357,+191.88,+229.089,+214.646
2020-10-05 07:52:38 UTC,+163.46,+209.387,+204.369,+191.891,+229.102,+214.658
2020-10-05 07:52:39 UTC,+163.47,+209.4,+204.381,+191.902,+229.116,+214.67
2020-10-05 07:52:40 UTC,+163.479,+209.412,+204.393,+191.913,+229.129,+214.683
2020-10-05 07:52:41 UTC,+163.489,+209.424,+204.405,+191.924,+229.142,+214.695
2020-10-05 07:52:42 UTC,+163.498,+209.436,+204.417,+191.935,+229.156,+214.708
2020-10-05 07:52:43 UTC,+163.508,+209.448,+204.429,+191.946,+229.169,+214.72
2020-10-05 07:52:44 UTC,+163.517,+209.46,+204.44,+191.958,+229.182,+214.733
2020-10-05 07:52:45 UTC,+163.527,+209.473,+204.452,+191.969,+229.196,+214.745
2020-10-05 07:52:46 UTC,+163.536,+209.485,+204.464,+191.98,+229.209,+214.758
2020-10-05 07:52:47 UTC,+163.546,+209.497,+204.476,+191.991,+229.222,+214.77
2020-10-05 07:52:48 UTC,+163.555,+209.509,+204.488,+192.002,+229.235,+214.783
2020-10-05 07:52:49 UTC,+163.565,+209.521,+204.5,+192.013,+229.249,+214.795
2020-10-05 07:52:50 UTC,+163.574,+209.533,+204.512,+192.024,+229.262,+214.808
2020-10-05 07:52:51 UTC,+163.584,+209.545,+204.523,+192.036,+229.275,+214.82
2020-10-05 07:52:52 UTC,+163.593,+209.558,+204.535,+192.047,+229.289,+214.832
2020-10-05 07:52:53 UTC,+163.603,+209.57,+204.547,+192.058,+229.302,+214.845
2020-10-05 07:52:54 UTC,+163.612,+209.582,+204.559,+192.069,+229.315,+214.857
2020-10-05 07:52:55 UTC,+163.622,+209.594,+204.571,+192.08,+229.328,+214.87
2020-10-05 07:52:56 UTC,+163.631,+209.606,+204.583,+192.091,+229.342,+214.882
