clock,deviation
1602868705,0.00328
1602868706,0.000578
1602868707,0.000751
1602868708,0.001753
1602868709,0.001652
1602868710,0.004163
1602868711,-0.021257
1602868711,0.001815
1602868712,0.003751
1602868713,0.001692
1602868714,0.002112
1602868715,0.000712
1602868716,0.005941
1602868717,0.005414
1602868718,0.005773
1602868719,0.00141
1602868720,0.004669
1602868721,0.000528
1602868722,0.001469
1602868723,0.002212
1602868724,0.001972
1602868725,0.004424
1602868726,0.006414
1602868727,0.003161
1602868728,0.000873
1602868729,0.004643
1602868730,0.003794
1602868731,0.005506
1602868732,0.000856
1602868733,0.001082
1602868734,0.001246
1602868735,0.005053
1602868736,0.005193
1602868737,0.005802
1602868738,0.001114
1602868739,0.000383
1602868740,0.003567
1602868741,-0.017397
1602868741,0.005037
1602868742,0.000556
1602868743,0.00068
1602868744,0.000768
1602868745,0.002102
1602868746,0.005485
1602868747,0.00302
1602868748,0.000367
1602868749,0.001052
1602868750,0.002365
1602868751,0.005302
1602868752,0.001372
1602868753,0.003702
1602868754,0.001736
1602868755,0.000384
1602868756,0.005244
1602868757,0.000608
1602868758,0.004967
1602868759,0.001151
1602868760,0.005059
1602868761,0.001138
1602868762,0.003657
1602868763,0.000427
1602868764,0.003352
1602868765,0.002386
1602868766,0.002126
1602868767,0.001024
1602868768,0.001564
1602868769,0.003613
1602868770,0.003061
1602868771,-0.020531
1602868771,0.000701
1602868772,0.00063
1602868773,0.003804
1602868774,0.000594
1602868775,0.007133
1602868776,0.003064
1602868777,0.004517
1602868778,0.000731
1602868779,0.000567
1602868780,0.004494
1602868781,0.004316
1602868782,0.003297
1602868783,0.001595
1602868784,0.000709
1602868785,0.000221
1602868786,0.000421
1602868787,0.000646
1602868788,0.00343
1602868789,0.004881
1602868790,0.001598
1602868791,0.001321
1602868792,0.005664
1602868793,0.001722
1602868794,0.004569
1602868795,0.00136
1602868796,0.000624
1602868797,0.005602
1602868798,0.001293
1602868799,0.004678
1602868800,0.002516
1602868801,-0.015857
1602868801,0.001116
1602868802,0.005353
1602868803,0.001486
1602868804,0.001101
1602868805,0.00598
1602868806,0.001953
1602868807,0.00322
1602868808,0.001764
1602868809,0.003833
1602868810,0.00187
1602868811,0.002914
1602868812,0.001049
1602868813,0.005505
1602868814,0.00549
1602868815,0.000471
1602868816,0.004153
1602868817,0.001083
1602868818,0.003163
1602868819,0.000814
1602868820,0.004992
1602868821,0.001481
1602868822,0.002227
1602868823,0.000581
1602868824,0.000709
1602868825,0.000518
1602868826,0.005149
1602868827,0.000976
1602868828,0.003864
1602868829,0.001704
1602868830,0.00079
1602868831,-0.023966
1602868831,0.004964
1602868832,0.004237
1602868833,0.000959
1602868834,0.000612
1602868835,0.000641
1602868836,0.002534
1602868837,0.001595
1602868838,0.002916
1602868839,0.001675
1602868840,0.005513
1602868841,0.004181
1602868842,0.004088
1602868843,0.001866
1602868844,0.000448
1602868845,0.004415
1602868846,0.001569
1602868847,0.001006
1602868848,0.001773
1602868849,0.011027
1602868850,0.002604
1602868851,0.004186
1602868852,0.003002
1602868853,0.002334
1602868854,0.002095
1602868855,0.000994
1602868856,0.004331
1602868857,0.000462
1602868858,0.002315
1602868859,0.000849
1602868860,0.001464
1602868861,-0.014544
1602868861,0.001185
1602868862,0.001727
1602868863,0.001789
1602868864,0.005248
1602868865,0.001813
1602868866,0.001534
1602868867,0.001574
1602868868,0.002121
1602868869,0.005504
1602868870,0.003802
1602868871,0.002451
1602868872,0.00263
1602868873,0.001387
1602868874,0.000477
1602868875,0.005159
1602868876,0.003265
1602868877,0.001067
1602868878,0.005313
1602868879,0.005311
1602868880,0.001076
1602868881,0.004661
