# file...... results/total_P_Out.csv
# date...... Tue Mar  9 17:18:10 2021
# user...... (null)
# host...... (null)
# group..... class=inverter
# property.. P_Out
# limit..... 0
# interval.. 60
# timestamp,PV_inverter_1,PV_inverter_2,PV_inverter_3,PV_inverter_4,PV_inverter_5,PV_inverter_6
2021-03-09 17:18:12 UTC,+195.76,+250.763,+244.753,+229.809,+274.373,+257.075
2021-03-09 17:19:12 UTC,+192.901,+247.1,+241.178,+226.452,+270.366,+253.32
2021-03-09 17:20:12 UTC,+190.044,+243.441,+237.606,+223.099,+266.362,+249.569
2021-03-09 17:21:12 UTC,+187.19,+239.785,+234.038,+219.748,+262.362,+245.82
2021-03-09 17:22:12 UTC,+184.339,+236.132,+230.473,+216.4,+258.365,+242.076
2021-03-09 17:23:12 UTC,+181.49,+232.482,+226.911,+213.056,+254.372,+238.334
2021-03-09 17:24:12 UTC,+178.643,+228.836,+223.352,+209.714,+250.382,+234.596
2021-03-09 17:25:12 UTC,+175.799,+225.193,+219.796,+206.376,+246.396,+230.861
2021-03-09 17:26:12 UTC,+172.957,+221.553,+216.243,+203.04,+242.413,+227.13
2021-03-09 17:27:12 UTC,+170.118,+217.916,+212.693,+199.706,+238.434,+223.401
2021-03-09 17:28:12 UTC,+167.281,+214.281,+209.146,+196.376,+234.457,+219.675
2021-03-09 17:29:12 UTC,+164.445,+210.649,+205.6,+193.047,+230.483,+215.951
2021-03-09 17:30:12 UTC,+161.611,+207.019,+202.057,+189.72,+226.511,+212.23
2021-03-09 17:31:12 UTC,+158.778,+203.39,+198.516,+186.395,+222.54,+208.51
2021-03-09 17:32:12 UTC,+155.947,+199.763,+194.975,+183.07,+218.571,+204.791
2021-03-09 17:33:12 UTC,+153.115,+196.135,+191.435,+179.746,+214.603,+201.072
2021-03-09 17:34:12 UTC,+150.283,+192.508,+187.894,+176.422,+210.634,+197.354
2021-03-09 17:35:12 UTC,+147.451,+188.88,+184.353,+173.096,+206.664,+193.634
2021-03-09 17:36:12 UTC,+144.617,+185.249,+180.809,+169.769,+202.691,+189.912
2021-03-09 17:37:12 UTC,+141.78,+181.616,+177.263,+166.44,+198.716,+186.187
2021-03-09 17:38:12 UTC,+138.941,+177.979,+173.713,+163.106,+194.736,+182.458
2021-03-09 17:39:12 UTC,+136.095,+174.333,+170.155,+159.766,+190.748,+178.722
2021-03-09 17:40:12 UTC,+133.247,+170.685,+166.595,+156.423,+186.756,+174.982
2021-03-09 17:41:12 UTC,+130.393,+167.029,+163.026,+153.072,+182.756,+171.234
2021-03-09 17:42:12 UTC,+127.532,+163.364,+159.449,+149.713,+178.746,+167.476
2021-03-09 17:43:12 UTC,+124.661,+159.687,+155.86,+146.343,+174.722,+163.706
2021-03-09 17:44:12 UTC,+121.779,+155.996,+152.257,+142.96,+170.683,+159.922
2021-03-09 17:45:12 UTC,+118.885,+152.288,+148.638,+139.563,+166.627,+156.121
2021-03-09 17:46:12 UTC,+115.976,+148.561,+145.001,+136.147,+162.549,+152.301
2021-03-09 17:47:12 UTC,+113.049,+144.812,+141.341,+132.711,+158.447,+148.457
2021-03-09 17:48:12 UTC,+110.102,+141.038,+137.657,+129.252,+154.317,+144.588
2021-03-09 17:49:12 UTC,+107.133,+137.234,+133.945,+125.767,+150.156,+140.689
2021-03-09 17:50:12 UTC,+104.139,+133.398,+130.201,+122.251,+145.958,+136.756
2021-03-09 17:51:12 UTC,+101.115,+129.526,+126.421,+118.702,+141.721,+132.786
2021-03-09 17:52:12 UTC,+98.0602,+125.612,+122.601,+115.116,+137.439,+128.774
2021-03-09 17:53:12 UTC,+94.9695,+121.653,+118.737,+111.487,+133.107,+124.715
2021-03-09 17:54:12 UTC,+91.8399,+117.644,+114.824,+107.813,+128.721,+120.605
2021-03-09 17:55:12 UTC,+88.6678,+113.581,+110.858,+104.09,+124.275,+116.44
2021-03-09 17:56:12 UTC,+85.4498,+109.458,+106.835,+100.312,+119.764,+112.214
2021-03-09 17:57:12 UTC,+82.1828,+105.273,+102.75,+96.4767,+115.186,+107.923
2021-03-09 17:58:12 UTC,+94.9524,+121.631,+118.716,+111.467,+133.083,+124.693
2021-03-09 17:59:12 UTC,+90.7457,+116.242,+113.456,+106.529,+127.187,+119.168
2021-03-09 18:00:12 UTC,+86.4812,+110.78,+108.125,+101.523,+121.21,+113.568
2021-03-09 18:01:12 UTC,+82.0784,+105.14,+102.62,+96.3541,+115.039,+107.786
2021-03-09 18:02:12 UTC,+77.6075,+99.4128,+97.0302,+91.1057,+108.773,+101.915
2021-03-09 18:03:12 UTC,+73.081,+93.6144,+91.3708,+85.7918,+102.429,+95.9708
2021-03-09 18:04:12 UTC,+68.519,+87.7707,+85.6671,+80.4364,+96.0348,+89.98
2021-03-09 18:05:12 UTC,+94.6559,+121.251,+118.345,+111.119,+132.668,+124.303
2021-03-09 18:06:12 UTC,+92.7528,+118.813,+115.966,+108.885,+130,+121.804
2021-03-09 18:07:12 UTC,+90.843,+116.367,+113.578,+106.643,+127.324,+119.296
