,seconds,supply_cost,available_capacity,current_load,unresp_demand,Unnamed: 6
2021-03-09 17:18:00,15,0,0.05,4000,4.61788,4.61788
2021-03-09 17:18:00,30,0,0.05,4000,4.6189300000000015,5.855194
2021-03-09 17:18:00,45,0,0.05,4000,4.59784,7.0694740000000005
2021-03-09 17:19:00,0,0,0.05,4000,4.59892,8.305017999999999
2021-03-09 17:19:00,15,0,0.05,4000,4.95045,9.890094
2021-03-09 17:19:00,30,0,0.05,4000,4.95152,11.109368
2021-03-09 17:19:00,45,0,0.05,4000,4.92851,12.30365
2021-03-09 17:20:00,0,0,0.05,4000,4.92961,13.521124
2021-03-09 17:20:00,15,0,0.2,4000,4.84558,14.652526000000002
2021-03-09 17:20:00,30,0,0.05,4000,4.84667,15.853772
2021-03-09 17:20:00,45,0,0.05,4000,4.82446,17.030794
2021-03-09 17:21:00,0,0,0.05,4000,4.82559,18.230214
2021-03-09 17:21:00,15,0,0.05,4000,4.80114,19.4031
2021-03-09 17:21:00,30,0,0.05,4000,4.80225,20.586342
2021-03-09 17:21:00,45,0,0.05,4000,4.780469999999998,21.745746
2021-03-09 17:22:00,0,0,0.05,4000,4.781619999999998,22.92712
2021-03-09 17:22:00,15,0,0.05,4000,4.52931,23.854056
2021-03-09 17:22:00,30,0,0.05,4000,4.5304400000000005,25.0193
2021-03-09 17:22:00,45,0,0.05,4000,4.51052,26.162528
2021-03-09 17:23:00,0,0,0.05,4000,4.51169,27.325868
2021-03-09 17:23:00,15,0,0.05,4000,4.45206,28.427406
2021-03-09 17:23:00,30,0,0.05,4000,4.4532300000000005,28.338432
2021-03-09 17:23:00,45,0,0.05,4000,4.43395,28.228912
2021-03-09 17:24:00,0,0,0.05,4000,4.4351400000000005,28.139766
2021-03-09 17:24:00,15,0,0.05,4000,4.1540599999999985,27.768248
2021-03-09 17:24:00,30,0,0.05,4000,4153.612725,27.679372
2021-03-09 17:24:00,45,0,0.05,4000,4148.230428,27.57195
2021-03-09 17:25:00,0,0,0.05,4000,4.13922,27.482904
2021-03-09 17:25:00,15,0,0.05,4000,4148.230428,27.428092
2021-03-09 17:25:00,30,0,0.05,4000,4.176,27.33933
2021-03-09 17:25:00,45,0,0.05,4000,4.15878,27.232014000000003
2021-03-09 17:26:00,0,0,0.2,4000,4145.301726,27.14306
2021-03-09 17:26:00,15,0,0.05,4000,4.33006,27.222772
2021-03-09 17:26:00,30,0,0.05,4000,4.3313,27.134102
2021-03-09 17:26:00,45,0,0.05,4000,4.33257,27.045348
2021-03-09 17:27:00,0,0,0.05,4000,4.33385,26.95649
2021-03-09 17:27:00,15,0,0.05,4000,4.31493,26.847318
2021-03-09 17:27:00,30,0,0.05,4000,4.31621,26.758772
2021-03-09 17:27:00,45,0,0.05,4000,4.3175,26.670116
2021-03-09 17:28:00,0,0,0.05,4000,4.31882,26.581364
2021-03-09 17:28:00,15,0,0.05,4000,4.26359,26.435942
2021-03-09 17:28:00,30,0,0.05,4000,4.2649,26.347492
2021-03-09 17:28:00,45,0,0.05,4000,4.26623,26.258942
2021-03-09 17:29:00,0,0,0.05,4000,4.2675800000000015,26.17028
2021-03-09 17:29:00,15,0,0.05,4000,4.32083,26.133386
2021-03-09 17:29:00,30,0,0.05,4000,4.32218,26.045048
2021-03-09 17:29:00,45,0,0.05,4000,4.32354,25.956582
2021-03-09 17:30:00,0,0,0.05,4000,4.32493,25.86802
2021-03-09 17:30:00,15,0,0.05,4000,4.34186,25.794854
2021-03-09 17:30:00,30,0,0.05,4000,4.34324,25.706606
2021-03-09 17:30:00,45,0,0.05,4000,4123.5294866,25.61825
2021-03-09 17:31:00,0,0,0.05,4000,4121.9661686,25.52977000000001
2021-03-09 17:31:00,15,0,0.05,4000,4120.9928926,25.83662600000001
2021-03-09 17:31:00,30,0,0.05,4000,4120.0215825999985,25.748478
2021-03-09 17:31:00,45,0,0.05,4000,4.74585,25.6602
2021-03-09 17:32:00,0,0,0.05,4000,4117.4223326,25.571796
2021-03-09 17:32:00,15,0,0.05,4000,4115.9387976,25.371746
2021-03-09 17:32:00,30,0,0.05,4000,4114.4578255999995,25.28369
2021-03-09 17:32:00,45,0,0.05,4000,4112.9835076,25.195488
2021-03-09 17:33:00,0,0,0.05,4000,4111.5184276,25.107154
2021-03-09 17:33:00,15,0,0.05,4000,4110.0713896,25.124202
2021-03-09 17:33:00,30,0,0.05,4000,4.7503199999999985,25.036212
2021-03-09 17:33:00,45,0,0.05,4000,4.75186,24.948094
2021-03-09 17:34:00,0,0,0.2,4000,4.75341,24.859818
2021-03-09 17:34:00,15,0,0.05,4000,4.73364,24.750048
2021-03-09 17:34:00,30,0,0.05,4000,4.73519,24.662132
2021-03-09 17:34:00,45,0,0.05,4000,4.73677,24.574072
2021-03-09 17:35:00,0,0,0.05,4000,4.73837,24.485846
2021-03-09 17:35:00,15,0,0.05,4000,4.70036,24.357824
2021-03-09 17:35:00,30,0,0.05,4000,4.70196,24.269964
